date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-21,,,,,,,,,,
2020-02-22,0,0,0,0,4,5,4,3,0,0
2020-02-23,0,0,0,1,3,1,4,2,5,0
2020-02-24,0,0,1,1,2,2,2,2,0,0
2020-02-25,0,0,4,8,7,10,9,6,4,0
2020-02-26,1,1,3,6,7,10,2,7,4,0
2020-02-27,1,2,9,5,6,11,14,7,12,5
2020-02-28,1,0,3,6,2,7,6,5,7,2
2020-02-29,0,1,4,3,4,10,2,3,7,3
2020-03-01,0,0,0,1,7,6,3,2,3,0
2020-03-02,0,0,2,2,5,12,7,3,9,4
2020-03-03,1,1,2,7,2,10,10,7,6,3
2020-03-04,3,3,6,10,14,26,12,14,11,7
2020-03-05,0,0,9,10,12,23,11,13,8,3
2020-03-06,2,1,4,8,10,19,16,13,8,2
2020-03-07,0,1,11,7,15,26,19,21,13,2
2020-03-08,0,0,2,6,8,16,6,18,8,4
2020-03-09,1,1,16,12,27,38,30,26,22,7
2020-03-10,1,3,15,12,33,41,21,26,25,10
2020-03-11,1,1,16,15,22,51,32,36,44,14
2020-03-12,2,5,12,18,28,62,43,26,26,8
2020-03-13,0,6,24,33,60,75,59,51,41,18
2020-03-14,1,1,17,20,46,62,49,35,28,8
2020-03-15,1,3,17,22,41,60,39,26,28,6
2020-03-16,5,7,38,50,66,117,85,52,47,17
2020-03-17,7,7,30,60,79,113,104,83,83,33
2020-03-18,3,10,36,37,80,113,95,68,51,11
2020-03-19,6,9,40,55,91,129,73,75,61,18
2020-03-20,4,10,50,70,107,164,93,91,76,39
2020-03-21,4,5,20,26,63,92,53,62,51,32
2020-03-22,3,11,29,27,51,81,47,47,44,18
2020-03-23,4,14,30,59,86,136,92,74,100,30
2020-03-24,16,13,42,66,103,153,97,79,61,16
2020-03-25,5,10,40,45,59,111,73,89,72,26
2020-03-26,7,13,47,23,73,88,67,47,54,24
2020-03-27,3,12,44,45,70,90,46,32,48,18
2020-03-28,4,4,24,28,45,69,50,45,68,25
2020-03-29,3,1,14,9,25,25,19,40,82,44
2020-03-30,2,10,35,44,90,79,51,50,86,48
2020-03-31,4,11,52,48,77,92,50,59,123,87
2020-04-01,8,10,30,48,53,85,53,46,88,43
2020-04-02,3,6,32,28,52,86,42,32,63,43
2020-04-03,7,11,28,33,57,59,42,28,40,26
2020-04-04,2,2,21,20,31,56,45,29,43,25
2020-04-05,1,3,9,13,20,31,25,24,77,65
2020-04-06,1,13,25,31,58,77,36,47,79,58
2020-04-07,3,8,43,27,61,79,38,40,85,77
2020-04-08,7,13,103,68,68,82,32,55,100,89
2020-04-09,7,9,31,36,58,70,44,35,30,16
2020-04-10,3,8,22,19,43,39,23,30,62,26
