date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-26,0,0,0,0,1,0,0,0,0,0
2020-02-27,0,0,0,0,1,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,1,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,1,0,2,0,0
2020-03-03,0,0,0,0,1,1,0,0,0,0
2020-03-04,0,0,0,0,0,1,0,0,0,0
2020-03-05,0,0,0,0,1,1,0,3,0,0
2020-03-06,0,0,1,1,1,0,3,3,2,0
2020-03-07,0,1,0,0,1,0,3,0,1,0
2020-03-08,0,0,0,1,0,0,1,2,0,0
2020-03-09,0,0,0,0,1,4,1,2,2,1
2020-03-10,0,1,0,2,4,2,2,2,0,0
2020-03-11,0,0,0,2,4,7,4,1,3,1
2020-03-12,1,0,1,4,5,7,10,7,3,0
2020-03-13,0,0,1,4,5,6,6,3,5,1
2020-03-14,0,0,1,9,4,7,7,4,2,0
2020-03-15,0,1,1,3,4,10,3,4,3,1
2020-03-16,0,1,0,4,5,4,8,9,1,2
2020-03-17,1,0,3,3,7,11,10,8,4,1
2020-03-18,0,0,2,3,15,13,16,8,2,1
2020-03-19,0,0,0,9,7,16,13,6,6,0
2020-03-20,1,1,3,10,5,19,13,5,7,0
2020-03-21,0,0,1,2,7,18,20,8,9,4
2020-03-22,0,0,1,3,6,11,10,6,3,2
2020-03-23,0,2,2,2,9,16,15,10,4,2
2020-03-24,0,1,3,4,9,13,13,7,8,1
2020-03-25,0,1,2,3,15,14,14,8,7,0
2020-03-26,1,0,5,4,10,17,10,7,8,2
2020-03-27,0,0,3,2,8,11,9,6,5,1
2020-03-28,0,4,3,6,9,10,11,4,8,1
2020-03-29,1,1,3,4,4,8,8,8,14,2
2020-03-30,1,1,2,2,2,5,13,8,8,0
2020-03-31,1,2,5,8,5,11,12,7,7,1
2020-04-01,3,2,1,7,10,18,11,7,5,2
