date,0_5,6_12,13_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-24,0,0,0,0,0,0,0,1,1,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,1,0,0,0,0,0
2020-02-28,0,0,0,0,0,1,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,1,0,0,0,2,0,0,0
2020-03-03,0,0,0,0,0,0,2,0,0,0,0
2020-03-04,0,0,0,2,0,0,1,0,0,0,0
2020-03-05,0,0,0,1,0,0,1,0,0,0,0
2020-03-06,0,0,0,1,0,1,3,0,1,0,0
2020-03-07,0,0,0,0,1,1,1,2,1,3,1
2020-03-08,0,0,0,0,0,0,2,1,0,0,0
2020-03-09,0,0,0,1,1,1,1,2,1,0,0
2020-03-10,0,0,0,1,1,3,4,4,2,0,0
2020-03-11,1,0,0,1,2,9,8,3,1,0,0
2020-03-12,0,0,0,0,0,2,5,1,2,0,0
2020-03-13,0,0,1,0,2,1,3,3,2,0,0
2020-03-14,0,0,0,0,3,1,4,3,3,1,0
2020-03-15,0,0,0,1,0,2,6,3,3,3,0
2020-03-16,0,0,0,0,3,4,7,11,4,0,0
2020-03-17,1,1,1,3,2,8,9,11,6,2,0
2020-03-18,0,1,0,1,4,11,12,7,11,3,0
2020-03-19,0,2,1,5,5,6,12,12,8,4,2
2020-03-20,1,0,1,3,6,8,15,15,12,4,2
2020-03-21,0,2,1,5,5,9,14,11,7,8,2
2020-03-22,0,0,0,3,10,9,15,8,8,10,3
2020-03-23,2,0,1,2,5,12,14,11,10,3,2
2020-03-24,0,0,4,7,5,7,17,8,3,7,0
2020-03-25,4,1,0,3,2,4,7,12,5,7,1
2020-03-26,0,2,2,5,5,8,13,8,2,4,1
2020-03-27,1,1,0,2,1,8,10,12,3,2,0
2020-03-28,0,1,1,8,2,5,9,12,5,1,1
2020-03-29,0,0,0,4,2,1,2,2,5,0,1
2020-03-30,2,3,0,5,3,6,7,2,0,2,0
2020-03-31,0,0,3,3,3,3,10,3,4,4,0
2020-04-01,1,0,2,2,1,4,3,4,3,5,0
2020-04-02,1,1,1,4,3,2,4,5,1,4,0
2020-04-03,0,0,0,5,1,4,7,0,0,2,1
2020-04-04,0,0,0,4,2,4,2,2,1,4,1
2020-04-05,0,0,0,1,3,0,1,1,2,0,0
2020-04-06,1,0,1,6,2,4,9,2,5,1,0
2020-04-07,0,1,1,4,6,6,9,7,3,3,1
2020-04-08,0,0,4,3,12,5,4,4,5,4,0
2020-04-09,0,2,1,2,3,7,6,6,5,2,0
2020-04-10,0,0,1,4,5,8,7,1,0,3,0
2020-04-11,1,0,0,2,3,1,1,1,1,3,0
2020-04-12,0,2,0,0,2,2,1,1,1,4,0
2020-04-13,0,0,0,2,2,1,4,2,1,0,0
2020-04-14,0,0,0,3,1,4,3,2,2,0,0
2020-04-15,0,0,1,7,2,1,2,4,0,3,0
2020-04-16,0,2,1,2,0,3,1,6,2,0,0
2020-04-17,0,0,0,2,1,1,3,1,0,1,0
2020-04-18,0,0,1,2,2,1,0,1,0,1,0
2020-04-19,0,0,0,2,2,0,0,1,0,0,0
2020-04-20,1,1,2,1,3,2,6,6,2,6,1
2020-04-21,1,0,0,3,1,0,3,2,1,0,0
2020-04-22,0,1,1,2,0,2,5,3,0,3,0
2020-04-23,0,0,0,2,0,4,2,0,0,2,0
2020-04-24,0,0,0,0,0,5,1,2,3,1,0
2020-04-25,0,0,0,1,0,1,1,1,0,0,1
2020-04-26,0,0,0,0,0,0,0,0,0,1,0
2020-04-27,0,1,0,1,1,1,1,0,1,0,0
2020-04-28,0,0,0,1,0,1,0,2,0,0,1
2020-04-29,0,0,0,1,0,1,1,1,3,1,0
2020-04-30,0,0,0,4,0,3,1,3,0,0,0
2020-05-01,0,0,0,0,0,0,0,1,1,0,0
2020-05-02,0,0,1,2,0,3,1,1,2,0,0
2020-05-03,0,0,0,0,0,0,1,0,0,0,0
2020-05-04,0,0,0,2,1,1,3,0,0,0,0
2020-05-05,0,0,0,2,3,1,0,1,0,0,0
2020-05-06,0,0,0,1,0,0,0,0,1,0,0
2020-05-07,1,0,0,1,0,1,0,0,0,0,0
2020-05-08,0,2,1,0,0,1,2,0,1,0,0
2020-05-09,0,0,0,1,0,0,1,2,1,1,0
2020-05-10,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,0,1,0,1,0,0
2020-05-12,0,0,1,0,0,1,3,2,0,0,0
2020-05-13,0,0,0,0,0,0,1,1,1,1,0
2020-05-14,0,0,0,0,1,0,1,1,0,0,0
2020-05-15,0,0,0,1,1,1,0,0,0,0,0
2020-05-16,0,0,0,1,0,0,0,0,0,0,0
2020-05-17,0,0,2,0,0,1,0,0,0,0,0
2020-05-18,0,0,0,1,0,0,0,1,1,0,0
2020-05-19,0,0,0,1,0,0,1,0,0,0,0
2020-05-20,0,0,0,1,0,1,0,1,0,0,0
2020-05-21,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,1,0,1,2,0,0,0,0
2020-05-23,0,0,0,0,0,1,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,1,1,1,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,1,0,1,1,0,0,0,0
2020-05-28,0,0,0,0,0,0,3,1,0,0,0
2020-05-29,0,0,0,0,0,1,0,1,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,1,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,1,0,0
2020-06-04,0,0,0,0,0,0,0,1,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,1,0
2020-06-06,0,0,1,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,1,0,1,0,0,0,0,0,0
2020-06-09,0,0,0,0,1,0,0,0,0,0,0
2020-06-10,0,0,0,1,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,1,0,0,0,0,1,0
2020-06-13,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,1,0,0,1,0,0,0,0,0,0
2020-06-16,0,0,0,0,1,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,1,0,0,0,0,0
2020-06-18,0,0,0,1,0,0,0,0,0,0,0
2020-06-19,0,0,0,1,0,0,0,0,0,0,0
2020-06-20,0,0,0,1,0,0,0,0,1,0,0
2020-06-21,0,0,8,0,0,0,0,0,0,0,0
2020-06-22,0,0,5,1,3,0,0,0,0,0,0
2020-06-23,0,0,0,0,1,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,0,0,0,0,1,0,0,0,1,0,0
2020-06-26,0,0,0,0,1,0,0,1,0,0,0
2020-06-27,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,1,2,0,0,0,0
2020-06-30,0,0,0,0,0,1,0,1,0,0,0
2020-07-01,0,0,3,5,0,0,1,0,0,0,0
2020-07-02,0,0,0,0,2,0,0,1,0,0,0
2020-07-03,0,0,0,0,0,1,0,0,0,0,0
2020-07-04,0,0,0,0,1,0,1,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,0,1,0,0,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,0,0,1,0,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0,0,0,0,1,0
2020-07-10,0,0,0,0,0,0,1,0,0,0,0
2020-07-11,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,0,0,5,6,0,1,1,0,0,0,0
2020-07-14,0,0,0,0,0,0,0,0,0,0,0
2020-07-15,0,0,7,5,3,3,0,0,0,0,0
2020-07-16,0,0,2,0,1,0,0,0,0,0,0
2020-07-17,0,0,1,0,0,1,1,1,0,0,0
2020-07-18,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,1,1,0,0,1,0
2020-07-20,1,0,0,1,2,0,0,0,0,0,0
2020-07-21,0,0,0,1,0,1,1,0,0,0,0
2020-07-22,0,0,1,1,0,1,0,1,0,0,0
2020-07-23,0,1,0,0,1,0,1,2,0,0,0
2020-07-24,1,1,1,0,0,2,0,2,0,2,0
2020-07-25,1,0,0,2,0,1,1,0,0,0,0
2020-07-26,1,0,1,1,1,1,0,0,0,1,0
2020-07-27,0,0,6,7,2,0,2,0,1,1,0
2020-07-28,0,0,0,1,0,1,0,0,0,0,0
2020-07-29,0,0,10,9,7,5,2,1,1,0,0
2020-07-30,0,0,2,4,4,1,1,2,1,1,0
2020-07-31,0,0,1,1,0,1,1,0,0,0,0
2020-08-01,0,1,0,2,1,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,0,0,3,2,2,0,3,1,1,2,0
2020-08-04,0,0,0,5,5,1,1,0,0,0,0
2020-08-05,0,1,3,8,5,0,2,3,1,0,0
2020-08-06,1,0,14,14,5,4,0,0,0,0,0
2020-08-07,1,0,20,27,12,1,0,0,0,0,0
2020-08-08,2,1,2,2,0,1,0,0,0,0,0
2020-08-09,1,0,4,12,0,0,2,1,1,0,1
2020-08-10,0,1,3,10,1,3,3,1,1,0,0
2020-08-11,1,0,9,5,0,1,3,0,0,0,0
2020-08-12,0,2,9,18,6,2,4,1,1,1,0
2020-08-13,0,0,1,6,1,1,1,1,2,0,0
