date,0_5,6_12,13_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-03-04,0,0,0,0,0,0,1,1,0,0,0
2020-03-05,0,0,0,1,0,0,0,1,0,0,0
2020-03-06,0,0,0,0,0,0,1,1,0,0,0
2020-03-07,0,0,0,0,0,0,1,0,1,0,0
2020-03-08,0,0,0,0,0,0,0,0,1,0,0
2020-03-09,0,0,0,0,0,0,1,1,0,0,0
2020-03-10,0,0,0,1,2,1,0,3,1,0,0
2020-03-11,0,0,0,0,1,4,2,3,2,1,0
2020-03-12,0,0,0,0,0,1,0,2,1,1,0
2020-03-13,0,0,1,0,1,2,4,3,3,0,0
2020-03-14,0,0,0,1,0,1,1,1,2,0,0
2020-03-15,0,0,0,1,1,3,1,3,2,0,0
2020-03-16,0,0,1,0,1,1,5,3,3,1,0
2020-03-17,0,0,0,0,1,2,8,4,2,3,0
2020-03-18,0,0,0,1,1,2,3,2,3,2,0
2020-03-19,0,0,0,3,0,6,1,6,1,2,0
2020-03-20,0,1,0,1,1,3,3,4,2,0,0
2020-03-21,0,0,1,1,4,3,4,8,3,0,0
2020-03-22,0,0,0,1,3,4,5,3,1,4,0
2020-03-23,0,1,0,0,2,3,2,3,1,1,0
2020-03-24,0,0,2,2,1,2,5,2,1,1,0
2020-03-25,0,1,0,3,1,3,3,6,0,1,1
2020-03-26,0,1,1,1,4,5,11,10,4,7,2
2020-03-27,0,2,1,6,3,4,2,6,2,1,1
2020-03-28,0,0,0,2,1,2,5,4,2,0,0
2020-03-29,0,0,0,1,0,2,2,1,1,1,2
2020-03-30,0,0,1,3,0,1,1,2,0,0,0
2020-03-31,1,0,0,2,2,5,1,2,1,0,0
2020-04-01,0,0,0,3,0,0,1,1,1,2,0
2020-04-02,0,1,0,1,0,2,3,1,3,1,0
2020-04-03,0,2,0,3,3,0,2,3,0,0,0
2020-04-04,1,0,1,5,3,1,2,2,0,0,1
2020-04-05,0,0,0,0,0,0,1,0,1,1,0
2020-04-06,0,0,1,0,0,0,0,1,0,0,0
2020-04-07,0,0,0,2,2,1,1,0,0,0,0
