date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-20,,,,,,,,,,
2020-02-21,0,0,0,0,0,0,1,1,2,1
2020-02-22,0,0,0,0,0,0,0,0,0,1
2020-02-23,0,0,0,0,2,0,1,1,2,0
2020-02-24,0,0,1,0,0,2,0,1,0,1
2020-02-25,0,0,0,0,0,1,1,0,1,0
2020-02-26,0,0,0,0,0,0,0,0,3,0
2020-02-27,0,0,0,0,1,0,0,1,2,3
2020-02-28,0,0,0,0,0,1,0,0,5,0
2020-02-29,0,0,0,0,0,1,2,1,2,0
2020-03-01,0,0,0,0,0,2,0,2,6,1
2020-03-02,0,0,0,1,1,0,1,4,1,1
2020-03-03,0,0,0,1,0,3,1,2,4,3
2020-03-04,0,1,0,0,1,1,2,3,1,1
2020-03-05,0,0,0,0,0,1,1,3,2,2
2020-03-06,1,0,0,0,0,3,2,9,4,2
2020-03-07,0,0,1,0,1,1,4,6,3,1
2020-03-08,0,0,0,0,1,1,5,5,5,3
2020-03-09,0,0,0,0,0,3,3,9,7,5
2020-03-10,1,0,0,2,3,3,8,7,3,2
2020-03-11,0,0,2,1,3,5,3,8,7,2
2020-03-12,0,0,2,0,2,2,5,6,8,6
2020-03-13,0,1,1,1,3,9,3,6,11,6
2020-03-14,0,0,1,0,2,8,3,7,6,5
2020-03-15,0,0,0,0,2,9,7,9,9,4
2020-03-16,0,0,1,1,3,8,9,11,11,5
2020-03-17,0,0,2,1,2,8,11,15,6,3
2020-03-18,0,0,0,2,6,6,13,14,13,3
2020-03-19,0,0,1,3,2,4,11,15,17,1
2020-03-20,0,0,0,0,6,9,13,12,16,8
2020-03-21,0,0,2,1,2,10,9,15,24,7
2020-03-22,0,0,1,3,2,11,7,12,14,4
2020-03-23,0,0,2,1,4,8,14,15,22,8
2020-03-24,0,1,0,3,3,10,15,13,20,6
2020-03-25,0,0,0,1,2,14,9,11,22,5
2020-03-26,0,0,0,0,1,8,10,16,13,7
2020-03-27,0,0,0,1,4,13,8,13,24,5
2020-03-28,0,1,0,0,4,6,12,10,13,9
2020-03-29,1,1,1,0,2,1,3,6,17,2
2020-03-30,0,0,0,0,7,3,7,13,16,7
2020-03-31,0,0,0,0,2,5,5,4,16,6
2020-04-01,0,0,2,2,2,5,8,10,12,6
2020-04-02,0,0,0,2,1,4,5,6,11,2
2020-04-03,0,0,1,1,0,3,5,7,10,4
2020-04-04,0,0,1,1,4,4,3,6,12,7
2020-04-05,0,0,0,2,1,8,4,6,10,4
2020-04-06,0,0,0,1,3,9,3,3,7,10
