date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-01-28,,,,,,,,,,
2020-01-29,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,1,1,0,0,0,0
2020-01-31,0,1,0,0,0,1,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,1,0,0,0,1,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,1,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,1,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,1,0
2020-02-15,0,0,0,0,0,0,0,1,0,0
2020-02-16,0,0,0,0,0,1,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,1,0,0
2020-02-19,0,0,0,0,0,0,1,1,0,0
2020-02-20,0,0,0,2,0,1,2,1,0,0
2020-02-21,0,0,0,0,0,0,0,0,1,0
2020-02-22,0,0,0,0,1,1,1,1,0,0
2020-02-23,0,0,1,0,1,4,1,1,1,1
2020-02-24,1,0,0,1,4,5,0,2,1,0
2020-02-25,0,0,0,0,0,1,3,1,0,0
2020-02-26,1,0,1,0,2,2,6,1,2,0
2020-02-27,0,0,1,1,3,2,1,3,6,0
2020-02-28,0,0,2,0,6,3,4,0,4,1
2020-02-29,0,0,0,1,5,1,2,1,3,0
2020-03-01,0,0,0,1,5,12,7,8,7,1
2020-03-02,0,0,3,1,4,2,8,6,3,0
2020-03-03,0,0,1,1,2,4,5,5,2,3
2020-03-04,0,0,1,2,4,7,4,7,5,2
2020-03-05,0,0,0,1,6,4,11,6,4,0
2020-03-06,1,0,1,3,3,6,5,11,7,0
2020-03-07,1,0,1,3,7,5,6,3,6,0
2020-03-08,1,0,4,7,7,14,9,9,12,0
2020-03-09,1,1,0,5,6,10,17,10,7,2
2020-03-10,1,0,3,8,2,11,11,6,7,1
2020-03-11,1,0,3,3,8,9,8,6,2,0
2020-03-12,0,1,0,7,7,12,8,8,6,0
2020-03-13,0,2,3,6,8,22,14,5,1,0
2020-03-14,0,0,0,3,11,12,4,6,1,1
2020-03-15,0,1,6,8,14,16,9,6,5,0
2020-03-16,0,2,3,10,7,15,12,9,4,0
2020-03-17,0,0,3,2,7,9,6,3,8,1
2020-03-18,0,0,1,3,8,8,10,8,13,0
2020-03-19,0,0,4,5,9,11,3,10,4,1
2020-03-20,2,2,5,3,10,15,12,15,8,2
2020-03-21,0,0,3,4,7,11,13,5,4,1
2020-03-22,0,0,2,4,6,13,3,12,8,0
2020-03-23,2,0,3,5,9,11,11,3,5,0
2020-03-24,0,1,5,3,8,11,12,6,5,0
2020-03-25,0,2,3,4,6,2,4,3,4,4
2020-03-26,0,0,4,5,5,4,3,2,8,0
2020-03-27,0,1,9,6,9,13,6,3,6,0
2020-03-28,0,0,3,2,1,8,5,3,5,2
2020-03-29,1,0,0,3,5,9,2,3,3,0
2020-03-30,0,2,8,6,11,13,14,6,5,1
2020-03-31,0,0,2,4,0,9,6,3,2,0
2020-04-01,0,3,11,8,7,13,10,12,6,0
2020-04-02,0,0,4,3,7,8,12,9,2,0
2020-04-03,1,3,7,8,10,4,7,2,7,4
2020-04-04,1,0,4,4,8,9,1,10,12,3
2020-04-05,0,3,4,1,5,6,6,2,7,2
2020-04-06,0,2,9,7,4,17,8,8,4,2
2020-04-07,5,4,3,4,6,7,8,4,12,3
2020-04-08,0,0,8,5,9,9,14,9,9,0
2020-04-09,1,0,2,2,8,10,7,9,7,0
2020-04-10,0,3,6,2,7,9,7,6,13,3
2020-04-11,0,1,6,6,8,8,4,4,7,3
2020-04-12,0,2,5,1,6,6,8,10,5,3
2020-04-13,0,0,4,6,13,10,7,4,11,2
2020-04-14,3,1,6,8,13,6,8,6,9,4
2020-04-15,1,2,10,8,10,13,11,17,24,8
2020-04-16,1,4,8,11,11,14,7,14,15,7
2020-04-17,0,0,4,11,11,8,8,22,23,4
2020-04-18,1,1,2,6,6,5,10,14,22,4
2020-04-19,0,2,10,6,8,10,8,6,18,5
2020-04-20,1,6,18,9,9,13,7,24,25,6
2020-04-21,1,0,5,7,7,16,10,19,23,7
2020-04-22,0,3,6,8,7,11,7,10,14,3
2020-04-23,1,2,6,3,5,7,6,12,14,3
2020-04-24,1,2,1,1,6,3,8,14,9,4
2020-04-25,0,2,2,3,5,7,7,10,8,4
2020-04-26,1,2,1,4,8,7,4,8,14,8
2020-04-27,0,3,0,5,5,19,8,15,18,5
2020-04-28,1,0,6,5,1,7,6,10,8,3
2020-04-29,2,6,5,4,2,12,4,9,12,4
2020-04-30,2,1,5,2,5,3,3,10,6,1
2020-05-01,0,0,4,3,3,4,3,4,4,1
2020-05-02,0,2,2,1,2,2,7,4,4,1
2020-05-03,0,2,1,2,2,4,3,4,1,1
2020-05-04,0,1,1,3,2,4,5,1,3,0
2020-05-05,0,1,2,4,4,4,4,0,5,3
2020-05-06,1,1,5,0,0,6,3,3,4,0
2020-05-07,0,1,2,3,1,3,4,6,5,2
2020-05-08,0,1,1,5,3,3,3,3,0,4
2020-05-09,0,0,2,0,4,0,1,2,2,1
2020-05-10,1,1,1,5,4,1,3,4,3,0
2020-05-11,1,0,1,4,0,4,3,3,3,1
2020-05-12,2,0,2,0,2,1,3,3,6,1
2020-05-13,0,1,1,3,2,2,2,2,5,0
2020-05-14,1,0,1,3,2,1,2,3,5,1
2020-05-15,0,0,0,3,1,6,3,3,0,0
2020-05-16,0,0,0,0,1,4,1,0,3,1
2020-05-17,0,0,1,0,1,3,0,1,1,0
2020-05-18,0,0,0,1,1,3,2,4,4,0
2020-05-19,1,0,1,1,1,1,2,3,0,1
2020-05-20,1,0,1,1,1,4,0,0,1,0
2020-05-21,0,1,1,0,0,2,0,1,3,0
2020-05-22,0,0,1,0,1,1,1,2,3,0
2020-05-23,0,0,0,0,1,1,0,3,0,0
2020-05-24,0,0,2,0,0,0,0,1,1,1
2020-05-25,0,0,0,0,1,1,1,2,1,0
2020-05-26,0,0,0,1,1,0,0,2,1,0
2020-05-27,0,0,2,2,0,2,0,1,0,0
2020-05-28,0,0,0,1,0,0,1,0,0,0
2020-05-29,0,0,0,0,0,0,1,1,1,1
2020-05-30,0,0,0,1,0,2,0,0,1,0
