date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-01-29,0,0,0,0,1,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,1,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,1,0,2,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,1,0,0,0,0,0,0,0
2020-02-25,0,0,0,1,2,2,1,1,0,1
2020-02-26,0,0,1,1,0,0,0,0,0,0
2020-02-27,0,0,0,1,2,1,2,1,0,0
2020-02-28,0,0,0,1,1,2,1,1,0,0
2020-02-29,0,0,0,0,1,2,2,1,0,0
2020-03-01,0,0,0,0,3,2,1,1,0,0
2020-03-02,0,0,1,0,1,1,1,1,0,0
2020-03-03,0,1,0,2,1,5,3,1,1,0
2020-03-04,0,1,1,2,0,1,2,4,1,0
2020-03-05,0,0,2,1,6,5,6,1,0,0
2020-03-06,0,0,0,1,5,5,3,0,1,0
2020-03-07,0,0,1,3,2,5,5,2,1,0
2020-03-08,0,1,1,2,4,3,7,2,2,0
2020-03-09,0,0,1,2,8,9,6,4,1,0
2020-03-10,0,0,1,5,4,6,13,6,2,0
2020-03-11,0,2,0,3,6,6,9,2,3,0
2020-03-12,1,0,2,4,5,8,7,8,4,0
2020-03-13,1,1,2,4,2,8,8,9,4,0
2020-03-14,0,2,3,2,4,4,4,8,1,0
2020-03-15,1,0,6,9,4,15,7,11,4,0
2020-03-16,0,2,3,0,1,12,8,8,2,0
2020-03-17,2,0,1,6,5,15,10,7,3,1
2020-03-18,0,0,1,4,8,12,16,5,3,1
2020-03-19,0,0,5,4,9,7,10,6,3,0
2020-03-20,1,0,5,12,7,11,10,13,6,1
2020-03-21,0,0,9,1,6,8,15,6,6,0
2020-03-22,1,2,3,5,7,10,7,14,4,0
2020-03-23,0,0,1,3,8,7,6,7,2,0
2020-03-24,0,0,0,6,8,6,10,6,2,1
2020-03-25,0,1,3,4,2,9,7,3,2,0
