date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-26,,,,,,,,,,
2020-02-27,0,0,0,0,0,0,0,1,0,0
2020-02-28,0,0,4,3,3,2,0,0,0,0
2020-02-29,0,0,0,1,1,1,0,1,0,0
2020-03-01,0,0,0,2,1,3,0,0,0,0
2020-03-02,0,0,1,0,2,0,2,1,0,0
2020-03-03,0,0,0,1,0,1,1,0,0,0
2020-03-04,0,0,1,2,1,2,1,2,0,0
2020-03-05,0,0,0,0,2,3,2,0,0,0
2020-03-06,0,0,3,3,4,7,4,1,1,0
2020-03-07,0,3,2,3,7,1,3,0,1,0
2020-03-08,0,0,1,3,3,2,6,0,1,0
2020-03-09,0,1,2,4,2,11,3,0,0,0
2020-03-10,0,1,5,3,6,8,6,5,1,0
2020-03-11,0,0,0,2,4,10,3,4,1,0
2020-03-12,2,2,4,5,17,15,18,9,6,0
2020-03-13,1,4,5,6,11,15,16,10,2,0
2020-03-14,0,1,5,7,11,19,11,10,5,1
2020-03-15,1,2,4,6,11,19,18,9,5,3
2020-03-16,2,3,6,17,11,23,8,10,9,0
2020-03-17,1,2,4,6,14,26,20,12,12,3
2020-03-18,1,3,8,7,10,19,22,23,8,3
2020-03-19,3,2,4,10,12,12,19,3,7,1
2020-03-20,2,0,9,10,14,21,19,18,8,0
2020-03-21,0,1,9,7,14,18,21,14,9,1
2020-03-22,0,2,11,6,16,19,16,12,7,0
2020-03-23,3,0,13,16,20,25,27,18,16,3
2020-03-24,4,2,5,12,21,28,25,14,4,0
2020-03-25,3,7,8,22,16,45,35,31,20,11
2020-03-26,1,8,9,14,27,20,18,17,12,6
2020-03-27,1,1,14,15,22,35,35,36,14,2
2020-03-28,0,2,7,5,12,19,18,16,7,1
2020-03-29,1,6,11,13,14,21,21,15,8,3
2020-03-30,2,4,18,13,14,40,27,18,20,11
2020-03-31,1,14,9,17,32,30,19,21,24,7
2020-04-01,6,6,11,24,16,31,18,10,13,4
2020-04-02,2,7,7,9,19,14,10,8,7,4
2020-04-03,2,7,11,16,23,29,24,11,4,2
2020-04-04,1,7,11,10,9,20,16,15,7,0
2020-04-05,4,4,10,13,14,9,10,9,9,0
2020-04-06,2,2,13,17,10,19,9,11,8,3
2020-04-07,0,6,12,9,13,17,7,7,1,1
2020-04-08,1,6,8,16,15,23,17,6,5,0
2020-04-09,3,5,7,10,13,21,10,8,4,3
2020-04-10,1,4,5,6,12,24,8,14,8,0
2020-04-11,6,8,14,10,20,23,11,4,2,1
2020-04-12,3,2,8,10,6,12,5,4,5,0
