date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-26,,,,,,,,,,
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,1,3,1,2,0,0,0,0
2020-02-29,0,0,0,1,1,1,0,1,0,0
2020-03-01,0,0,0,1,0,1,0,0,0,0
2020-03-02,0,0,1,0,1,0,1,1,0,0
2020-03-03,0,0,0,0,0,1,1,0,0,0
2020-03-04,0,0,0,1,1,1,1,1,0,0
2020-03-05,0,0,0,0,1,1,2,0,0,0
2020-03-06,0,0,1,2,3,2,2,0,1,0
2020-03-07,0,2,2,1,4,1,2,0,0,0
2020-03-08,0,0,1,3,0,1,4,0,0,0
2020-03-09,0,1,1,3,2,11,2,0,0,0
2020-03-10,0,1,2,2,4,6,5,2,1,0
2020-03-11,0,0,0,1,3,8,2,4,0,0
2020-03-12,2,0,3,3,8,10,16,7,3,0
2020-03-13,1,3,4,4,5,11,13,7,2,0
2020-03-14,0,1,2,4,7,13,7,9,3,0
2020-03-15,1,2,1,3,7,12,12,8,4,0
2020-03-16,1,2,3,12,8,18,8,7,7,0
2020-03-17,0,2,1,3,7,16,12,10,8,2
2020-03-18,1,1,3,3,4,13,14,15,5,2
2020-03-19,1,0,3,5,10,6,14,2,2,0
2020-03-20,1,0,5,8,9,15,13,11,5,0
2020-03-21,0,1,8,5,3,10,14,9,5,0
2020-03-22,0,2,6,2,11,10,11,8,3,0
2020-03-23,2,0,6,9,14,12,13,13,7,1
2020-03-24,3,1,3,8,12,14,14,5,2,0
2020-03-25,2,4,5,12,8,21,22,15,6,4
2020-03-26,1,6,3,7,14,9,14,11,1,2
2020-03-27,0,1,7,7,15,18,19,20,4,1
2020-03-28,0,1,4,4,7,14,14,10,4,0
2020-03-29,1,3,5,5,6,12,12,8,2,2
2020-03-30,1,2,9,8,6,25,19,10,6,4
2020-03-31,1,6,8,12,15,17,14,12,11,0
2020-04-01,3,2,7,10,9,20,11,2,3,0
2020-04-02,1,4,4,5,7,8,5,5,2,1
2020-04-03,1,2,6,10,10,18,15,10,2,1
2020-04-04,1,4,5,6,4,8,11,8,4,0
2020-04-05,3,1,5,7,8,5,7,4,5,0
2020-04-06,1,1,10,11,4,8,7,6,7,2
2020-04-07,0,5,8,4,5,4,5,6,0,0
2020-04-08,1,1,5,9,9,15,8,2,4,0
2020-04-09,1,2,2,7,7,12,4,2,0,0
2020-04-10,0,3,4,3,4,11,5,9,2,0
2020-04-11,5,1,8,6,10,11,8,1,1,0
2020-04-12,0,1,2,5,2,6,5,3,4,0
2020-04-13,0,1,1,1,2,2,4,10,3,0
2020-04-14,2,3,3,3,6,7,5,1,2,1
2020-04-15,1,4,6,5,3,12,4,2,2,1
2020-04-16,1,2,0,3,5,6,2,4,1,0
2020-04-17,0,3,2,1,4,6,0,3,1,0
2020-04-18,0,3,6,1,3,3,0,1,2,0
2020-04-19,2,1,3,0,3,2,4,1,0,0
2020-04-20,0,3,3,2,10,6,3,1,1,0
2020-04-21,0,1,1,4,3,3,6,3,3,0
2020-04-22,1,1,1,2,5,3,4,0,0,3
2020-04-23,1,1,7,5,3,6,3,4,1,0
2020-04-24,0,3,3,2,5,8,5,1,1,0
2020-04-25,1,0,0,0,1,1,2,0,1,0
2020-04-26,0,1,1,1,1,1,0,0,1,0
2020-04-27,1,1,0,2,3,5,4,0,3,0
2020-04-28,0,0,0,0,1,3,4,1,0,1
2020-04-29,3,0,1,1,1,5,2,0,0,1
2020-04-30,0,0,3,5,3,6,3,1,1,0
2020-05-01,1,0,0,0,2,4,1,1,1,0
2020-05-02,0,0,0,2,2,3,2,0,0,0
2020-05-03,0,1,0,0,2,1,0,0,0,0
2020-05-04,0,0,2,2,1,3,10,1,1,0
2020-05-05,0,1,0,2,0,1,1,0,0,0
2020-05-06,0,0,0,1,0,3,2,0,0,0
2020-05-07,1,0,6,0,5,5,1,1,0,0
2020-05-08,0,0,0,2,0,3,0,0,0,0
2020-05-09,0,0,0,1,1,3,4,0,0,0
2020-05-10,0,0,0,0,1,0,0,1,0,0
2020-05-11,0,0,1,1,3,0,1,1,0,0
2020-05-12,0,0,1,1,1,2,1,0,0,0
2020-05-13,1,0,3,4,0,1,2,1,2,0
