date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-02-23,,,,,,,,,,
2020-02-24,0,0,0,0,0,1,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,1,0
2020-02-26,0,0,0,0,0,1,0,1,1,0
2020-02-27,1,0,2,0,2,1,0,3,1,1
2020-02-28,0,0,2,1,0,0,2,6,2,1
2020-02-29,0,0,0,1,1,1,0,1,2,0
2020-03-01,0,0,1,0,1,1,0,0,0,0
2020-03-02,0,0,0,1,1,0,2,3,2,2
2020-03-03,0,0,1,0,4,4,4,8,1,0
2020-03-04,0,0,2,0,4,7,9,9,5,1
2020-03-05,0,0,2,0,3,8,12,10,5,1
2020-03-06,0,1,5,1,10,9,19,21,13,2
2020-03-07,1,0,4,8,12,86,19,18,14,1
2020-03-08,2,1,4,4,15,17,20,25,15,4
2020-03-09,1,0,5,8,17,20,18,22,14,2
2020-03-10,0,0,4,12,15,25,21,14,21,6
2020-03-11,1,1,10,20,26,29,45,37,34,6
2020-03-12,1,1,9,14,24,37,40,52,44,12
2020-03-13,2,1,18,30,55,57,52,54,43,8
2020-03-14,2,1,14,30,35,67,54,71,57,14
2020-03-15,0,1,16,15,22,42,27,43,37,5
2020-03-16,1,1,13,28,58,63,59,82,54,14
2020-03-17,2,3,22,32,76,106,81,80,58,11
2020-03-18,4,1,24,39,74,103,100,78,66,8
2020-03-19,0,0,7,25,37,74,63,80,65,13
2020-03-20,1,2,11,23,54,91,76,80,43,10
2020-03-21,8,1,17,24,69,124,118,111,100,10
2020-03-22,3,2,24,31,73,128,96,86,90,23
2020-03-23,2,3,15,29,78,113,109,97,101,21
2020-03-24,2,0,20,21,41,101,76,103,62,13
2020-03-25,2,3,21,28,76,112,119,119,91,18
2020-03-26,1,4,19,29,68,84,81,71,49,19
2020-03-27,2,4,38,56,105,151,126,103,118,17
2020-03-28,0,1,37,36,70,129,91,106,113,30
2020-03-29,6,2,28,32,65,114,70,60,81,21
2020-03-30,4,2,17,40,69,82,46,57,96,35
2020-03-31,3,5,32,56,94,130,82,77,129,39
2020-04-01,1,4,26,47,91,96,80,73,97,43
2020-04-02,4,3,34,60,82,128,71,102,95,30
2020-04-03,1,5,24,40,50,89,59,62,140,58
2020-04-04,2,5,37,42,79,93,83,84,132,48
2020-04-05,0,6,40,60,88,122,70,78,130,65
2020-04-06,3,3,24,40,44,76,36,46,80,39
2020-04-07,3,2,24,42,50,88,48,50,85,47
2020-04-08,2,9,52,70,91,107,84,98,192,98
2020-04-09,2,7,37,38,88,105,55,62,156,116
2020-04-10,3,8,45,54,90,121,69,123,278,163
2020-04-11,3,5,39,47,90,126,50,81,194,117
2020-04-12,1,2,39,26,58,67,50,50,157,120
2020-04-13,4,5,17,23,46,46,38,55,107,74
2020-04-14,4,0,11,32,46,51,28,51,114,73
2020-04-15,4,4,36,57,82,82,79,92,225,129
2020-04-16,1,7,57,59,96,116,72,93,213,147
2020-04-17,8,2,31,49,73,73,40,50,122,100
2020-04-18,3,5,43,43,100,92,51,84,155,99
2020-04-19,4,3,12,19,27,46,21,42,94,33
2020-04-20,0,11,39,48,61,55,42,65,170,109
2020-04-21,8,3,45,62,106,110,49,66,149,74
2020-04-22,4,10,33,31,59,74,38,42,135,82
2020-04-23,6,11,58,46,92,90,48,74,149,68
2020-04-24,4,22,39,51,88,104,47,58,110,87
2020-04-25,3,5,28,29,63,58,48,52,82,78
2020-04-26,0,8,11,18,48,50,21,22,46,31
2020-04-27,5,6,19,12,36,40,23,32,38,14
2020-04-28,0,11,31,41,46,74,40,84,158,86
2020-04-29,6,9,51,40,56,74,36,49,69,52
2020-04-30,3,9,30,42,69,101,41,29,57,33
2020-05-01,1,6,17,20,35,30,18,29,86,51
2020-05-02,4,10,17,16,24,46,38,32,70,30
2020-05-03,4,6,10,13,19,27,18,10,18,8
2020-05-04,0,3,8,13,23,33,15,21,25,10
2020-05-05,3,7,22,15,27,25,19,13,12,11
2020-05-06,7,14,17,35,36,44,21,27,34,14
2020-05-07,1,7,18,18,30,55,14,15,29,18
2020-05-08,1,8,14,20,14,30,16,16,29,22
2020-05-09,1,7,15,20,26,33,15,17,30,16
2020-05-10,2,0,4,5,13,26,6,5,7,4
2020-05-11,0,5,6,8,11,16,9,5,11,4
2020-05-12,3,7,9,17,15,31,11,10,21,14
2020-05-13,1,6,11,13,31,27,9,12,17,15
2020-05-14,4,5,15,11,21,29,17,14,31,20
2020-05-15,1,2,16,16,10,25,12,7,20,7
2020-05-16,0,3,13,6,6,17,7,2,10,3
2020-05-17,4,1,6,9,3,5,2,10,10,6
2020-05-18,0,3,7,8,16,16,10,14,33,17
2020-05-19,2,4,11,13,7,18,9,13,23,17
2020-05-20,0,2,6,7,14,19,5,8,14,10
2020-05-21,4,4,7,10,14,16,7,10,12,11
2020-05-22,2,4,7,4,10,10,9,10,10,5
2020-05-23,0,1,4,7,15,16,5,4,10,5
2020-05-24,0,0,3,2,4,11,4,0,3,2
2020-05-25,0,1,9,6,4,7,12,7,4,2
2020-05-26,3,1,3,12,7,10,10,9,14,4
2020-05-27,1,1,1,3,9,17,1,7,5,3
2020-05-28,6,2,5,7,10,13,10,8,10,12
2020-05-29,3,4,7,5,8,10,8,9,8,3
2020-05-30,1,3,10,6,5,12,6,4,7,1
2020-05-31,0,3,3,3,3,5,5,2,6,1
2020-06-01,1,3,2,2,15,12,4,4,5,1
2020-06-02,0,2,1,1,1,0,5,0,4,3
2020-06-03,0,1,4,1,5,7,2,2,3,4
2020-06-04,1,1,3,4,2,5,3,3,4,3
2020-06-05,3,2,3,2,5,7,3,4,6,4
2020-06-06,1,1,2,0,0,3,1,3,1,1
2020-06-07,1,2,1,0,1,2,0,2,0,0
