date,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_+
2020-01-29,,,,,,,,,,
2020-01-30,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,1,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,1,0,0,0,0,0,0,0
2020-02-21,0,0,0,1,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,1,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,1,0,0,0,0,0,0,0
2020-02-28,0,0,0,1,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,1,0,1,0,0
2020-03-02,0,0,0,0,1,1,1,0,0,0
2020-03-03,0,0,1,0,0,2,1,0,0,0
2020-03-04,0,0,0,2,0,1,1,1,0,0
2020-03-05,0,0,0,0,0,2,1,0,0,0
2020-03-06,0,0,0,1,4,3,3,2,2,0
2020-03-07,0,0,2,2,3,1,4,0,2,0
2020-03-08,0,0,1,1,0,3,2,1,1,0
2020-03-09,0,0,1,2,2,5,4,2,3,0
2020-03-10,1,2,5,3,7,6,1,3,2,0
2020-03-11,0,0,2,4,2,6,4,2,3,0
2020-03-12,0,0,1,5,3,1,3,2,1,0
2020-03-13,2,1,2,6,1,12,3,0,0,0
2020-03-14,0,0,0,2,4,8,2,0,3,0
2020-03-15,0,1,5,4,3,6,3,6,1,1
2020-03-16,1,0,6,3,7,6,5,3,1,1
2020-03-17,0,1,1,5,2,8,8,1,2,1
2020-03-18,1,5,4,3,7,8,3,2,3,2
2020-03-19,0,2,4,2,4,13,3,6,3,0
2020-03-20,0,0,1,2,7,4,2,3,2,0
2020-03-21,0,0,7,3,6,12,4,2,2,2
