date,80_+,others
2020-02-14,1.0,0
2020-02-15,0.0,3
2020-02-16,1.0,1
2020-02-17,0.0,1
2020-02-18,0.0,2
2020-02-19,0.0,3
2020-02-20,3.0,8
2020-02-21,1.0,1
2020-02-22,1.0,7
2020-02-23,2.0,12
2020-02-24,1.0,18
2020-02-25,2.0,12
2020-02-26,2.0,21
2020-02-27,7.0,21
2020-02-28,5.0,22
2020-02-29,3.0,17
2020-03-01,13.0,57
2020-03-02,11.0,40
2020-03-03,8.0,37
2020-03-04,11.0,40
2020-03-05,10.0,50
2020-03-06,15.0,56
2020-03-07,9.0,48
2020-03-08,14.0,85
2020-03-09,20.0,87
2020-03-10,16.0,90
2020-03-11,7.0,79
2020-03-12,12.0,89
2020-03-13,3.0,108
2020-03-14,9.0,77
2020-03-15,12.0,128
2020-03-16,16.0,112
2020-03-17,9.0,73
2020-03-18,21.0,87
2020-03-19,15.0,88
2020-03-20,18.0,129
2020-03-21,12.0,76
2020-03-22,12.0,83
2020-03-23,16.0,127
2020-03-24,12.0,100
2020-03-25,13.0,63
2020-03-26,14.0,70
2020-03-27,13.0,97
2020-03-28,36.0,75
2020-03-29,17.0,62
2020-03-30,20.0,119
2020-03-31,9.0,66
2020-04-01,21.0,158
2020-04-02,14.0,110
2020-04-03,32.0,113
2020-04-04,29.0,101
2020-04-05,20.0,80
2020-04-06,32.0,130
2020-04-07,34.0,117
2020-04-08,37.0,121
2020-04-09,30.0,90
2020-04-10,40.0,139
2020-04-11,24.0,70
2020-04-12,66.0,102
2020-04-13,41.0,126
2020-04-14,55.0,117
2020-04-15,126.0,163
2020-04-16,123.0,196
2020-04-17,77.0,153
2020-04-18,88.0,111
2020-04-19,60.0,113
2020-04-20,127.0,190
2020-04-21,121.0,154
2020-04-22,62.0,120
2020-04-23,64.0,111
2020-04-24,53.0,108
2020-04-25,51.0,84
2020-04-26,71.0,87
2020-04-27,70.0,107
2020-04-28,45.0,71
2020-04-29,54.0,92
2020-04-30,33.0,61
2020-05-01,23.0,57
2020-05-02,17.0,44
2020-05-03,14.0,33
2020-05-04,15.0,50
2020-05-05,25.0,45
2020-05-06,16.0,48
2020-05-07,16.0,34
2020-05-08,19.0,44
2020-05-09,11.0,24
2020-05-10,8.0,35
2020-05-11,12.0,36
2020-05-12,26.0,29
2020-05-13,17.0,31
2020-05-14,13.0,28
2020-05-15,9.0,24
2020-05-16,12.0,13
2020-05-17,4.0,11
2020-05-18,13.0,26
2020-05-19,5.0,20
2020-05-20,13.0,17
2020-05-21,4.0,9
2020-05-22,6.0,12
2020-05-23,4.0,8
2020-05-24,4.0,9
2020-05-25,4.0,9
2020-05-26,4.0,10
2020-05-27,2.0,11
2020-05-28,1.0,6
2020-05-29,6.0,7
2020-05-30,4.0,5
2020-05-31,0.0,6
2020-06-01,3.0,12
2020-06-02,3.0,4
2020-06-03,4.0,3
2020-06-04,1.0,3
2020-06-05,4.0,5
2020-06-06,1.0,7
2020-06-07,2.0,1
2020-06-08,2.0,5
2020-06-09,3.0,3
2020-06-10,0.0,1
2020-06-11,0.0,4
2020-06-12,2.0,5
2020-06-13,2.0,0
2020-06-14,0.0,6
2020-06-15,0.0,2
2020-06-16,0.0,4
2020-06-17,1.0,2
2020-06-18,0.0,6
2020-06-19,1.0,1
2020-06-20,0.0,7
2020-06-21,0.0,1
2020-06-22,0.0,2
2020-06-23,2.0,3
2020-06-24,0.0,4
2020-06-25,0.0,1
2020-06-26,2.0,3
2020-06-27,0.0,3
2020-06-28,0.0,3
2020-06-29,0.0,3
2020-06-30,3.0,0
2020-07-01,1.0,5
2020-07-02,1.0,1
2020-07-03,0.0,1
2020-07-04,0.0,2
2020-07-05,1.0,2
2020-07-06,0.0,1
2020-07-07,1.0,2
2020-07-08,2.0,0
2020-07-09,1.0,5
2020-07-10,2.0,1
2020-07-11,0.0,2
2020-07-12,0.0,0
2020-07-13,0.0,1
2020-07-14,0.0,6
2020-07-15,2.0,2
2020-07-16,0.0,1
2020-07-17,0.0,3
2020-07-18,0.0,1
2020-07-19,0.0,0
2020-07-20,0.0,2
2020-07-21,2.0,4
2020-07-22,0.0,5
2020-07-23,1.0,9
2020-07-24,0.0,4
2020-07-25,0.0,1
2020-07-26,0.0,8
2020-07-27,1.0,11
2020-07-28,0.0,4
2020-07-29,0.0,4
2020-07-30,2.0,9
2020-07-31,1.0,7
2020-08-01,1.0,12
2020-08-02,0.0,10
2020-08-03,0.0,6
2020-08-04,2.0,6
2020-08-05,0.0,6
2020-08-06,0.0,5
2020-08-07,1.0,14
2020-08-08,1.0,11
2020-08-09,0.0,9
2020-08-10,0.0,10
2020-08-11,1.0,10
2020-08-12,1.0,13
2020-08-13,2.0,9
2020-08-14,1.0,5
2020-08-15,1.0,7
2020-08-16,1.0,12
2020-08-17,0.0,19
2020-08-18,0.0,16
2020-08-19,1.0,15
2020-08-20,1.0,17
2020-08-21,2.0,28
2020-08-22,0.0,34
2020-08-23,1.0,17
2020-08-24,2.0,21
2020-08-25,1.0,29
2020-08-26,0.0,17
2020-08-27,3.0,11
2020-08-28,1.0,17
2020-08-29,0.0,18
2020-08-30,0.0,12
2020-08-31,0.0,16
2020-09-01,1.0,21
2020-09-02,0.0,16
2020-09-03,2.0,19
2020-09-04,1.0,26
2020-09-05,1.0,17
2020-09-06,3.0,7
2020-09-07,2.0,32
2020-09-08,2.0,19
2020-09-09,1.0,19
2020-09-10,1.0,31
2020-09-11,3.0,22
2020-09-12,0.0,36
2020-09-13,2.0,31
2020-09-14,2.0,44
2020-09-15,0.0,24
2020-09-16,3.0,25
2020-09-17,5.0,28
2020-09-18,2.0,44
2020-09-19,0.0,47
2020-09-20,5.0,50
2020-09-21,4.0,46
2020-09-22,0.0,46
2020-09-23,1.0,36
2020-09-24,2.0,34
2020-09-25,3.0,45
2020-09-26,1.0,46
2020-09-27,1.0,65
2020-09-28,6.0,59
2020-09-29,3.0,75
2020-09-30,5.0,83
2020-10-01,5.0,122
2020-10-02,8.0,171
2020-10-03,5.0,166
2020-10-04,8.0,175
2020-10-05,14.0,269
2020-10-06,13.0,232
2020-10-07,16.0,306
2020-10-08,11.0,329
2020-10-09,28.0,396
2020-10-10,21.0,493
2020-10-11,26.0,440
2020-10-12,32.0,746
