data,operatori sanitari,altri
2020-02-18,2.0,11
2020-02-19,1.0,6
2020-02-20,0.0,11
2020-02-21,1.0,8
2020-02-22,0.0,10
2020-02-23,0.0,12
2020-02-24,1.0,14
2020-02-25,2.0,23
2020-02-26,2.0,8
2020-02-27,6.0,13
2020-02-28,4.0,19
2020-02-29,5.0,21
2020-03-01,7.0,50
2020-03-02,7.0,48
2020-03-03,3.0,56
2020-03-04,10.0,46
2020-03-05,12.0,69
2020-03-06,17.0,86
2020-03-07,8.0,114
2020-03-08,17.0,122
2020-03-09,28.0,174
2020-03-10,22.0,197
2020-03-11,24.0,192
2020-03-12,32.0,238
2020-03-13,33.0,278
2020-03-14,28.0,232
2020-03-15,39.0,244
2020-03-16,31.0,318
2020-03-17,34.0,304
2020-03-18,40.0,285
2020-03-19,35.0,300
2020-03-20,44.0,327
2020-03-21,29.0,274
2020-03-22,38.0,207
2020-03-23,39.0,249
2020-03-24,38.0,229
2020-03-25,32.0,197
2020-03-26,31.0,175
2020-03-27,39.0,170
2020-03-28,43.0,162
2020-03-29,33.0,119
2020-03-30,38.0,180
2020-03-31,34.0,128
2020-04-01,37.0,150
2020-04-02,50.0,118
2020-04-03,38.0,121
2020-04-04,30.0,107
2020-04-05,39.0,120
2020-04-06,25.0,104
2020-04-07,20.0,109
2020-04-08,38.0,99
2020-04-09,28.0,105
2020-04-10,23.0,98
2020-04-11,21.0,81
2020-04-12,24.0,71
2020-04-13,23.0,69
2020-04-14,22.0,99
2020-04-15,33.0,73
2020-04-16,26.0,63
2020-04-17,17.0,73
2020-04-18,22.0,68
2020-04-19,10.0,51
2020-04-20,21.0,78
2020-04-21,27.0,78
2020-04-22,19.0,92
2020-04-23,20.0,76
2020-04-24,28.0,56
2020-04-25,8.0,56
2020-04-26,9.0,47
2020-04-27,18.0,66
2020-04-28,10.0,65
2020-04-29,12.0,35
2020-04-30,12.0,28
2020-05-01,8.0,29
2020-05-02,14.0,29
2020-05-03,8.0,22
2020-05-04,6.0,41
2020-05-05,3.0,21
2020-05-06,6.0,20
2020-05-07,8.0,20
2020-05-08,6.0,16
2020-05-09,4.0,14
2020-05-10,3.0,14
2020-05-11,2.0,20
2020-05-12,3.0,8
2020-05-13,2.0,9
2020-05-14,5.0,8
2020-05-15,4.0,4
2020-05-16,4.0,8
2020-05-17,1.0,3
2020-05-18,1.0,6
2020-05-19,2.0,8
2020-05-20,1.0,8
2020-05-21,0.0,2
2020-05-22,1.0,4
2020-05-23,1.0,1
2020-05-24,0.0,2
2020-05-25,1.0,3
2020-05-26,0.0,2
2020-05-27,2.0,4
2020-05-28,0.0,1
2020-05-29,0.0,3
2020-05-30,2.0,5
2020-05-31,0.0,0
2020-06-01,0.0,2
2020-06-02,0.0,2
2020-06-03,0.0,3
2020-06-04,0.0,6
2020-06-05,0.0,4
2020-06-06,0.0,1
2020-06-07,1.0,1
2020-06-08,0.0,2
2020-06-09,0.0,4
2020-06-10,0.0,3
2020-06-11,0.0,2
2020-06-12,0.0,3
2020-06-13,1.0,3
2020-06-14,0.0,3
2020-06-15,0.0,0
2020-06-16,0.0,1
2020-06-17,0.0,2
2020-06-18,0.0,2
2020-06-19,0.0,4
2020-06-20,0.0,3
2020-06-21,0.0,0
2020-06-22,0.0,7
2020-06-23,0.0,3
2020-06-24,0.0,1
2020-06-25,0.0,5
2020-06-26,0.0,5
2020-06-27,1.0,3
2020-06-28,0.0,4
2020-06-29,0.0,1
2020-06-30,0.0,2
2020-07-01,0.0,5
2020-07-02,1.0,1
2020-07-03,0.0,3
2020-07-04,1.0,9
2020-07-05,0.0,2
2020-07-06,0.0,7
2020-07-07,1.0,7
2020-07-08,0.0,9
2020-07-09,0.0,12
2020-07-10,1.0,9
2020-07-11,0.0,4
2020-07-12,0.0,4
2020-07-13,0.0,16
2020-07-14,0.0,15
2020-07-15,1.0,11
2020-07-16,0.0,17
2020-07-17,0.0,13
2020-07-18,1.0,12
2020-07-19,0.0,7
2020-07-20,2.0,12
2020-07-21,0.0,15
2020-07-22,1.0,15
2020-07-23,1.0,13
2020-07-24,0.0,13
2020-07-25,3.0,17
2020-07-26,0.0,12
2020-07-27,0.0,9
2020-07-28,0.0,22
2020-07-29,2.0,20
2020-07-30,1.0,18
2020-07-31,1.0,20
2020-08-01,1.0,22
2020-08-02,1.0,17
2020-08-03,1.0,21
2020-08-04,0.0,18
2020-08-05,1.0,19
2020-08-06,2.0,28
2020-08-07,0.0,19
2020-08-08,1.0,31
2020-08-09,0.0,31
2020-08-10,2.0,29
2020-08-11,1.0,39
2020-08-12,0.0,29
2020-08-13,2.0,30
2020-08-14,0.0,44
2020-08-15,0.0,31
2020-08-16,0.0,38
2020-08-17,0.0,58
2020-08-18,1.0,63
2020-08-19,1.0,58
2020-08-20,0.0,54
2020-08-21,0.0,52
2020-08-22,1.0,45
2020-08-23,1.0,39
2020-08-24,1.0,71
2020-08-25,3.0,59
2020-08-26,2.0,45
2020-08-27,1.0,54
2020-08-28,3.0,52
2020-08-29,2.0,41
2020-08-30,0.0,41
2020-08-31,3.0,63
2020-09-01,3.0,60
2020-09-02,2.0,40
2020-09-03,2.0,43
2020-09-04,2.0,65
2020-09-05,1.0,51
2020-09-06,1.0,37
2020-09-07,1.0,77
2020-09-08,5.0,57
2020-09-09,2.0,76
2020-09-10,4.0,65
2020-09-11,0.0,70
2020-09-12,2.0,47
2020-09-13,3.0,48
2020-09-14,4.0,85
2020-09-15,2.0,85
2020-09-16,1.0,82
2020-09-17,6.0,82
2020-09-18,5.0,78
2020-09-19,6.0,89
2020-09-20,3.0,64
2020-09-21,6.0,82
2020-09-22,5.0,88
2020-09-23,3.0,80
2020-09-24,0.0,69
2020-09-25,1.0,77
2020-09-26,2.0,80
2020-09-27,3.0,69
2020-09-28,7.0,118
2020-09-29,6.0,88
2020-09-30,19.0,111
2020-10-01,14.0,114
2020-10-02,6.0,143
2020-10-03,7.0,169
2020-10-04,5.0,148
2020-10-05,8.0,181
2020-10-06,9.0,190
2020-10-07,14.0,211
2020-10-08,13.0,211
2020-10-09,11.0,227
2020-10-10,20.0,245
2020-10-11,21.0,227
2020-10-12,16.0,315
2020-10-13,17.0,347
2020-10-14,21.0,395
2020-10-15,21.0,384
2020-10-16,35.0,439
2020-10-17,27.0,447
2020-10-18,36.0,473
2020-10-19,37.0,604
2020-10-20,45.0,693
2020-10-21,47.0,674
2020-10-22,43.0,638
2020-10-23,35.0,711
2020-10-24,41.0,691
2020-10-25,41.0,717
2020-10-26,49.0,931
2020-10-27,38.0,885
2020-10-28,38.0,986
2020-10-29,32.0,879
2020-10-30,30.0,944
2020-10-31,40.0,854
2020-11-01,33.0,996
2020-11-02,32.0,1114
2020-11-03,53.0,1114
2020-11-04,51.0,1275
2020-11-05,46.0,1205
2020-11-06,45.0,1259
2020-11-07,43.0,1128
2020-11-08,37.0,1098
2020-11-09,41.0,1380
2020-11-10,49.0,1474
2020-11-11,45.0,1384
2020-11-12,52.0,1405
2020-11-13,56.0,1477
2020-11-14,57.0,1598
2020-11-15,55.0,1363
2020-11-16,57.0,1764
2020-11-17,56.0,1456
2020-11-18,63.0,1555
2020-11-19,70.0,1321
2020-11-20,86.0,1376
2020-11-21,62.0,1293
2020-11-22,69.0,1080
2020-11-23,76.0,1472
2020-11-24,113.0,1336
2020-11-25,82.0,1447
2020-11-26,89.0,1347
2020-11-27,94.0,1466
2020-11-28,92.0,1471
2020-11-29,66.0,1213
2020-11-30,115.0,1828
2020-12-01,102.0,1830
2020-12-02,117.0,1745
2020-12-03,118.0,1705
2020-12-04,127.0,1818
2020-12-05,114.0,1725
2020-12-06,96.0,1594
2020-12-07,116.0,2047
2020-12-08,108.0,1815
2020-12-09,92.0,2074
2020-12-10,112.0,2030
2020-12-11,110.0,1953
2020-12-12,88.0,1922
2020-12-13,69.0,1784
2020-12-14,143.0,2317
2020-12-15,102.0,1962
2020-12-16,99.0,2037
2020-12-17,88.0,1871
2020-12-18,115.0,1923
2020-12-19,106.0,1791
2020-12-20,89.0,1851
2020-12-21,111.0,2093
2020-12-22,103.0,2026
2020-12-23,92.0,1995
2020-12-24,90.0,2020
2020-12-25,79.0,1740
2020-12-26,88.0,1746
2020-12-27,76.0,1785
2020-12-28,110.0,2463
2020-12-29,90.0,1933
2020-12-30,82.0,1843
2020-12-31,95.0,1673
2021-01-01,67.0,1560
2021-01-02,78.0,1594
2021-01-03,74.0,1544
2021-01-04,102.0,1691
2021-01-05,87.0,1456
2021-01-06,50.0,1212
2021-01-07,64.0,1132
2021-01-08,59.0,991
2021-01-09,44.0,857
2021-01-10,54.0,764
2021-01-11,68.0,938
2021-01-12,50.0,731
2021-01-13,36.0,735
2021-01-14,35.0,632
2021-01-15,39.0,613
2021-01-16,32.0,618
2021-01-17,28.0,529
2021-01-18,34.0,658
2021-01-19,28.0,591
2021-01-20,20.0,618
2021-01-21,18.0,549
2021-01-22,30.0,501
2021-01-23,13.0,499
2021-01-24,16.0,438
2021-01-25,19.0,499
2021-01-26,12.0,374
2021-01-27,10.0,438
2021-01-28,12.0,437
2021-01-29,10.0,389
2021-01-30,6.0,382
2021-01-31,9.0,340
2021-02-01,10.0,449
2021-02-02,7.0,398
2021-02-03,10.0,428
2021-02-04,8.0,409
2021-02-05,8.0,367
2021-02-06,5.0,387
2021-02-07,10.0,392
2021-02-08,5.0,470
2021-02-09,6.0,414
2021-02-10,7.0,438
2021-02-11,4.0,408
2021-02-12,4.0,438
2021-02-13,5.0,355
2021-02-14,4.0,393
2021-02-15,1.0,518
2021-02-16,8.0,511
2021-02-17,3.0,576
2021-02-18,7.0,636
2021-02-19,5.0,599
2021-02-20,2.0,597
2021-02-21,5.0,622
2021-02-22,4.0,779
2021-02-23,6.0,671
2021-02-24,5.0,690
2021-02-25,4.0,714
2021-02-26,1.0,690
2021-02-27,7.0,668
2021-02-28,5.0,716
2021-03-01,13.0,1052
2021-03-02,7.0,954
2021-03-03,6.0,982
2021-03-04,3.0,979
2021-03-05,7.0,1009
2021-03-06,5.0,952
2021-03-07,5.0,917
2021-03-08,11.0,1230
2021-03-09,7.0,1059
2021-03-10,6.0,1302
2021-03-11,5.0,1214
2021-03-12,5.0,1219
2021-03-13,7.0,1115
2021-03-14,9.0,1148
2021-03-15,11.0,1420
2021-03-16,10.0,1258
2021-03-17,7.0,1202
2021-03-18,5.0,1230
2021-03-19,5.0,1181
2021-03-20,13.0,1127
2021-03-21,10.0,967
2021-03-22,8.0,1315
2021-03-23,8.0,1192
2021-03-24,8.0,1042
2021-03-25,5.0,1024
2021-03-26,7.0,939
2021-03-27,13.0,944
2021-03-28,5.0,769
2021-03-29,4.0,1060
2021-03-30,5.0,905
2021-03-31,4.0,742
2021-04-01,5.0,762
2021-04-02,7.0,670
2021-04-03,3.0,592
2021-04-04,5.0,521
2021-04-05,4.0,544
2021-04-06,3.0,624
2021-04-07,4.0,659
2021-04-08,6.0,636
2021-04-09,7.0,617
2021-04-10,6.0,578
2021-04-11,3.0,545
2021-04-12,6.0,665
2021-04-13,2.0,539
2021-04-14,3.0,551
2021-04-15,6.0,571
2021-04-16,1.0,523
2021-04-17,4.0,531
2021-04-18,1.0,501
