data,operatori sanitari,altri
2020-02-18,2.0,11
2020-02-19,1.0,6
2020-02-20,0.0,10
2020-02-21,1.0,8
2020-02-22,0.0,10
2020-02-23,0.0,13
2020-02-24,1.0,13
2020-02-25,2.0,23
2020-02-26,2.0,7
2020-02-27,6.0,13
2020-02-28,4.0,17
2020-02-29,5.0,20
2020-03-01,7.0,49
2020-03-02,7.0,47
2020-03-03,3.0,56
2020-03-04,10.0,45
2020-03-05,12.0,69
2020-03-06,17.0,88
2020-03-07,8.0,114
2020-03-08,17.0,121
2020-03-09,28.0,173
2020-03-10,22.0,195
2020-03-11,23.0,192
2020-03-12,32.0,238
2020-03-13,33.0,277
2020-03-14,28.0,232
2020-03-15,39.0,244
2020-03-16,31.0,317
2020-03-17,34.0,301
2020-03-18,40.0,284
2020-03-19,35.0,299
2020-03-20,44.0,327
2020-03-21,29.0,274
2020-03-22,38.0,207
2020-03-23,39.0,249
2020-03-24,38.0,229
2020-03-25,32.0,195
2020-03-26,31.0,175
2020-03-27,39.0,170
2020-03-28,43.0,162
2020-03-29,33.0,119
2020-03-30,38.0,179
2020-03-31,34.0,128
2020-04-01,36.0,150
2020-04-02,50.0,118
2020-04-03,38.0,121
2020-04-04,30.0,107
2020-04-05,39.0,120
2020-04-06,25.0,104
2020-04-07,20.0,108
2020-04-08,38.0,100
2020-04-09,28.0,105
2020-04-10,23.0,98
2020-04-11,21.0,81
2020-04-12,24.0,71
2020-04-13,23.0,69
2020-04-14,22.0,100
2020-04-15,33.0,73
2020-04-16,26.0,63
2020-04-17,17.0,72
2020-04-18,22.0,69
2020-04-19,10.0,51
2020-04-20,21.0,78
2020-04-21,27.0,78
2020-04-22,19.0,92
2020-04-23,20.0,76
2020-04-24,28.0,56
2020-04-25,8.0,56
2020-04-26,9.0,47
2020-04-27,18.0,66
2020-04-28,10.0,65
2020-04-29,12.0,35
2020-04-30,12.0,28
2020-05-01,8.0,29
2020-05-02,14.0,29
2020-05-03,8.0,22
2020-05-04,6.0,41
2020-05-05,3.0,21
2020-05-06,6.0,20
2020-05-07,8.0,20
2020-05-08,6.0,16
2020-05-09,4.0,14
2020-05-10,3.0,14
2020-05-11,2.0,20
2020-05-12,3.0,8
2020-05-13,2.0,9
2020-05-14,5.0,8
2020-05-15,4.0,4
2020-05-16,4.0,8
2020-05-17,1.0,3
2020-05-18,1.0,6
2020-05-19,2.0,8
2020-05-20,1.0,8
2020-05-21,0.0,2
2020-05-22,1.0,4
2020-05-23,1.0,1
2020-05-24,0.0,2
2020-05-25,1.0,2
2020-05-26,0.0,2
2020-05-27,2.0,4
2020-05-28,0.0,1
2020-05-29,0.0,3
2020-05-30,2.0,5
2020-05-31,0.0,0
2020-06-01,0.0,2
2020-06-02,0.0,2
2020-06-03,0.0,3
2020-06-04,0.0,6
2020-06-05,0.0,4
2020-06-06,0.0,1
2020-06-07,1.0,1
2020-06-08,0.0,2
2020-06-09,0.0,4
2020-06-10,0.0,3
2020-06-11,0.0,2
2020-06-12,0.0,3
2020-06-13,1.0,2
2020-06-14,0.0,3
2020-06-15,0.0,0
2020-06-16,0.0,1
2020-06-17,0.0,2
2020-06-18,0.0,2
2020-06-19,0.0,4
2020-06-20,0.0,3
2020-06-21,0.0,0
2020-06-22,0.0,7
2020-06-23,0.0,3
2020-06-24,0.0,1
2020-06-25,0.0,5
2020-06-26,0.0,5
2020-06-27,1.0,3
2020-06-28,0.0,4
2020-06-29,0.0,1
2020-06-30,0.0,2
2020-07-01,0.0,5
2020-07-02,1.0,1
2020-07-03,0.0,2
2020-07-04,1.0,8
2020-07-05,0.0,2
2020-07-06,0.0,7
2020-07-07,1.0,7
2020-07-08,0.0,9
2020-07-09,0.0,12
2020-07-10,1.0,9
2020-07-11,0.0,4
2020-07-12,0.0,4
2020-07-13,0.0,16
2020-07-14,0.0,15
2020-07-15,1.0,11
2020-07-16,0.0,17
2020-07-17,0.0,13
2020-07-18,1.0,12
2020-07-19,0.0,7
2020-07-20,2.0,12
2020-07-21,0.0,14
2020-07-22,1.0,15
2020-07-23,1.0,13
2020-07-24,0.0,13
2020-07-25,3.0,17
2020-07-26,0.0,12
2020-07-27,0.0,9
2020-07-28,0.0,22
2020-07-29,2.0,20
2020-07-30,1.0,18
2020-07-31,1.0,20
2020-08-01,1.0,22
2020-08-02,1.0,17
2020-08-03,1.0,21
2020-08-04,0.0,18
2020-08-05,1.0,19
2020-08-06,2.0,28
2020-08-07,0.0,19
2020-08-08,1.0,31
2020-08-09,0.0,31
2020-08-10,2.0,29
2020-08-11,1.0,39
2020-08-12,0.0,29
2020-08-13,2.0,30
2020-08-14,0.0,44
2020-08-15,0.0,31
2020-08-16,0.0,38
2020-08-17,0.0,57
2020-08-18,1.0,62
2020-08-19,1.0,58
2020-08-20,0.0,53
2020-08-21,0.0,52
2020-08-22,1.0,45
2020-08-23,1.0,39
2020-08-24,1.0,71
2020-08-25,3.0,59
2020-08-26,2.0,45
2020-08-27,1.0,54
2020-08-28,3.0,52
2020-08-29,2.0,41
2020-08-30,0.0,41
2020-08-31,3.0,63
2020-09-01,3.0,60
2020-09-02,2.0,38
2020-09-03,2.0,43
2020-09-04,2.0,65
2020-09-05,1.0,50
2020-09-06,1.0,37
2020-09-07,1.0,77
2020-09-08,5.0,56
2020-09-09,2.0,76
2020-09-10,4.0,65
2020-09-11,0.0,70
2020-09-12,2.0,47
2020-09-13,3.0,48
2020-09-14,4.0,84
2020-09-15,2.0,85
2020-09-16,1.0,82
2020-09-17,6.0,83
2020-09-18,5.0,78
2020-09-19,6.0,89
2020-09-20,3.0,64
2020-09-21,6.0,82
2020-09-22,5.0,89
2020-09-23,3.0,80
2020-09-24,0.0,68
2020-09-25,1.0,77
2020-09-26,2.0,79
2020-09-27,3.0,68
2020-09-28,7.0,118
2020-09-29,6.0,88
2020-09-30,19.0,110
2020-10-01,14.0,113
2020-10-02,6.0,142
2020-10-03,7.0,169
2020-10-04,5.0,147
2020-10-05,8.0,181
2020-10-06,9.0,188
2020-10-07,14.0,211
2020-10-08,13.0,210
2020-10-09,11.0,227
2020-10-10,20.0,245
2020-10-11,21.0,227
2020-10-12,16.0,315
2020-10-13,17.0,347
2020-10-14,21.0,395
2020-10-15,21.0,386
2020-10-16,35.0,439
2020-10-17,27.0,448
2020-10-18,36.0,470
2020-10-19,37.0,604
2020-10-20,45.0,692
2020-10-21,47.0,674
2020-10-22,43.0,639
2020-10-23,35.0,709
2020-10-24,41.0,691
2020-10-25,41.0,712
2020-10-26,49.0,930
2020-10-27,38.0,885
2020-10-28,38.0,981
2020-10-29,32.0,874
2020-10-30,30.0,945
2020-10-31,40.0,853
2020-11-01,33.0,995
2020-11-02,32.0,1111
2020-11-03,53.0,1108
2020-11-04,51.0,1271
2020-11-05,46.0,1204
2020-11-06,45.0,1252
2020-11-07,43.0,1126
2020-11-08,37.0,1097
2020-11-09,41.0,1374
2020-11-10,49.0,1467
2020-11-11,45.0,1378
2020-11-12,52.0,1397
2020-11-13,56.0,1473
2020-11-14,57.0,1597
2020-11-15,55.0,1358
2020-11-16,57.0,1750
2020-11-17,56.0,1449
2020-11-18,63.0,1543
2020-11-19,69.0,1312
2020-11-20,86.0,1374
2020-11-21,62.0,1290
2020-11-22,69.0,1079
2020-11-23,76.0,1467
2020-11-24,113.0,1330
2020-11-25,82.0,1443
2020-11-26,89.0,1341
2020-11-27,94.0,1463
2020-11-28,92.0,1467
2020-11-29,66.0,1205
2020-11-30,115.0,1824
2020-12-01,102.0,1816
2020-12-02,117.0,1738
2020-12-03,118.0,1703
2020-12-04,126.0,1814
2020-12-05,114.0,1718
2020-12-06,96.0,1591
2020-12-07,116.0,2040
2020-12-08,108.0,1808
2020-12-09,92.0,2066
2020-12-10,112.0,2025
2020-12-11,110.0,1942
2020-12-12,88.0,1915
2020-12-13,69.0,1781
2020-12-14,143.0,2311
2020-12-15,102.0,1954
2020-12-16,99.0,2032
2020-12-17,88.0,1867
2020-12-18,115.0,1914
2020-12-19,106.0,1785
2020-12-20,89.0,1847
2020-12-21,111.0,2083
2020-12-22,103.0,2022
2020-12-23,92.0,1990
2020-12-24,89.0,2019
2020-12-25,79.0,1734
2020-12-26,88.0,1744
2020-12-27,76.0,1781
2020-12-28,110.0,2458
2020-12-29,90.0,1930
2020-12-30,82.0,1840
2020-12-31,95.0,1667
2021-01-01,67.0,1556
2021-01-02,78.0,1592
2021-01-03,74.0,1537
2021-01-04,101.0,1687
2021-01-05,87.0,1451
2021-01-06,50.0,1209
2021-01-07,64.0,1127
2021-01-08,59.0,988
2021-01-09,44.0,855
2021-01-10,54.0,762
2021-01-11,68.0,935
2021-01-12,50.0,727
2021-01-13,36.0,732
2021-01-14,35.0,632
2021-01-15,38.0,609
2021-01-16,32.0,615
2021-01-17,28.0,527
2021-01-18,34.0,656
2021-01-19,28.0,587
2021-01-20,20.0,612
2021-01-21,18.0,548
2021-01-22,30.0,499
2021-01-23,13.0,494
2021-01-24,16.0,435
2021-01-25,19.0,497
2021-01-26,12.0,374
2021-01-27,10.0,437
2021-01-28,12.0,432
2021-01-29,10.0,380
2021-01-30,6.0,375
2021-01-31,9.0,328
2021-02-01,9.0,445
2021-02-02,7.0,398
2021-02-03,10.0,427
2021-02-04,8.0,406
2021-02-05,8.0,366
2021-02-06,5.0,386
2021-02-07,10.0,392
2021-02-08,5.0,470
2021-02-09,6.0,411
2021-02-10,7.0,437
2021-02-11,4.0,408
2021-02-12,4.0,439
2021-02-13,5.0,354
2021-02-14,4.0,391
2021-02-15,1.0,518
2021-02-16,8.0,506
2021-02-17,3.0,574
2021-02-18,7.0,633
2021-02-19,5.0,597
2021-02-20,2.0,593
2021-02-21,5.0,621
2021-02-22,4.0,774
2021-02-23,6.0,671
2021-02-24,5.0,689
2021-02-25,4.0,711
2021-02-26,1.0,689
2021-02-27,7.0,666
2021-02-28,5.0,713
2021-03-01,12.0,1048
2021-03-02,7.0,954
2021-03-03,6.0,979
2021-03-04,3.0,977
2021-03-05,7.0,1008
2021-03-06,5.0,950
2021-03-07,5.0,915
2021-03-08,10.0,1227
2021-03-09,7.0,1057
2021-03-10,6.0,1296
2021-03-11,5.0,1211
2021-03-12,5.0,1218
2021-03-13,7.0,1114
2021-03-14,9.0,1141
2021-03-15,11.0,1417
2021-03-16,10.0,1258
2021-03-17,7.0,1199
2021-03-18,5.0,1229
2021-03-19,5.0,1180
2021-03-20,13.0,1122
2021-03-21,10.0,967
2021-03-22,8.0,1313
2021-03-23,8.0,1186
2021-03-24,8.0,1041
2021-03-25,5.0,1024
2021-03-26,7.0,936
2021-03-27,13.0,940
2021-03-28,5.0,768
2021-03-29,4.0,1058
2021-03-30,5.0,903
2021-03-31,4.0,740
2021-04-01,5.0,760
2021-04-02,7.0,668
2021-04-03,3.0,590
2021-04-04,5.0,517
2021-04-05,4.0,544
2021-04-06,3.0,624
2021-04-07,4.0,658
2021-04-08,6.0,635
2021-04-09,7.0,616
2021-04-10,6.0,577
2021-04-11,3.0,544
2021-04-12,6.0,663
2021-04-13,2.0,538
2021-04-14,3.0,551
2021-04-15,6.0,571
2021-04-16,1.0,523
2021-04-17,4.0,531
2021-04-18,1.0,499
