data,tutti,maschi,femmine
0.0,0,0.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,1,0.0,1
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,0,0.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,0,0.0,0
19.0,0,0.0,0
20.0,0,0.0,0
21.0,0,0.0,0
22.0,0,0.0,0
23.0,0,0.0,0
24.0,0,0.0,0
25.0,0,0.0,0
26.0,0,0.0,0
27.0,0,0.0,0
28.0,1,1.0,0
29.0,0,0.0,0
30.0,0,0.0,0
31.0,0,0.0,0
32.0,1,1.0,0
33.0,0,0.0,0
34.0,0,0.0,0
35.0,0,0.0,0
36.0,2,1.0,1
37.0,2,1.0,1
38.0,0,0.0,0
39.0,1,1.0,0
40.0,1,1.0,0
41.0,0,0.0,0
42.0,1,1.0,0
43.0,1,1.0,0
44.0,1,1.0,0
45.0,2,0.0,2
46.0,5,4.0,1
47.0,0,0.0,0
48.0,3,1.0,2
49.0,4,1.0,3
50.0,5,2.0,3
51.0,2,2.0,0
52.0,4,4.0,0
53.0,2,1.0,1
54.0,9,6.0,3
55.0,2,2.0,0
56.0,8,5.0,3
57.0,11,7.0,4
58.0,7,4.0,3
59.0,9,8.0,1
60.0,8,6.0,2
61.0,11,8.0,3
62.0,12,9.0,3
63.0,20,17.0,3
64.0,15,10.0,5
65.0,15,10.0,5
66.0,25,17.0,8
67.0,23,16.0,7
68.0,19,13.0,6
69.0,28,22.0,6
70.0,34,25.0,9
71.0,41,30.0,11
72.0,54,44.0,10
73.0,49,32.0,17
74.0,79,51.0,28
75.0,52,37.0,15
76.0,55,36.0,19
77.0,67,43.0,24
78.0,93,59.0,34
79.0,102,74.0,28
80.0,109,65.0,44
81.0,129,76.0,53
82.0,143,79.0,64
83.0,130,87.0,43
84.0,118,68.0,50
85.0,132,73.0,59
86.0,143,72.0,71
87.0,138,70.0,68
88.0,152,82.0,70
89.0,135,70.0,65
90.0,128,60.0,68
91.0,135,56.0,79
92.0,130,54.0,76
93.0,93,40.0,53
94.0,74,20.0,54
95.0,86,27.0,59
96.0,66,14.0,52
97.0,62,20.0,42
98.0,34,7.0,27
99.0,23,5.0,18
100.0,11,1.0,10
101.0,6,1.0,5
102.0,4,,4
103.0,0,,0
104.0,1,,1
105.0,1,,1
