data,tutti,maschi,femmine
0.0,76,45.0,31
1.0,20,11.0,9
2.0,10,6.0,4
3.0,12,6.0,6
4.0,9,3.0,6
5.0,7,5.0,2
6.0,6,1.0,5
7.0,9,7.0,2
8.0,4,2.0,2
9.0,5,3.0,2
10.0,3,2.0,1
11.0,5,4.0,1
12.0,6,3.0,3
13.0,12,8.0,4
14.0,10,4.0,6
15.0,11,4.0,7
16.0,16,9.0,7
17.0,10,4.0,6
18.0,21,10.0,11
19.0,11,5.0,6
20.0,25,14.0,11
21.0,22,9.0,13
22.0,28,17.0,11
23.0,28,8.0,20
24.0,27,10.0,17
25.0,25,8.0,17
26.0,35,16.0,19
27.0,26,11.0,15
28.0,24,9.0,15
29.0,36,17.0,19
30.0,39,18.0,21
31.0,48,18.0,30
32.0,43,16.0,27
33.0,57,24.0,33
34.0,40,20.0,20
35.0,52,30.0,22
36.0,50,19.0,31
37.0,36,13.0,23
38.0,50,25.0,25
39.0,50,31.0,19
40.0,54,33.0,21
41.0,52,30.0,22
42.0,53,33.0,20
43.0,59,38.0,21
44.0,78,49.0,29
45.0,63,41.0,22
46.0,78,50.0,28
47.0,98,64.0,34
48.0,103,59.0,44
49.0,118,67.0,51
50.0,130,86.0,44
51.0,121,81.0,40
52.0,122,87.0,35
53.0,159,104.0,55
54.0,168,113.0,55
55.0,162,99.0,63
56.0,148,95.0,53
57.0,166,118.0,48
58.0,198,138.0,60
59.0,170,116.0,54
60.0,205,125.0,80
61.0,183,122.0,61
62.0,181,125.0,56
63.0,228,145.0,83
64.0,179,115.0,64
65.0,225,152.0,73
66.0,216,139.0,77
67.0,209,148.0,61
68.0,226,141.0,85
69.0,221,137.0,84
70.0,245,168.0,77
71.0,259,165.0,94
72.0,288,194.0,94
73.0,317,207.0,110
74.0,344,205.0,139
75.0,309,196.0,113
76.0,305,175.0,130
77.0,309,178.0,131
78.0,338,190.0,148
79.0,373,226.0,147
80.0,362,201.0,161
81.0,423,214.0,209
82.0,394,204.0,190
83.0,361,194.0,167
84.0,339,174.0,165
85.0,339,167.0,172
86.0,315,148.0,167
87.0,273,140.0,133
88.0,288,127.0,161
89.0,266,125.0,141
90.0,229,100.0,129
91.0,186,75.0,111
92.0,156,72.0,84
93.0,118,46.0,72
94.0,112,41.0,71
95.0,81,32.0,49
96.0,50,18.0,32
97.0,46,18.0,28
98.0,24,8.0,16
99.0,28,4.0,24
100.0,8,,8
101.0,4,,4
102.0,2,,2
