data,rt_positivi,rt_positivi_err68perc,rt_sintomatici,rt_sintomatici_err68perc
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,3.981655518035581,2.336465883040512,3.981655518035581,2.336465883040512
2020-03-13,3.7402659937053864,2.06337190601491,3.7402659937053864,2.06337190601491
2020-03-14,3.3526126517068127,1.6228725246358056,3.3526126517068127,1.6228725246358056
2020-03-15,3.3161228816898345,1.5891130034151326,3.3161228816898345,1.5891130034151326
2020-03-16,3.1680573251556647,1.4504206978437235,3.1680573251556647,1.4504206978437235
2020-03-17,2.967244975074341,1.2704829629424554,2.967244975074341,1.2704829629424554
2020-03-18,2.733576207731949,1.0671234117161417,2.733576207731949,1.0671234117161417
2020-03-19,2.454417653280235,0.8314783964768918,2.454417653280235,0.8314783964768918
2020-03-20,2.2322433216277355,0.6614612757469269,2.2322433216277355,0.6614612757469269
2020-03-21,2.0198802314055913,0.5120063104583843,2.0198802314055913,0.5120063104583843
2020-03-22,1.8021499498363873,0.3624038484879818,1.8021499498363873,0.3624038484879818
2020-03-23,1.661629668286052,0.2817057855002089,1.661629668286052,0.2817057855002089
2020-03-24,1.5658174100962123,0.23149119505672316,1.5658174100962123,0.23149119505672316
2020-03-25,1.4845136316130965,0.19421495128170732,1.4845136316130965,0.19421495128170732
2020-03-26,1.4013218091014834,0.15558937056821648,1.4013218091014834,0.15558937056821648
2020-03-27,1.3158437073230747,0.118266714432922,1.3158437073230747,0.118266714432922
2020-03-28,1.2487596367260516,0.09295096623074461,1.2487596367260516,0.09295096623074461
2020-03-29,1.176078529063309,0.06769973437111318,1.176078529063309,0.06769973437111318
2020-03-30,1.116052521415302,0.049961359899293775,1.116052521415302,0.049961359899293775
2020-03-31,1.0722704674917953,0.03267508410107288,1.0722704674917953,0.03267508410107288
2020-04-01,1.0516966260107399,0.024179052614491332,1.0516966260107399,0.024179052614491332
2020-04-02,1.0357456686645876,0.018871552335983505,1.0357456686645876,0.018871552335983505
2020-04-03,1.0210753557733534,0.016482507999568918,1.0210753557733534,0.016482507999568918
2020-04-04,1.003398868643708,0.014393734747139878,1.003398868643708,0.014393734747139878
2020-04-05,0.9876095924555028,0.016089685111526555,0.9876095924555028,0.016089685111526555
2020-04-06,0.9585987917983586,0.02086859289085819,0.9585987917983586,0.02086859289085819
2020-04-07,0.9217869100437356,0.03269928273027062,0.9217869100437356,0.03269928273027062
2020-04-08,0.8828268251731112,0.0406572318209988,0.8828268251731112,0.0406572318209988
2020-04-09,0.8581983297880103,0.045174571975422184,0.8581983297880103,0.045174571975422184
2020-04-10,0.853896978726661,0.04554219622213428,0.853896978726661,0.04554219622213428
2020-04-11,0.8436329595251106,0.046586984898330595,0.8436329595251106,0.046586984898330595
2020-04-12,0.8266976479091559,0.048030130706156804,0.8266976479091559,0.048030130706156804
2020-04-13,0.8093660365025983,0.049347306355627535,0.8093660365025983,0.049347306355627535
2020-04-14,0.820036614624038,0.048367292759158305,0.820036614624038,0.048367292759158305
2020-04-15,0.8251224766221521,0.04738689146983963,0.8251224766221521,0.04738689146983963
2020-04-16,0.8372199811202834,0.045031879743821,0.8372199811202834,0.045031879743821
2020-04-17,0.8565402109267469,0.04151486676323915,0.8565402109267469,0.04151486676323915
2020-04-18,0.8802851757189787,0.03624335354086186,0.8802851757189787,0.03624335354086186
2020-04-19,0.8969113387599528,0.031499925335445704,0.8969113387599528,0.031499925335445704
2020-04-20,0.914955749519884,0.0267950423025885,0.914955749519884,0.0267950423025885
2020-04-21,0.9125148071232968,0.027169311327441298,0.9125148071232968,0.027169311327441298
2020-04-22,0.9036092645977896,0.028385584183293604,0.9036092645977896,0.028385584183293604
2020-04-23,0.8900052698094094,0.03043135725736238,0.8900052698094094,0.03043135725736238
2020-04-24,0.876096754484909,0.035145068219026784,0.876096754484909,0.035145068219026784
