data,operatori sanitari,altri
2020-03-09,1.0,3.0
2020-03-10,1.0,8.0
2020-03-11,1.0,16.0
2020-03-12,0.0,9.0
2020-03-13,2.0,18.0
2020-03-14,0.0,9.0
2020-03-15,2.0,9.0
2020-03-16,6.0,21.0
2020-03-17,1.0,30.0
2020-03-18,1.0,19.0
2020-03-19,4.0,29.0
2020-03-20,2.0,22.0
2020-03-21,3.0,36.0
2020-03-22,4.0,26.0
2020-03-23,2.0,21.0
2020-03-24,2.0,29.0
2020-03-25,16.0,36.0
2020-03-26,4.0,84.0
2020-03-27,5.0,40.0
2020-03-28,4.0,21.0
2020-03-29,2.0,14.0
2020-03-30,1.0,17.0
2020-03-31,3.0,22.0
2020-04-01,1.0,24.0
2020-04-02,3.0,15.0
2020-04-03,5.0,23.0
2020-04-04,0.0,22.0
2020-04-05,0.0,6.0
2020-04-06,1.0,9.0
2020-04-07,3.0,16.0
2020-04-08,1.0,17.0
2020-04-09,3.0,17.0
2020-04-10,0.0,6.0
2020-04-11,2.0,5.0
2020-04-12,1.0,2.0
2020-04-13,6.0,6.0
2020-04-14,14.0,19.0
2020-04-15,13.0,12.0
2020-04-16,9.0,33.0
2020-04-17,4.0,12.0
2020-04-18,0.0,6.0
2020-04-19,0.0,9.0
2020-04-20,0.0,2.0
2020-04-21,1.0,8.0
2020-04-22,2.0,9.0
2020-04-23,2.0,7.0
2020-04-24,0.0,7.0
2020-04-25,0.0,5.0
2020-04-26,0.0,1.0
2020-04-27,0.0,1.0
2020-04-28,0.0,5.0
2020-04-29,0.0,2.0
2020-04-30,0.0,2.0
2020-05-01,0.0,1.0
2020-05-02,1.0,1.0
2020-05-03,0.0,1.0
2020-05-04,0.0,3.0
2020-05-05,0.0,3.0
2020-05-06,0.0,6.0
2020-05-07,0.0,4.0
2020-05-08,0.0,1.0
2020-05-09,0.0,2.0
2020-05-10,0.0,3.0
2020-05-11,0.0,1.0
2020-05-12,0.0,2.0
2020-05-13,0.0,1.0
2020-05-14,0.0,1.0
2020-05-15,0.0,2.0
2020-05-16,0.0,0.0
2020-05-17,0.0,1.0
2020-05-18,0.0,1.0
2020-05-19,0.0,0.0
2020-05-20,0.0,0.0
2020-05-21,0.0,1.0
2020-05-22,0.0,0.0
2020-05-23,0.0,1.0
2020-05-24,0.0,1.0
2020-05-25,0.0,1.0
2020-05-26,0.0,0.0
2020-05-27,0.0,0.0
2020-05-28,0.0,0.0
2020-05-29,0.0,0.0
2020-05-30,0.0,0.0
2020-05-31,0.0,0.0
2020-06-01,0.0,0.0
2020-06-02,0.0,0.0
2020-06-03,0.0,0.0
2020-06-04,0.0,1.0
2020-06-05,0.0,0.0
2020-06-06,0.0,0.0
2020-06-07,0.0,0.0
2020-06-08,0.0,1.0
2020-06-09,0.0,0.0
2020-06-10,0.0,1.0
2020-06-11,0.0,1.0
2020-06-12,0.0,0.0
2020-06-13,0.0,0.0
2020-06-14,0.0,0.0
2020-06-15,0.0,0.0
2020-06-16,0.0,2.0
2020-06-17,0.0,0.0
2020-06-18,0.0,2.0
2020-06-19,0.0,1.0
