dt_PRELIEVO,positivi,deceduti,deceduti/positivi 7gg
2020-01-29,2,,
2020-01-30,0,,
2020-01-31,0,,
2020-02-01,0,,
2020-02-02,0,,
2020-02-03,0,,
2020-02-04,0,,
2020-02-05,0,,
2020-02-06,1,,
2020-02-07,0,,
2020-02-08,0,,
2020-02-09,0,,
2020-02-10,0,,
2020-02-11,0,,
2020-02-12,0,,
2020-02-13,0,,
2020-02-14,0,,
2020-02-15,0,,
2020-02-16,0,,
2020-02-17,0,,
2020-02-18,0,,
2020-02-19,0,,
2020-02-20,4,1.0,
2020-02-21,36,10.0,
2020-02-22,57,14.0,
2020-02-23,77,8.0,0.16643741403026135
2020-02-24,85,14.0,0.17623762376237623
2020-02-25,192,20.0,0.19667170953101362
2020-02-26,276,54.0,0.21428571428571427
2020-02-27,287,58.0,0.23033992897006594
2020-02-28,348,92.0,0.24294234592445327
2020-02-29,373,105.0,0.26112
2020-03-01,410,111.0,0.2677707006369427
2020-03-02,629,171.0,0.2716599190283401
2020-03-03,802,225.0,0.26510944135903297
2020-03-04,1076,289.0,0.26182877757735534
2020-03-05,1302,349.0,0.25733689061363085
2020-03-06,1530,373.0,0.252384818347879
2020-03-07,1458,369.0,0.24747826086956523
2020-03-08,1449,346.0,0.24409090909090908
2020-03-09,2237,536.0,0.24072596729158358
2020-03-10,2448,584.0,0.2391415431783342
2020-03-11,2776,665.0,0.23411388225732718
2020-03-12,3144,748.0,0.23531085502916488
2020-03-13,4101,964.0,0.22922212363206151
2020-03-14,3532,766.0,0.22302104114126547
2020-03-15,2849,699.0,0.21600352769580408
2020-03-16,4817,999.0,0.21196789406290015
2020-03-17,5348,1084.0,0.20516196997629707
2020-03-18,5690,1108.0,0.2039146207711128
2020-03-19,5682,1167.0,0.20144670397161185
2020-03-20,6255,1188.0,0.19752077014374259
2020-03-21,4918,1006.0,0.19333714463905202
2020-03-22,3925,828.0,0.19017514768369778
2020-03-23,6097,1108.0,0.183522830281526
2020-03-24,5915,1035.0,0.1780189816999633
2020-03-25,5804,1008.0,0.17304585066087463
2020-03-26,5697,913.0,0.17000542888165038
2020-03-27,5786,892.0,0.16647127784290738
2020-03-28,4529,749.0,0.16098114277612363
2020-03-29,3012,558.0,0.15699579527330723
2020-03-30,5083,809.0,0.15328467153284672
2020-03-31,5354,748.0,0.15075252133436773
2020-04-01,5024,745.0,0.14833710659736615
2020-04-02,4777,644.0,0.14514200781931566
2020-04-03,4446,605.0,0.14339131305712283
2020-04-04,3665,543.0,0.1414454225964717
2020-04-05,2600,398.0,0.13896295256806063
2020-04-06,4087,612.0,0.13941783112174863
2020-04-07,4140,518.0,0.14136449561780376
2020-04-08,4789,641.0,0.14106029106029105
2020-04-09,4684,644.0,0.1424110152950779
2020-04-10,5130,757.0,0.14449375972079967
2020-04-11,3430,501.0,0.14580392156862745
2020-04-12,1919,340.0,0.14441560548300755
2020-04-13,2269,408.0,0.1399670566372429
2020-04-14,3279,427.0,0.13509957809735518
2020-04-15,3947,484.0,0.13043478260869565
2020-04-16,3703,397.0,0.1257904136699329
2020-04-17,3496,421.0,0.11796783966441389
2020-04-18,2639,295.0,0.11418489767113621
2020-04-19,1384,174.0,0.10943699462608608
2020-04-20,3007,333.0,0.10684614575665159
2020-04-21,3079,323.0,0.10027382256297919
2020-04-22,2603,236.0,0.09822409903395615
2020-04-23,2810,250.0,0.09757683215130024
2020-04-24,2738,220.0,0.09193883330186899
2020-04-25,1666,162.0,0.08636726016476216
2020-04-26,1017,127.0,0.08425255464573324
2020-04-27,1978,143.0,0.08123111517110533
2020-04-28,2240,162.0,0.08117993162121333
2020-04-29,2328,181.0,0.07711004945100998
2020-04-30,2264,161.0,0.07267950963222417
2020-05-01,1084,85.0,0.07313939616408185
2020-05-02,1020,61.0,0.07229742986070238
2020-05-03,506,37.0,0.06607929515418502
2020-05-04,1455,110.0,0.06107685009487666
2020-05-05,1537,102.0,0.05614115490375802
2020-05-06,1441,59.0,0.05533831022633014
2020-05-07,1389,61.0,0.05478292417462813
2020-05-08,1380,60.0,0.05060491739300117
2020-05-09,731,38.0,0.046857304643261606
2020-05-10,336,23.0,0.048518347919545526
2020-05-11,873,46.0,0.04731075697211155
2020-05-12,914,44.0,0.04563017479300828
2020-05-13,890,44.0,0.04293785310734463
2020-05-14,900,30.0,0.041350531107739
2020-05-15,791,23.0,0.039374752671151564
2020-05-16,606,18.0,0.03641975308641975
2020-05-17,298,13.0,0.03379250968575118
2020-05-18,655,27.0,0.03343256239981681
2020-05-19,720,22.0,0.031448016897441915
2020-05-20,676,24.0,0.031164298180004987
2020-05-21,621,19.0,0.03005181347150259
2020-05-22,685,11.0,0.03066164604626143
2020-05-23,356,9.0,0.029395138496325607
2020-05-24,147,4.0,0.025997045790251107
2020-05-25,513,25.0,0.02530487804878049
2020-05-26,540,12.0,0.028178463602817845
2020-05-27,523,8.0,0.026804123711340205
2020-05-28,516,14.0,0.02699859747545582
2020-05-29,386,12.0,0.023195876288659795
2020-05-30,285,3.0,0.022978347326557666
2020-05-31,89,3.0,0.025738798856053385
2020-06-01,377,11.0,0.024189397838394237
2020-06-02,87,1.0,0.02368692070030896
2020-06-03,358,10.0,0.024731182795698924
2020-06-04,361,7.0,0.025336927223719677
2020-06-05,385,11.0,0.021934758155230598
2020-06-06,203,3.0,0.021855269548324428
2020-06-07,84,4.0,0.023389021479713605
2020-06-08,300,3.0,0.024278515803939534
2020-06-09,368,7.0,0.024007386888273315
2020-06-10,394,14.0,0.02572347266881029
2020-06-11,449,11.0,0.026839426191577972
2020-06-12,368,10.0,0.02901263453439401
2020-06-13,214,7.0,0.030258662762323085
2020-06-14,68,6.0,0.0296220633299285
2020-06-15,276,7.0,0.030998851894374284
2020-06-16,280,7.0,0.027043269230769232
2020-06-17,303,10.0,0.026625386996904025
2020-06-18,233,7.0,0.023617153511497825
2020-06-19,290,1.0,0.020347097546379412
2020-06-20,165,5.0,0.01904761904761905
2020-06-21,62,1.0,0.01452020202020202
2020-06-22,338,3.0,0.011583011583011582
2020-06-23,289,5.0,0.014482758620689656
2020-06-24,207,1.0,0.0120652945351313
2020-06-25,203,2.0,0.01132342533616419
2020-06-26,186,4.0,0.013782542113323124
2020-06-27,124,1.0,0.01557377049180328
2020-06-28,66,0.0,0.0192
2020-06-29,231,5.0,0.020061728395061727
2020-06-30,203,6.0,0.01624815361890694
2020-07-01,237,6.0,0.016506189821182942
2020-07-02,249,4.0,0.01980874316939891
2020-07-03,244,0.0,0.018367346938775512
2020-07-04,224,3.0,0.016075016744809108
2020-07-05,76,5.0,0.013592233009708738
2020-07-06,237,3.0,0.011873350923482849
2020-07-07,226,3.0,0.012459016393442624
2020-07-08,289,3.0,0.011612021857923498
2020-07-09,220,1.0,0.008953168044077135
2020-07-10,253,1.0,0.00995732574679943
2020-07-11,163,1.0,0.009845288326300985
2020-07-12,64,1.0,0.010924981791697014
2020-07-13,191,4.0,0.01058574453069866
2020-07-14,242,3.0,0.013812154696132596
2020-07-15,240,4.0,0.014413177762525738
2020-07-16,264,1.0,0.01795212765957447
2020-07-17,284,6.0,0.017769607843137254
2020-07-18,172,2.0,0.01618705035971223
2020-07-19,111,7.0,0.016317016317016316
2020-07-20,319,6.0,0.018002322880371662
2020-07-21,278,1.0,0.017142857142857144
2020-07-22,288,5.0,0.016347237880496055
2020-07-23,270,4.0,0.013112884834663626
2020-07-24,312,5.0,0.010789324247586598
2020-07-25,196,1.0,0.012222222222222223
2020-07-26,91,1.0,0.010606060606060607
2020-07-27,326,2.0,0.009223300970873786
2020-07-28,317,4.0,0.007759456838021339
2020-07-29,468,4.0,0.00924124513618677
2020-07-30,350,2.0,0.008687258687258687
2020-07-31,314,2.0,0.010171058714748035
2020-08-01,190,4.0,0.010295434198746643
2020-08-02,107,0.0,0.009678838539375276
2020-08-03,417,6.0,0.012079378774805867
2020-08-04,388,5.0,0.011240465676435166
2020-08-05,507,3.0,0.010634257500949488
2020-08-06,395,8.0,0.012177121771217712
2020-08-07,487,2.0,0.01187477509895646
2020-08-08,332,4.0,0.010298661174047374
2020-08-09,184,5.0,0.01188511059755695
2020-08-10,486,6.0,0.009794628751974723
2020-08-11,522,2.0,0.01007018614586512
