data,tutti,maschi,femmine
0.0,4,4.0,0
1.0,0,0.0,0
2.0,3,3.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,1,0.0,1
6.0,0,0.0,0
7.0,1,1.0,0
8.0,1,0.0,1
9.0,1,0.0,1
10.0,2,1.0,1
11.0,0,0.0,0
12.0,1,0.0,1
13.0,4,3.0,1
14.0,3,2.0,1
15.0,3,3.0,0
16.0,1,0.0,1
17.0,3,3.0,0
18.0,1,0.0,1
19.0,2,1.0,1
20.0,3,1.0,2
21.0,3,1.0,2
22.0,0,0.0,0
23.0,4,2.0,2
24.0,10,8.0,2
25.0,7,4.0,3
26.0,9,4.0,5
27.0,4,2.0,2
28.0,6,3.0,3
29.0,10,6.0,4
30.0,4,2.0,2
31.0,8,3.0,5
32.0,9,7.0,2
33.0,9,4.0,5
34.0,7,3.0,4
35.0,10,7.0,3
36.0,10,6.0,4
37.0,9,4.0,5
38.0,17,11.0,6
39.0,10,7.0,3
40.0,24,16.0,8
41.0,18,11.0,7
42.0,20,16.0,4
43.0,19,12.0,7
44.0,28,21.0,7
45.0,21,14.0,7
46.0,30,23.0,7
47.0,35,26.0,9
48.0,44,34.0,10
49.0,53,38.0,15
50.0,53,40.0,13
51.0,50,36.0,14
52.0,60,43.0,17
53.0,53,36.0,17
54.0,59,44.0,15
55.0,83,56.0,27
56.0,98,72.0,26
57.0,91,63.0,28
58.0,88,66.0,22
59.0,90,66.0,24
60.0,114,72.0,42
61.0,98,74.0,24
62.0,115,72.0,43
63.0,114,70.0,44
64.0,153,100.0,53
65.0,145,85.0,60
66.0,139,93.0,46
67.0,133,91.0,42
68.0,162,113.0,49
69.0,178,112.0,66
70.0,166,100.0,66
71.0,195,117.0,78
72.0,189,121.0,68
73.0,202,137.0,65
74.0,208,130.0,78
75.0,150,96.0,54
76.0,173,134.0,39
77.0,141,94.0,47
78.0,150,87.0,63
79.0,141,94.0,47
80.0,121,67.0,54
81.0,133,82.0,51
82.0,123,77.0,46
83.0,101,53.0,48
84.0,76,40.0,36
85.0,77,43.0,34
86.0,75,47.0,28
87.0,70,28.0,42
88.0,52,23.0,29
89.0,37,20.0,17
90.0,19,9.0,10
91.0,23,8.0,15
92.0,14,7.0,7
93.0,13,5.0,8
94.0,9,2.0,7
95.0,8,2.0,6
96.0,2,0.0,2
97.0,4,1.0,3
98.0,1,,1
