data,tutti,maschi,femmine
0.0,0,0.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,0,0.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,0,0.0,0
19.0,0,0.0,0
20.0,0,0.0,0
21.0,0,0.0,0
22.0,0,0.0,0
23.0,0,0.0,0
24.0,0,0.0,0
25.0,0,0.0,0
26.0,0,0.0,0
27.0,0,0.0,0
28.0,0,0.0,0
29.0,0,0.0,0
30.0,0,0.0,0
31.0,0,0.0,0
32.0,0,0.0,0
33.0,1,0.0,1
34.0,1,1.0,0
35.0,0,0.0,0
36.0,1,0.0,1
37.0,0,0.0,0
38.0,1,1.0,0
39.0,2,1.0,1
40.0,0,0.0,0
41.0,1,1.0,0
42.0,0,0.0,0
43.0,1,1.0,0
44.0,0,0.0,0
45.0,1,0.0,1
46.0,2,2.0,0
47.0,0,0.0,0
48.0,1,1.0,0
49.0,4,4.0,0
50.0,4,3.0,1
51.0,0,0.0,0
52.0,5,4.0,1
53.0,1,1.0,0
54.0,2,1.0,1
55.0,3,2.0,1
56.0,2,1.0,1
57.0,8,6.0,2
58.0,2,2.0,0
59.0,4,4.0,0
60.0,11,8.0,3
61.0,8,8.0,0
62.0,10,8.0,2
63.0,9,5.0,4
64.0,9,5.0,4
65.0,7,5.0,2
66.0,6,4.0,2
67.0,12,8.0,4
68.0,5,4.0,1
69.0,8,4.0,4
70.0,14,12.0,2
71.0,19,17.0,2
72.0,17,11.0,6
73.0,22,9.0,13
74.0,26,19.0,7
75.0,7,3.0,4
76.0,18,15.0,3
77.0,18,12.0,6
78.0,14,6.0,8
79.0,13,8.0,5
80.0,28,18.0,10
81.0,20,11.0,9
82.0,14,10.0,4
83.0,19,12.0,7
84.0,22,9.0,13
85.0,20,12.0,8
86.0,24,14.0,10
87.0,23,8.0,15
88.0,18,6.0,12
89.0,25,10.0,15
90.0,26,9.0,17
91.0,25,7.0,18
92.0,16,5.0,11
93.0,15,6.0,9
94.0,11,4.0,7
95.0,8,3.0,5
96.0,6,1.0,5
97.0,6,2.0,4
98.0,9,1.0,8
99.0,2,1.0,1
100.0,0,,0
101.0,0,,0
102.0,0,,0
103.0,1,,1
