data,≥80 anni,altri
2020-01-28,1.0,2
2020-01-29,0.0,1
2020-01-30,0.0,1
2020-01-31,0.0,0
2020-02-01,0.0,1
2020-02-02,0.0,0
2020-02-03,0.0,0
2020-02-04,0.0,0
2020-02-05,0.0,1
2020-02-06,0.0,4
2020-02-07,1.0,1
2020-02-08,0.0,0
2020-02-09,0.0,0
2020-02-10,1.0,3
2020-02-11,0.0,0
2020-02-12,0.0,1
2020-02-13,0.0,2
2020-02-14,1.0,1
2020-02-15,0.0,2
2020-02-16,0.0,0
2020-02-17,0.0,0
2020-02-18,1.0,0
2020-02-19,0.0,4
2020-02-20,1.0,8
2020-02-21,0.0,2
2020-02-22,0.0,5
2020-02-23,0.0,6
2020-02-24,2.0,10
2020-02-25,1.0,10
2020-02-26,0.0,4
2020-02-27,3.0,8
2020-02-28,3.0,17
2020-02-29,2.0,12
2020-03-01,4.0,29
2020-03-02,3.0,31
2020-03-03,9.0,33
2020-03-04,5.0,33
2020-03-05,7.0,51
2020-03-06,9.0,65
2020-03-07,7.0,84
2020-03-08,8.0,80
2020-03-09,17.0,109
2020-03-10,21.0,187
2020-03-11,8.0,137
2020-03-12,12.0,145
2020-03-13,14.0,151
2020-03-14,11.0,137
2020-03-15,14.0,150
2020-03-16,18.0,135
2020-03-17,13.0,139
2020-03-18,12.0,109
2020-03-19,15.0,94
2020-03-20,42.0,133
2020-03-21,17.0,74
2020-03-22,24.0,81
2020-03-23,20.0,89
2020-03-24,24.0,78
2020-03-25,20.0,84
2020-03-26,14.0,79
2020-03-27,13.0,86
2020-03-28,12.0,69
2020-03-29,12.0,38
2020-03-30,14.0,76
2020-03-31,7.0,36
2020-04-01,14.0,55
2020-04-02,17.0,41
2020-04-03,15.0,38
2020-04-04,16.0,35
2020-04-05,13.0,39
2020-04-06,10.0,30
2020-04-07,8.0,40
2020-04-08,17.0,36
2020-04-09,8.0,24
2020-04-10,16.0,35
2020-04-11,6.0,28
2020-04-12,10.0,25
2020-04-13,10.0,21
2020-04-14,6.0,41
2020-04-15,13.0,26
2020-04-16,6.0,19
2020-04-17,4.0,22
2020-04-18,6.0,22
2020-04-19,8.0,13
2020-04-20,3.0,16
2020-04-21,3.0,15
2020-04-22,0.0,11
2020-04-23,5.0,9
2020-04-24,5.0,22
2020-04-25,6.0,13
2020-04-26,1.0,11
2020-04-27,1.0,17
2020-04-28,1.0,11
2020-04-29,1.0,9
2020-04-30,2.0,7
2020-05-01,2.0,10
2020-05-02,3.0,8
2020-05-03,3.0,8
2020-05-04,3.0,10
2020-05-05,2.0,9
2020-05-06,2.0,6
2020-05-07,1.0,6
2020-05-08,1.0,12
2020-05-09,0.0,1
2020-05-10,1.0,9
2020-05-11,0.0,5
2020-05-12,0.0,5
2020-05-13,2.0,6
2020-05-14,2.0,3
2020-05-15,2.0,2
2020-05-16,0.0,6
2020-05-17,1.0,2
2020-05-18,2.0,9
2020-05-19,2.0,2
2020-05-20,1.0,9
2020-05-21,0.0,0
2020-05-22,4.0,4
2020-05-23,0.0,5
2020-05-24,0.0,2
2020-05-25,0.0,4
2020-05-26,5.0,4
2020-05-27,1.0,2
2020-05-28,2.0,2
2020-05-29,0.0,6
2020-05-30,0.0,4
2020-05-31,0.0,4
2020-06-01,1.0,8
2020-06-02,0.0,5
2020-06-03,2.0,5
2020-06-04,1.0,5
2020-06-05,1.0,3
2020-06-06,2.0,4
2020-06-07,0.0,2
2020-06-08,1.0,5
2020-06-09,2.0,9
2020-06-10,1.0,10
2020-06-11,1.0,6
2020-06-12,0.0,2
2020-06-13,0.0,3
2020-06-14,0.0,2
2020-06-15,0.0,4
2020-06-16,2.0,2
2020-06-17,0.0,4
2020-06-18,1.0,1
2020-06-19,0.0,8
2020-06-20,1.0,5
2020-06-21,1.0,3
2020-06-22,0.0,4
2020-06-23,1.0,2
2020-06-24,1.0,5
2020-06-25,0.0,7
2020-06-26,0.0,2
2020-06-27,0.0,4
2020-06-28,0.0,2
2020-06-29,2.0,5
2020-06-30,2.0,6
2020-07-01,1.0,14
2020-07-02,2.0,12
2020-07-03,0.0,8
2020-07-04,1.0,3
2020-07-05,0.0,4
2020-07-06,1.0,5
2020-07-07,0.0,9
2020-07-08,1.0,4
2020-07-09,0.0,6
2020-07-10,0.0,5
2020-07-11,1.0,7
2020-07-12,0.0,6
2020-07-13,1.0,3
2020-07-14,0.0,6
2020-07-15,1.0,4
2020-07-16,0.0,6
2020-07-17,1.0,12
2020-07-18,0.0,7
2020-07-19,1.0,3
