dt_RICOVERO,ricoveri,deceduti,fascia di età,deceduti/ricoveri 35gg
2020-02-20,0,0,0-9 anni,
2020-02-21,0,0,0-9 anni,
2020-02-22,0,0,0-9 anni,
2020-02-23,1,0,0-9 anni,
2020-02-24,0,0,0-9 anni,
2020-02-25,1,0,0-9 anni,
2020-02-26,0,0,0-9 anni,
2020-02-27,1,0,0-9 anni,
2020-02-28,2,0,0-9 anni,
2020-02-29,2,0,0-9 anni,
2020-03-01,3,0,0-9 anni,
2020-03-02,3,0,0-9 anni,
2020-03-03,0,0,0-9 anni,
2020-03-04,6,0,0-9 anni,
2020-03-05,3,0,0-9 anni,
2020-03-06,2,0,0-9 anni,
2020-03-07,4,0,0-9 anni,
2020-03-08,4,0,0-9 anni,0.005813953488372093
2020-03-09,5,0,0-9 anni,0.005681818181818182
2020-03-10,7,0,0-9 anni,0.0053475935828877
2020-03-11,11,0,0-9 anni,0.005263157894736842
2020-03-12,9,1,0-9 anni,0.005025125628140704
2020-03-13,11,0,0-9 anni,0.0048543689320388345
2020-03-14,6,0,0-9 anni,0.004761904761904762
2020-03-15,7,0,0-9 anni,0.004651162790697674
2020-03-16,15,0,0-9 anni,0.004608294930875576
2020-03-17,11,0,0-9 anni,0.004524886877828055
2020-03-18,10,0,0-9 anni,0.004464285714285714
2020-03-19,7,0,0-9 anni,0.004464285714285714
2020-03-20,5,0,0-9 anni,0.004464285714285714
2020-03-21,6,0,0-9 anni,0.004405286343612335
2020-03-22,6,0,0-9 anni,0.004424778761061947
2020-03-23,12,0,0-9 anni,0.004424778761061947
2020-03-24,6,0,0-9 anni,0.004329004329004329
2020-03-25,6,0,0-9 anni,0.004310344827586207
2020-03-26,4,0,0-9 anni,0.004329004329004329
2020-03-27,11,0,0-9 anni,0.004329004329004329
2020-03-28,3,0,0-9 anni,0.004464285714285714
2020-03-29,10,0,0-9 anni,0.004651162790697674
2020-03-30,7,0,0-9 anni,0.0
2020-03-31,5,0,0-9 anni,0.0
2020-04-01,5,0,0-9 anni,0.0
2020-04-02,3,0,0-9 anni,0.0
2020-04-03,6,0,0-9 anni,0.0
2020-04-04,5,0,0-9 anni,0.0
2020-04-05,3,0,0-9 anni,0.0
2020-04-06,3,0,0-9 anni,0.0
2020-04-07,3,0,0-9 anni,0.0
2020-04-08,5,0,0-9 anni,0.0
2020-04-09,3,0,0-9 anni,0.0
2020-04-10,7,0,0-9 anni,0.0
2020-04-11,5,0,0-9 anni,0.0
2020-04-12,3,0,0-9 anni,0.0
2020-04-13,5,0,0-9 anni,0.0
2020-04-14,0,0,0-9 anni,0.0
2020-04-15,2,0,0-9 anni,0.0
2020-04-16,7,0,0-9 anni,0.0
2020-04-17,6,0,0-9 anni,0.0
2020-04-18,4,0,0-9 anni,0.0
2020-04-19,2,0,0-9 anni,0.0
2020-04-20,1,0,0-9 anni,0.0
2020-04-21,6,0,0-9 anni,0.0
2020-04-22,6,0,0-9 anni,0.0
2020-04-23,1,0,0-9 anni,0.0
2020-04-24,4,0,0-9 anni,0.0
2020-04-25,3,0,0-9 anni,0.0
2020-04-26,2,0,0-9 anni,0.0
2020-04-27,7,0,0-9 anni,0.0
2020-04-28,6,0,0-9 anni,0.0
2020-04-29,2,0,0-9 anni,0.0
2020-04-30,3,0,0-9 anni,0.0
2020-05-01,3,0,0-9 anni,0.0
2020-05-02,4,0,0-9 anni,0.0
2020-05-03,3,0,0-9 anni,0.0
2020-05-04,0,0,0-9 anni,0.0
2020-05-05,2,0,0-9 anni,0.0
2020-05-06,4,0,0-9 anni,0.0
2020-05-07,4,0,0-9 anni,0.0
2020-05-08,2,0,0-9 anni,0.0
2020-05-09,1,0,0-9 anni,0.0
2020-05-10,2,0,0-9 anni,0.0
2020-05-11,5,0,0-9 anni,0.0
2020-05-12,1,0,0-9 anni,0.0
2020-05-13,2,0,0-9 anni,0.0
2020-05-14,1,0,0-9 anni,0.0
2020-05-15,2,0,0-9 anni,0.0
2020-05-16,4,0,0-9 anni,0.0
2020-05-17,3,0,0-9 anni,0.0
2020-05-18,3,0,0-9 anni,0.0
2020-05-19,1,0,0-9 anni,0.0
2020-05-20,3,0,0-9 anni,0.0
2020-05-21,4,0,0-9 anni,0.0
2020-05-22,1,0,0-9 anni,0.0
2020-05-23,1,0,0-9 anni,0.0
