data,casi,casi_media7gg
2020-02-26,1,
2020-02-27,2,
2020-02-28,0,
2020-02-29,0,2.142857142857143
2020-03-01,2,2.2857142857142856
2020-03-02,5,2.857142857142857
2020-03-03,5,5.428571428571429
2020-03-04,2,6.857142857142857
2020-03-05,6,7.571428571428571
2020-03-06,18,9.428571428571429
2020-03-07,10,12.0
2020-03-08,7,17.285714285714285
2020-03-09,18,25.714285714285715
2020-03-10,23,30.285714285714285
2020-03-11,39,37.42857142857143
2020-03-12,65,42.42857142857143
2020-03-13,50,47.57142857142857
2020-03-14,60,55.57142857142857
2020-03-15,42,65.0
2020-03-16,54,70.71428571428571
2020-03-17,79,80.42857142857143
2020-03-18,105,88.42857142857143
2020-03-19,105,93.14285714285714
2020-03-20,118,104.28571428571429
2020-03-21,116,109.0
2020-03-22,75,107.85714285714286
2020-03-23,132,109.42857142857143
2020-03-24,112,108.42857142857143
2020-03-25,97,108.42857142857143
2020-03-26,116,114.0
2020-03-27,111,108.14285714285714
2020-03-28,116,110.57142857142857
2020-03-29,114,115.57142857142857
2020-03-30,91,110.71428571428571
2020-03-31,129,109.85714285714286
2020-04-01,132,106.28571428571429
2020-04-02,82,102.85714285714286
2020-04-03,105,110.0
2020-04-04,91,103.71428571428571
2020-04-05,90,99.14285714285714
2020-04-06,141,102.85714285714286
2020-04-07,85,110.71428571428571
2020-04-08,100,110.85714285714286
2020-04-09,108,103.42857142857143
2020-04-10,160,89.14285714285714
2020-04-11,92,87.14285714285714
2020-04-12,38,81.0
2020-04-13,41,75.71428571428571
2020-04-14,71,63.857142857142854
2020-04-15,57,62.285714285714285
2020-04-16,71,62.285714285714285
2020-04-17,77,64.85714285714286
2020-04-18,81,67.28571428571429
2020-04-19,38,64.71428571428571
2020-04-20,59,63.285714285714285
2020-04-21,88,56.0
2020-04-22,39,47.0
2020-04-23,61,43.57142857142857
2020-04-24,26,40.0
2020-04-25,18,34.57142857142857
2020-04-26,14,35.285714285714285
2020-04-27,34,29.0
2020-04-28,50,29.142857142857142
2020-04-29,44,29.428571428571427
2020-04-30,17,27.714285714285715
2020-05-01,27,28.285714285714285
2020-05-02,20,25.428571428571427
2020-05-03,2,23.285714285714285
2020-05-04,38,22.714285714285715
2020-05-05,30,22.857142857142858
2020-05-06,29,25.0
2020-05-07,13,26.0
2020-05-08,28,22.0
