data,casi,casi_media7gg
2020-02-20,92,
2020-02-21,123,
2020-02-22,108,
2020-02-23,151,172.14285714285714
2020-02-24,191,204.28571428571428
2020-02-25,267,241.0
2020-02-26,273,279.0
2020-02-27,317,320.42857142857144
2020-02-28,380,388.7142857142857
2020-02-29,374,467.2857142857143
2020-03-01,441,558.8571428571429
2020-03-02,669,670.1428571428571
2020-03-03,817,791.0
2020-03-04,914,909.4285714285714
2020-03-05,1096,1012.2857142857143
2020-03-06,1226,1125.0
2020-03-07,1203,1234.7142857142858
2020-03-08,1161,1355.2857142857142
2020-03-09,1458,1471.2857142857142
2020-03-10,1585,1630.142857142857
2020-03-11,1758,1743.2857142857142
2020-03-12,1908,1850.142857142857
2020-03-13,2338,1998.0
2020-03-14,1995,2152.5714285714284
2020-03-15,1909,2288.714285714286
2020-03-16,2493,2414.285714285714
2020-03-17,2667,2489.1428571428573
2020-03-18,2711,2568.0
2020-03-19,2787,2609.1428571428573
2020-03-20,2862,2641.0
2020-03-21,2547,2635.285714285714
2020-03-22,2197,2579.285714285714
2020-03-23,2716,2485.1428571428573
2020-03-24,2627,2397.1428571428573
2020-03-25,2319,2283.4285714285716
2020-03-26,2128,2175.4285714285716
2020-03-27,2246,2028.5714285714287
2020-03-28,1751,1881.0
2020-03-29,1441,1765.857142857143
2020-03-30,1688,1671.2857142857142
2020-03-31,1594,1532.0
2020-04-01,1513,1429.142857142857
2020-04-02,1466,1344.0
2020-04-03,1271,1250.4285714285713
2020-04-04,1031,1171.0
2020-04-05,845,1105.7142857142858
2020-04-06,1033,1040.4285714285713
2020-04-07,1038,992.1428571428571
2020-04-08,1056,962.8571428571429
2020-04-09,1009,937.7142857142857
2020-04-10,933,879.7142857142857
2020-04-11,826,855.7142857142857
2020-04-12,669,807.5714285714286
2020-04-13,627,766.1428571428571
2020-04-14,870,737.4285714285714
2020-04-15,719,702.0
2020-04-16,719,673.8571428571429
2020-04-17,732,679.7142857142857
2020-04-18,578,642.8571428571429
2020-04-19,472,627.4285714285714
2020-04-20,668,609.8571428571429
2020-04-21,612,585.5714285714286
2020-04-22,611,564.5714285714286
2020-04-23,596,549.0
2020-04-24,562,517.8571428571429
2020-04-25,431,493.7142857142857
2020-04-26,363,466.2857142857143
2020-04-27,450,434.85714285714283
2020-04-28,443,395.14285714285717
2020-04-29,419,369.14285714285717
2020-04-30,376,344.14285714285717
2020-05-01,284,323.2857142857143
2020-05-02,249,301.85714285714283
2020-05-03,188,284.42857142857144
2020-05-04,304,272.85714285714283
2020-05-05,293,273.85714285714283
2020-05-06,297,264.57142857142856
2020-05-07,295,261.7142857142857
2020-05-08,291,254.57142857142858
2020-05-09,184,239.85714285714286
2020-05-10,168,226.14285714285714
2020-05-11,254,213.71428571428572
2020-05-12,190,202.42857142857142
2020-05-13,201,196.0
2020-05-14,208,190.14285714285714
2020-05-15,212,177.71428571428572
2020-05-16,139,172.85714285714286
2020-05-17,127,165.57142857142858
2020-05-18,167,153.57142857142858
2020-05-19,156,142.28571428571428
2020-05-20,150,136.28571428571428
2020-05-21,124,131.85714285714286
2020-05-22,133,130.14285714285714
2020-05-23,97,125.14285714285714
2020-05-24,96,120.42857142857143
2020-05-25,155,114.57142857142857
2020-05-26,121,111.71428571428571
2020-05-27,117,110.57142857142857
2020-05-28,83,105.28571428571429
2020-05-29,113,101.28571428571429
2020-05-30,89,93.71428571428571
2020-05-31,59,91.14285714285714
2020-06-01,127,91.57142857142857
2020-06-02,68,89.57142857142857
2020-06-03,99,84.57142857142857
2020-06-04,86,82.57142857142857
2020-06-05,99,81.42857142857143
2020-06-06,54,83.14285714285714
2020-06-07,45,80.57142857142857
2020-06-08,119,77.57142857142857
2020-06-09,80,75.28571428571429
2020-06-10,81,77.14285714285714
2020-06-11,65,78.57142857142857
2020-06-12,83,73.57142857142857
2020-06-13,67,70.71428571428571
2020-06-14,55,71.42857142857143
2020-06-15,84,73.57142857142857
2020-06-16,60,75.42857142857143
2020-06-17,86,71.14285714285714
2020-06-18,80,70.42857142857143
2020-06-19,96,72.57142857142857
