data,tutti,maschi,femmine
0.0,5,4,1.0
1.0,1,1,0.0
2.0,0,0,0.0
3.0,0,0,0.0
4.0,0,0,0.0
5.0,0,0,0.0
6.0,0,0,0.0
7.0,1,1,0.0
8.0,1,0,1.0
9.0,0,0,0.0
10.0,3,1,2.0
11.0,0,0,0.0
12.0,1,1,0.0
13.0,1,0,1.0
14.0,1,0,1.0
15.0,1,1,0.0
16.0,0,0,0.0
17.0,2,0,2.0
18.0,3,1,2.0
19.0,1,1,0.0
20.0,2,1,1.0
21.0,0,0,0.0
22.0,1,1,0.0
23.0,0,0,0.0
24.0,4,3,1.0
25.0,6,4,2.0
26.0,0,0,0.0
27.0,1,0,1.0
28.0,1,1,0.0
29.0,1,1,0.0
30.0,3,2,1.0
31.0,3,2,1.0
32.0,2,0,2.0
33.0,5,3,2.0
34.0,0,0,0.0
35.0,3,1,2.0
36.0,4,2,2.0
37.0,2,0,2.0
38.0,4,3,1.0
39.0,3,3,0.0
40.0,2,2,0.0
41.0,5,1,4.0
42.0,5,4,1.0
43.0,4,3,1.0
44.0,4,0,4.0
45.0,6,4,2.0
46.0,13,9,4.0
47.0,10,7,3.0
48.0,15,7,8.0
49.0,10,4,6.0
50.0,14,8,6.0
51.0,17,12,5.0
52.0,16,10,6.0
53.0,13,6,7.0
54.0,19,15,4.0
55.0,24,12,12.0
56.0,20,15,5.0
57.0,16,8,8.0
58.0,26,17,9.0
59.0,19,10,9.0
60.0,28,18,10.0
61.0,16,7,9.0
62.0,22,14,8.0
63.0,28,20,8.0
64.0,13,8,5.0
65.0,29,21,8.0
66.0,32,20,12.0
67.0,24,17,7.0
68.0,31,22,9.0
69.0,42,29,13.0
70.0,46,29,17.0
71.0,39,26,13.0
72.0,31,13,18.0
73.0,46,27,19.0
74.0,32,19,13.0
75.0,40,21,19.0
76.0,40,26,14.0
77.0,58,32,26.0
78.0,40,24,16.0
79.0,50,32,18.0
80.0,46,29,17.0
81.0,58,31,27.0
82.0,46,24,22.0
83.0,48,24,24.0
84.0,55,22,33.0
85.0,39,19,20.0
86.0,42,15,27.0
87.0,40,16,24.0
88.0,23,9,14.0
89.0,30,11,19.0
90.0,31,15,16.0
91.0,21,7,14.0
92.0,18,5,13.0
93.0,17,4,13.0
94.0,17,4,13.0
95.0,14,2,12.0
96.0,5,2,3.0
97.0,3,0,3.0
98.0,4,1,3.0
99.0,2,0,2.0
100.0,1,0,1.0
101.0,1,0,1.0
102.0,0,0,
103.0,0,0,
104.0,1,1,
