data,tutti,maschi,femmine
0.0,6,3.0,3
1.0,0,0.0,0
2.0,0,0.0,0
3.0,3,1.0,2
4.0,0,0.0,0
5.0,2,1.0,1
6.0,0,0.0,0
7.0,1,1.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,1,1.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,1,0.0,1
15.0,2,1.0,1
16.0,5,3.0,2
17.0,3,1.0,2
18.0,6,2.0,4
19.0,1,0.0,1
20.0,8,5.0,3
21.0,3,2.0,1
22.0,5,3.0,2
23.0,6,3.0,3
24.0,2,2.0,0
25.0,2,2.0,0
26.0,12,8.0,4
27.0,5,2.0,3
28.0,4,3.0,1
29.0,15,9.0,6
30.0,13,10.0,3
31.0,8,6.0,2
32.0,11,7.0,4
33.0,11,6.0,5
34.0,11,7.0,4
35.0,15,13.0,2
36.0,15,12.0,3
37.0,14,8.0,6
38.0,16,11.0,5
39.0,25,15.0,10
40.0,22,14.0,8
41.0,16,8.0,8
42.0,16,13.0,3
43.0,27,22.0,5
44.0,36,24.0,12
45.0,31,20.0,11
46.0,36,26.0,10
47.0,37,29.0,8
48.0,43,24.0,19
49.0,46,28.0,18
50.0,64,41.0,23
51.0,59,41.0,18
52.0,56,40.0,16
53.0,74,50.0,24
54.0,77,44.0,33
55.0,75,46.0,29
56.0,75,51.0,24
57.0,77,55.0,22
58.0,91,61.0,30
59.0,81,63.0,18
60.0,103,65.0,38
61.0,87,62.0,25
62.0,92,67.0,25
63.0,122,86.0,36
64.0,87,55.0,32
65.0,128,80.0,48
66.0,98,60.0,38
67.0,98,78.0,20
68.0,93,73.0,20
69.0,107,69.0,38
70.0,121,81.0,40
71.0,128,89.0,39
72.0,135,97.0,38
73.0,161,112.0,49
74.0,170,101.0,69
75.0,132,92.0,40
76.0,156,91.0,65
77.0,131,77.0,54
78.0,153,79.0,74
79.0,159,91.0,68
80.0,170,99.0,71
81.0,170,87.0,83
82.0,173,93.0,80
83.0,144,78.0,66
84.0,136,65.0,71
85.0,141,68.0,73
86.0,133,59.0,74
87.0,110,59.0,51
88.0,133,63.0,70
89.0,111,53.0,58
90.0,94,38.0,56
91.0,59,24.0,35
92.0,62,33.0,29
93.0,48,19.0,29
94.0,38,12.0,26
95.0,26,10.0,16
96.0,18,5.0,13
97.0,17,8.0,9
98.0,6,1.0,5
99.0,14,2.0,12
100.0,3,,3
101.0,1,,1
