data,tutti,maschi,femmine
0,13,8.0,5
1,2,1.0,1
2,1,1.0,0
3,4,2.0,2
4,0,0.0,0
5,3,2.0,1
6,2,1.0,1
7,3,2.0,1
8,0,0.0,0
9,1,0.0,1
10,0,0.0,0
11,2,2.0,0
12,1,1.0,0
13,3,3.0,0
14,1,0.0,1
15,5,3.0,2
16,7,4.0,3
17,5,2.0,3
18,13,5.0,8
19,3,1.0,2
20,12,5.0,7
21,10,7.0,3
22,9,4.0,5
23,10,5.0,5
24,4,2.0,2
25,6,5.0,1
26,18,11.0,7
27,11,4.0,7
28,8,4.0,4
29,24,11.0,13
30,21,12.0,9
31,17,8.0,9
32,24,11.0,13
33,20,11.0,9
34,15,9.0,6
35,19,15.0,4
36,21,13.0,8
37,23,11.0,12
38,28,15.0,13
39,36,23.0,13
40,29,17.0,12
41,26,14.0,12
42,25,17.0,8
43,38,28.0,10
44,42,29.0,13
45,41,28.0,13
46,43,30.0,13
47,60,43.0,17
48,56,32.0,24
49,66,38.0,28
50,80,49.0,31
51,70,48.0,22
52,69,49.0,20
53,92,60.0,32
54,95,56.0,39
55,96,57.0,39
56,96,65.0,31
57,106,75.0,31
58,115,78.0,37
59,102,75.0,27
60,139,84.0,55
61,110,78.0,32
62,113,82.0,31
63,144,98.0,46
64,110,74.0,36
65,166,108.0,58
66,132,83.0,49
67,145,102.0,43
68,133,97.0,36
69,143,87.0,56
70,159,111.0,48
71,164,104.0,60
72,172,121.0,51
73,214,142.0,72
74,232,141.0,91
75,200,132.0,68
76,202,118.0,84
77,192,114.0,78
78,216,116.0,100
79,226,132.0,94
80,225,131.0,94
81,257,134.0,123
82,251,132.0,119
83,235,126.0,109
84,228,112.0,116
85,221,107.0,114
86,207,91.0,116
87,172,94.0,78
88,195,93.0,102
89,181,89.0,92
90,152,69.0,83
91,118,47.0,71
92,107,53.0,54
93,89,38.0,51
94,69,24.0,45
95,46,19.0,27
96,30,11.0,19
97,27,12.0,15
98,14,4.0,10
99,18,3.0,15
100,5,,5
101,2,,2
102,1,,1
103,0,,0
104,0,,0
105,1,,1
