data,tutti,maschi,femmine
0.0,1,1.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,1,1.0,0
11.0,0,0.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,2,2.0,0
16.0,1,1.0,0
17.0,0,0.0,0
18.0,0,0.0,0
19.0,2,2.0,0
20.0,0,0.0,0
21.0,0,0.0,0
22.0,1,0.0,1
23.0,1,1.0,0
24.0,1,1.0,0
25.0,1,0.0,1
26.0,2,1.0,1
27.0,1,1.0,0
28.0,2,0.0,2
29.0,3,3.0,0
30.0,0,0.0,0
31.0,4,2.0,2
32.0,5,4.0,1
33.0,5,2.0,3
34.0,2,2.0,0
35.0,1,1.0,0
36.0,3,2.0,1
37.0,7,4.0,3
38.0,2,2.0,0
39.0,5,4.0,1
40.0,9,7.0,2
41.0,7,5.0,2
42.0,9,6.0,3
43.0,6,5.0,1
44.0,8,7.0,1
45.0,7,4.0,3
46.0,9,5.0,4
47.0,13,10.0,3
48.0,8,7.0,1
49.0,13,13.0,0
50.0,14,12.0,2
51.0,15,13.0,2
52.0,15,11.0,4
53.0,22,15.0,7
54.0,19,14.0,5
55.0,32,27.0,5
56.0,18,14.0,4
57.0,42,30.0,12
58.0,30,23.0,7
59.0,29,22.0,7
60.0,23,20.0,3
61.0,46,34.0,12
62.0,49,37.0,12
63.0,47,39.0,8
64.0,47,36.0,11
65.0,57,47.0,10
66.0,56,41.0,15
67.0,61,47.0,14
68.0,37,28.0,9
69.0,59,44.0,15
70.0,70,45.0,25
71.0,61,49.0,12
72.0,60,32.0,28
73.0,68,50.0,18
74.0,56,42.0,14
75.0,61,43.0,18
76.0,53,34.0,19
77.0,45,30.0,15
78.0,50,36.0,14
79.0,43,26.0,17
80.0,39,24.0,15
81.0,31,16.0,15
82.0,27,15.0,12
83.0,38,21.0,17
84.0,26,11.0,15
85.0,20,8.0,12
86.0,19,11.0,8
87.0,13,5.0,8
88.0,13,6.0,7
89.0,7,2.0,5
90.0,10,4.0,6
91.0,7,4.0,3
92.0,2,1.0,1
93.0,1,,1
94.0,2,,2
95.0,2,,2
96.0,0,,0
97.0,0,,0
98.0,0,,0
99.0,2,,2
