data,rt_positivi,rt_positivi_err68perc,rt_sintomatici,rt_sintomatici_err68perc
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,1.2085326084242538,0.11373252343159038,1.2085326084242538,0.11373252343159038
2020-02-28,1.3209641564252288,0.14725992586559228,1.3209641564252288,0.14725992586559228
2020-02-29,1.4606073553738246,0.197121314290744,1.4606073553738246,0.197121314290744
2020-03-01,1.679106481279056,0.3154086633057615,1.679106481279056,0.3154086633057615
2020-03-02,1.931557747371504,0.46384485438123885,1.931557747371504,0.46384485438123885
2020-03-03,2.176966005638207,0.6292306662532944,2.176966005638207,0.6292306662532944
2020-03-04,2.3399483508405208,0.7476602449623395,2.3399483508405208,0.7476602449623395
2020-03-05,2.483067286909289,0.8590962409497146,2.483067286909289,0.8590962409497146
2020-03-06,2.6733248540335164,1.0078960456515371,2.6733248540335164,1.0078960456515371
2020-03-07,2.8411247077123187,1.1490002183306471,2.8411247077123187,1.1490002183306471
2020-03-08,3.024390040021109,1.305677106877062,3.024390040021109,1.305677106877062
2020-03-09,3.1907795309807474,1.4543764564661446,3.1907795309807474,1.4543764564661446
2020-03-10,3.306523727037232,1.564100316522733,3.306523727037232,1.564100316522733
2020-03-11,3.324255311550941,1.581516423386971,3.324255311550941,1.581516423386971
2020-03-12,3.3074887266777413,1.564834954193641,3.3074887266777413,1.564834954193641
2020-03-13,3.2375756656613217,1.494573468494581,3.2375756656613217,1.494573468494581
2020-03-14,3.1018251216998096,1.3596072550646623,3.1018251216998096,1.3596072550646623
2020-03-15,3.0391958418621425,1.3013629645778155,3.0391958418621425,1.3013629645778155
2020-03-16,2.9731010816165098,1.2414148649583232,2.972356611551148,1.24076705764776
2020-03-17,2.9033383194212363,1.1803959102327963,2.9020606225581793,1.1793105911057606
2020-03-18,2.7756494882543437,1.0695606671168048,2.7740338890277387,1.0682329255975407
