data,≥80 anni,altri
2020-02-20,1,
2020-02-21,1,1.0
2020-02-22,0,2.0
2020-02-23,2,1.0
2020-02-24,2,3.0
2020-02-25,5,5.0
2020-02-26,5,1.0
2020-02-27,5,4.0
2020-02-28,8,3.0
2020-02-29,8,7.0
2020-03-01,14,12.0
2020-03-02,18,7.0
2020-03-03,30,26.0
2020-03-04,35,21.0
2020-03-05,46,34.0
2020-03-06,63,48.0
2020-03-07,103,67.0
2020-03-08,98,80.0
2020-03-09,122,103.0
2020-03-10,158,126.0
2020-03-11,159,153.0
2020-03-12,174,150.0
2020-03-13,202,177.0
2020-03-14,237,210.0
2020-03-15,220,213.0
2020-03-16,252,259.0
2020-03-17,291,283.0
2020-03-18,322,319.0
2020-03-19,315,341.0
2020-03-20,398,355.0
2020-03-21,396,424.0
2020-03-22,414,399.0
2020-03-23,415,445.0
2020-03-24,396,425.0
2020-03-25,409,461.0
2020-03-26,407,429.0
2020-03-27,469,413.0
2020-03-28,477,449.0
2020-03-29,405,361.0
2020-03-30,439,350.0
2020-03-31,379,331.0
2020-04-01,397,317.0
2020-04-02,395,296.0
2020-04-03,363,313.0
2020-04-04,387,254.0
2020-04-05,355,246.0
2020-04-06,343,251.0
2020-04-07,398,214.0
2020-04-08,363,241.0
2020-04-09,333,214.0
2020-04-10,389,221.0
2020-04-11,388,198.0
2020-04-12,393,186.0
2020-04-13,352,181.0
2020-04-14,347,192.0
2020-04-15,331,180.0
2020-04-16,294,155.0
2020-04-17,302,175.0
2020-04-18,301,163.0
2020-04-19,314,147.0
2020-04-20,290,155.0
2020-04-21,241,124.0
2020-04-22,265,120.0
2020-04-23,248,108.0
2020-04-24,262,124.0
2020-04-25,255,103.0
2020-04-26,222,98.0
2020-04-27,230,100.0
2020-04-28,210,104.0
2020-04-29,204,96.0
2020-04-30,187,74.0
2020-05-01,182,77.0
2020-05-02,179,74.0
2020-05-03,180,63.0
2020-05-04,150,69.0
2020-05-05,160,65.0
2020-05-06,147,71.0
2020-05-07,128,53.0
2020-05-08,106,65.0
2020-05-09,134,66.0
2020-05-10,111,59.0
2020-05-11,106,57.0
2020-05-12,115,45.0
2020-05-13,103,42.0
2020-05-14,96,45.0
2020-05-15,114,41.0
2020-05-16,85,18.0
2020-05-17,90,29.0
2020-05-18,79,21.0
2020-05-19,64,28.0
2020-05-20,68,20.0
2020-05-21,58,20.0
2020-05-22,59,25.0
2020-05-23,68,27.0
2020-05-24,59,26.0
2020-05-25,54,21.0
2020-05-26,37,23.0
2020-05-27,34,17.0
2020-05-28,49,21.0
2020-05-29,45,16.0
2020-05-30,31,18.0
2020-05-31,30,18.0
2020-06-01,40,22.0
2020-06-02,49,7.0
2020-06-03,36,14.0
2020-06-04,43,17.0
2020-06-05,43,24.0
2020-06-06,59,19.0
2020-06-07,25,11.0
2020-06-08,27,16.0
2020-06-09,36,9.0
2020-06-10,27,11.0
2020-06-11,25,14.0
2020-06-12,23,11.0
2020-06-13,16,8.0
2020-06-14,10,12.0
2020-06-15,26,12.0
2020-06-16,33,11.0
2020-06-17,26,9.0
2020-06-18,30,14.0
2020-06-19,29,5.0
2020-06-20,16,3.0
2020-06-21,23,2.0
2020-06-22,25,6.0
2020-06-23,41,10.0
2020-06-24,17,8.0
2020-06-25,21,5.0
2020-06-26,14,6.0
2020-06-27,19,5.0
2020-06-28,9,5.0
2020-06-29,11,7.0
2020-06-30,15,1.0
2020-07-01,10,5.0
2020-07-02,13,2.0
2020-07-03,14,2.0
2020-07-04,4,3.0
2020-07-05,8,3.0
2020-07-06,8,6.0
2020-07-07,10,1.0
2020-07-08,7,3.0
2020-07-09,7,4.0
2020-07-10,9,2.0
2020-07-11,5,2.0
2020-07-12,6,4.0
2020-07-13,17,5.0
2020-07-14,5,2.0
2020-07-15,4,4.0
2020-07-16,7,10.0
2020-07-17,3,3.0
2020-07-18,10,4.0
2020-07-19,8,2.0
2020-07-20,5,3.0
2020-07-21,11,3.0
2020-07-22,12,4.0
2020-07-23,1,1.0
2020-07-24,7,1.0
2020-07-25,4,1.0
2020-07-26,5,0.0
2020-07-27,12,4.0
2020-07-28,7,1.0
2020-07-29,4,3.0
2020-07-30,4,3.0
2020-07-31,1,3.0
2020-08-01,3,1.0
2020-08-02,2,1.0
2020-08-03,4,2.0
2020-08-04,1,1.0
2020-08-05,5,2.0
2020-08-06,4,2.0
2020-08-07,4,4.0
2020-08-08,3,3.0
2020-08-09,4,0.0
2020-08-10,7,3.0
2020-08-11,6,1.0
2020-08-12,1,4.0
2020-08-13,5,3.0
2020-08-14,9,1.0
2020-08-15,1,1.0
2020-08-16,7,3.0
2020-08-17,1,2.0
2020-08-18,5,1.0
2020-08-19,5,2.0
2020-08-20,7,4.0
2020-08-21,2,2.0
2020-08-22,5,1.0
2020-08-23,2,1.0
2020-08-24,5,2.0
2020-08-25,3,3.0
2020-08-26,6,4.0
2020-08-27,3,3.0
2020-08-28,0,0.0
2020-08-29,3,0.0
2020-08-30,7,0.0
2020-08-31,5,4.0
2020-09-01,2,7.0
2020-09-02,5,6.0
2020-09-03,8,3.0
2020-09-04,6,5.0
2020-09-05,9,5.0
2020-09-06,3,3.0
2020-09-07,14,5.0
2020-09-08,4,0.0
2020-09-09,5,2.0
2020-09-10,3,6.0
2020-09-11,5,4.0
2020-09-12,4,10.0
2020-09-13,8,6.0
2020-09-14,8,5.0
2020-09-15,11,10.0
2020-09-16,12,4.0
2020-09-17,8,8.0
2020-09-18,15,9.0
2020-09-19,11,5.0
2020-09-20,11,8.0
2020-09-21,9,8.0
2020-09-22,10,3.0
2020-09-23,21,5.0
2020-09-24,7,14.0
2020-09-25,18,11.0
2020-09-26,10,9.0
2020-09-27,14,11.0
2020-09-28,17,4.0
2020-09-29,15,10.0
2020-09-30,12,7.0
2020-10-01,16,10.0
2020-10-02,17,13.0
2020-10-03,13,4.0
2020-10-04,11,9.0
2020-10-05,16,23.0
2020-10-06,13,12.0
2020-10-07,22,11.0
2020-10-08,24,15.0
2020-10-09,31,13.0
2020-10-10,33,19.0
2020-10-11,34,22.0
2020-10-12,50,27.0
2020-10-13,48,21.0
2020-10-14,40,32.0
2020-10-15,41,28.0
2020-10-16,65,39.0
2020-10-17,69,21.0
2020-10-18,74,31.0
2020-10-19,79,29.0
2020-10-20,87,59.0
2020-10-21,104,43.0
2020-10-22,115,47.0
2020-10-23,123,58.0
2020-10-24,137,75.0
2020-10-25,127,72.0
2020-10-26,174,76.0
2020-10-27,145,93.0
2020-10-28,187,120.0
2020-10-29,209,91.0
2020-10-30,233,122.0
2020-10-31,249,127.0
2020-11-01,238,124.0
2020-11-02,288,163.0
2020-11-03,272,165.0
2020-11-04,305,166.0
2020-11-05,364,188.0
2020-11-06,338,183.0
2020-11-07,308,197.0
2020-11-08,358,214.0
2020-11-09,391,218.0
2020-11-10,411,256.0
2020-11-11,416,262.0
2020-11-12,469,261.0
2020-11-13,412,259.0
2020-11-14,455,245.0
2020-11-15,460,267.0
2020-11-16,486,280.0
2020-11-17,482,312.0
2020-11-18,484,320.0
2020-11-19,486,331.0
2020-11-20,507,277.0
2020-11-21,428,256.0
2020-11-22,479,250.0
2020-11-23,469,304.0
2020-11-24,476,294.0
2020-11-25,521,307.0
2020-11-26,471,269.0
2020-11-27,487,290.0
2020-11-28,458,273.0
