data,casi,casi_media7gg
2020-02-27,1,
2020-02-28,0,
2020-02-29,1,
2020-03-01,0,0.7142857142857143
2020-03-02,0,0.8571428571428571
2020-03-03,0,1.4285714285714286
2020-03-04,3,1.8571428571428572
2020-03-05,2,2.0
2020-03-06,4,2.5714285714285716
2020-03-07,4,3.857142857142857
2020-03-08,1,5.857142857142857
2020-03-09,4,7.0
2020-03-10,9,9.714285714285714
2020-03-11,17,10.571428571428571
2020-03-12,10,12.285714285714286
2020-03-13,23,16.285714285714285
2020-03-14,10,20.0
2020-03-15,13,21.0
2020-03-16,32,24.571428571428573
2020-03-17,35,25.285714285714285
2020-03-18,24,30.0
2020-03-19,35,33.0
2020-03-20,28,32.57142857142857
2020-03-21,43,32.142857142857146
2020-03-22,34,36.57142857142857
2020-03-23,29,45.0
2020-03-24,32,48.714285714285715
2020-03-25,55,46.857142857142854
2020-03-26,94,44.285714285714285
2020-03-27,54,43.142857142857146
2020-03-28,30,42.42857142857143
2020-03-29,16,38.142857142857146
2020-03-30,21,27.428571428571427
2020-03-31,27,24.0
2020-04-01,25,25.285714285714285
2020-04-02,19,24.285714285714285
2020-04-03,30,22.857142857142858
2020-04-04,39,22.285714285714285
2020-04-05,9,21.857142857142858
2020-04-06,11,22.285714285714285
2020-04-07,23,19.428571428571427
2020-04-08,22,14.857142857142858
2020-04-09,22,14.0
2020-04-10,10,14.285714285714286
2020-04-11,7,15.857142857142858
2020-04-12,3,16.285714285714285
2020-04-13,13,19.428571428571427
2020-04-14,34,20.428571428571427
2020-04-15,25,20.428571428571427
2020-04-16,44,21.571428571428573
2020-04-17,17,20.0
2020-04-18,7,16.571428571428573
2020-04-19,11,15.0
2020-04-20,2,10.0
2020-04-21,10,8.571428571428571
2020-04-22,14,8.285714285714286
2020-04-23,9,7.142857142857143
2020-04-24,7,7.142857142857143
2020-04-25,5,6.428571428571429
2020-04-26,3,5.0
2020-04-27,2,4.142857142857143
2020-04-28,5,3.2857142857142856
2020-04-29,4,3.142857142857143
2020-04-30,3,2.857142857142857
2020-05-01,1,3.142857142857143
2020-05-02,4,2.857142857142857
2020-05-03,1,3.2857142857142856
2020-05-04,4,3.4285714285714284
2020-05-05,3,3.4285714285714284
2020-05-06,7,3.2857142857142856
2020-05-07,4,3.7142857142857144
2020-05-08,1,3.2857142857142856
2020-05-09,3,3.142857142857143
2020-05-10,4,2.2857142857142856
2020-05-11,1,1.8571428571428572
2020-05-12,2,2.0
2020-05-13,1,1.5714285714285714
2020-05-14,1,1.4285714285714286
2020-05-15,2,1.4285714285714286
2020-05-16,0,1.1428571428571428
2020-05-17,3,1.0
2020-05-18,1,1.0
2020-05-19,0,0.7142857142857143
2020-05-20,0,0.8571428571428571
2020-05-21,1,0.5714285714285714
2020-05-22,0,0.5714285714285714
2020-05-23,1,0.5714285714285714
2020-05-24,1,0.5714285714285714
2020-05-25,1,0.42857142857142855
2020-05-26,0,0.42857142857142855
2020-05-27,0,0.2857142857142857
2020-05-28,0,0.14285714285714285
2020-05-29,0,0.0
2020-05-30,0,0.0
2020-05-31,0,0.0
2020-06-01,0,0.14285714285714285
2020-06-02,0,0.14285714285714285
2020-06-03,0,0.14285714285714285
2020-06-04,1,0.14285714285714285
2020-06-05,0,0.2857142857142857
2020-06-06,0,0.2857142857142857
2020-06-07,0,0.42857142857142855
2020-06-08,1,0.42857142857142855
2020-06-09,0,0.42857142857142855
2020-06-10,1,0.42857142857142855
2020-06-11,1,0.5714285714285714
2020-06-12,0,0.5714285714285714
2020-06-13,0,0.8571428571428571
2020-06-14,1,0.7142857142857143
2020-06-15,1,0.8571428571428571
2020-06-16,2,1.0
2020-06-17,0,2.0
2020-06-18,2,2.0
2020-06-19,1,1.8571428571428572
2020-06-20,7,1.5714285714285714
2020-06-21,1,2.2857142857142856
2020-06-22,0,2.0
2020-06-23,0,1.8571428571428572
2020-06-24,5,1.0
2020-06-25,0,1.0
2020-06-26,0,1.0
2020-06-27,1,1.0
2020-06-28,1,0.2857142857142857
2020-06-29,0,0.2857142857142857
2020-06-30,0,0.42857142857142855
2020-07-01,0,0.42857142857142855
2020-07-02,0,0.2857142857142857
2020-07-03,1,0.42857142857142855
2020-07-04,1,1.0
2020-07-05,0,1.0
2020-07-06,1,1.4285714285714286
2020-07-07,4,1.2857142857142858
2020-07-08,0,4.857142857142857
2020-07-09,3,4.857142857142857
2020-07-10,0,4.857142857142857
2020-07-11,26,4.428571428571429
2020-07-12,0,5.571428571428571
2020-07-13,1,6.857142857142857
2020-07-14,1,7.0
2020-07-15,8,3.2857142857142856
2020-07-16,12,3.2857142857142856
2020-07-17,1,3.2857142857142856
2020-07-18,0,3.4285714285714284
2020-07-19,0,2.4285714285714284
2020-07-20,1,0.8571428571428571
2020-07-21,2,0.7142857142857143
2020-07-22,1,0.7142857142857143
2020-07-23,1,0.7142857142857143
2020-07-24,0,1.4285714285714286
2020-07-25,0,1.7142857142857142
2020-07-26,0,2.142857142857143
2020-07-27,6,2.142857142857143
2020-07-28,4,2.7142857142857144
2020-07-29,4,2.857142857142857
2020-07-30,1,2.857142857142857
2020-07-31,4,2.2857142857142856
2020-08-01,1,1.7142857142857142
2020-08-02,0,1.5714285714285714
2020-08-03,2,2.4285714285714284
2020-08-04,0,2.142857142857143
2020-08-05,3,2.2857142857142856
2020-08-06,7,3.7142857142857144
2020-08-07,2,4.714285714285714
2020-08-08,2,5.285714285714286
2020-08-09,10,7.0
2020-08-10,9,6.857142857142857
2020-08-11,4,8.714285714285714
2020-08-12,15,8.714285714285714
2020-08-13,6,7.714285714285714
2020-08-14,15,7.714285714285714
2020-08-15,2,7.857142857142857
2020-08-16,3,7.428571428571429
2020-08-17,9,7.714285714285714
2020-08-18,5,5.857142857142857
2020-08-19,12,6.285714285714286
2020-08-20,8,6.285714285714286
2020-08-21,2,6.571428571428571
2020-08-22,5,7.142857142857143
2020-08-23,3,7.571428571428571
2020-08-24,11,10.571428571428571
2020-08-25,9,12.714285714285714
2020-08-26,15,12.571428571428571
2020-08-27,29,15.285714285714286
2020-08-28,17,19.0
2020-08-29,4,19.571428571428573
2020-08-30,22,19.714285714285715
2020-08-31,37,16.857142857142858
2020-09-01,13,17.0
2020-09-02,16,20.428571428571427
2020-09-03,9,18.428571428571427
2020-09-04,18,16.142857142857142
2020-09-05,28,16.142857142857142
2020-09-06,8,15.571428571428571
2020-09-07,21,16.571428571428573
2020-09-08,13,15.714285714285714
2020-09-09,12,12.571428571428571
2020-09-10,16,12.428571428571429
2020-09-11,12,10.857142857142858
2020-09-12,6,12.142857142857142
2020-09-13,7,13.285714285714286
2020-09-14,10,14.428571428571429
2020-09-15,22,15.714285714285714
2020-09-16,20,17.571428571428573
2020-09-17,24,17.857142857142858
2020-09-18,21,20.714285714285715
2020-09-19,19,18.714285714285715
2020-09-20,9,17.142857142857142
2020-09-21,30,15.142857142857142
2020-09-22,8,14.428571428571429
2020-09-23,9,13.0
2020-09-24,10,15.142857142857142
2020-09-25,16,13.714285714285714
2020-09-26,9,15.285714285714286
2020-09-27,24,16.857142857142858
2020-09-28,20,18.285714285714285
2020-09-29,19,18.571428571428573
2020-09-30,20,22.428571428571427
2020-10-01,20,21.428571428571427
2020-10-02,18,22.142857142857142
2020-10-03,36,22.571428571428573
2020-10-04,17,27.714285714285715
2020-10-05,25,37.42857142857143
2020-10-06,22,38.714285714285715
2020-10-07,56,40.0
2020-10-08,88,42.0
2020-10-09,27,47.714285714285715
2020-10-10,45,54.714285714285715
2020-10-11,31,57.57142857142857
2020-10-12,65,58.0
2020-10-13,71,67.28571428571429
2020-10-14,76,80.71428571428571
2020-10-15,91,91.14285714285714
2020-10-16,92,99.14285714285714
2020-10-17,139,109.71428571428571
2020-10-18,104,121.57142857142857
2020-10-19,121,134.42857142857142
2020-10-20,145,143.71428571428572
2020-10-21,159,139.71428571428572
2020-10-22,181,153.42857142857142
2020-10-23,157,158.57142857142858
2020-10-24,111,160.57142857142858
2020-10-25,200,176.85714285714286
2020-10-26,157,184.71428571428572
2020-10-27,159,206.28571428571428
2020-10-28,273,215.57142857142858
2020-10-29,236,210.14285714285714
2020-10-30,308,237.85714285714286
2020-10-31,176,251.71428571428572
2020-11-01,162,270.2857142857143
2020-11-02,351,291.2857142857143
2020-11-03,256,324.7142857142857
2020-11-04,403,338.14285714285717
2020-11-05,383,352.57142857142856
2020-11-06,542,358.57142857142856
2020-11-07,270,374.14285714285717
2020-11-08,263,374.0
2020-11-09,393,367.85714285714283
2020-11-10,365,330.57142857142856
2020-11-11,402,334.2857142857143
2020-11-12,340,331.14285714285717
2020-11-13,281,341.7142857142857
2020-11-14,296,353.2857142857143
2020-11-15,241,356.85714285714283
2020-11-16,467,365.14285714285717
2020-11-17,446,388.2857142857143
2020-11-18,427,376.0
2020-11-19,398,364.42857142857144
2020-11-20,443,350.42857142857144
2020-11-21,210,348.57142857142856
2020-11-22,160,353.2857142857143
2020-11-23,369,356.0
2020-11-24,433,345.2857142857143
2020-11-25,460,351.42857142857144
2020-11-26,417,344.42857142857144
2020-11-27,368,327.57142857142856
2020-11-28,253,306.14285714285717
2020-11-29,111,273.42857142857144
2020-11-30,251,246.42857142857142
2020-12-01,283,233.57142857142858
2020-12-02,231,219.42857142857142
2020-12-03,228,212.71428571428572
2020-12-04,278,206.42857142857142
2020-12-05,154,176.28571428571428
2020-12-06,64,167.85714285714286
2020-12-07,207,161.71428571428572
2020-12-08,72,152.0
2020-12-09,172,151.42857142857142
2020-12-10,185,154.71428571428572
2020-12-11,210,154.0
2020-12-12,150,171.42857142857142
2020-12-13,87,176.42857142857142
2020-12-14,202,180.57142857142858
2020-12-15,194,175.71428571428572
2020-12-16,207,176.71428571428572
2020-12-17,214,180.0
2020-12-18,176,185.71428571428572
2020-12-19,157,192.85714285714286
2020-12-20,110,196.0
2020-12-21,242,205.42857142857142
2020-12-22,244,190.14285714285714
2020-12-23,229,193.71428571428572
2020-12-24,280,203.57142857142858
2020-12-25,69,216.0
2020-12-26,182,240.57142857142858
2020-12-27,179,266.57142857142856
2020-12-28,329,256.57142857142856
2020-12-29,416,299.2857142857143
2020-12-30,411,404.0
2020-12-31,210,393.14285714285717
2021-01-01,368,404.14285714285717
2021-01-02,915,396.14285714285717
2021-01-03,103,369.57142857142856
2021-01-04,406,397.0
2021-01-05,360,417.7142857142857
2021-01-06,225,324.57142857142856
2021-01-07,402,336.7142857142857
2021-01-08,513,315.7142857142857
2021-01-09,263,305.2857142857143
2021-01-10,188,325.0
2021-01-11,259,314.7142857142857
2021-01-12,287,299.2857142857143
2021-01-13,363,293.0
2021-01-14,330,286.7142857142857
2021-01-15,405,292.14285714285717
2021-01-16,219,291.85714285714283
2021-01-17,144,273.0
2021-01-18,297,282.57142857142856
2021-01-19,285,275.0
2021-01-20,231,270.57142857142856
2021-01-21,397,267.0
2021-01-22,352,256.57142857142856
2021-01-23,188,267.2857142857143
2021-01-24,119,255.42857142857142
2021-01-25,224,234.14285714285714
2021-01-26,360,217.85714285714286
2021-01-27,148,216.28571428571428
2021-01-28,248,227.85714285714286
2021-01-29,238,232.42857142857142
2021-01-30,177,209.42857142857142
2021-01-31,200,211.42857142857142
2021-02-01,256,207.14285714285714
2021-02-02,199,192.28571428571428
2021-02-03,162,192.28571428571428
2021-02-04,218,180.85714285714286
2021-02-05,134,181.85714285714286
2021-02-06,177,167.85714285714286
