data,casi,casi_media7gg
2020-01-29,2,
2020-01-30,0,
2020-01-31,0,
2020-02-01,0,0.0
2020-02-02,0,0.14285714285714285
2020-02-03,0,0.14285714285714285
2020-02-04,0,0.14285714285714285
2020-02-05,0,0.14285714285714285
2020-02-06,1,0.14285714285714285
2020-02-07,0,0.14285714285714285
2020-02-08,0,0.14285714285714285
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.5714285714285714
2020-02-17,0,5.714285714285714
2020-02-18,0,13.857142857142858
2020-02-19,0,24.857142857142858
2020-02-20,4,37.0
2020-02-21,36,64.14285714285714
2020-02-22,57,103.85714285714286
2020-02-23,77,144.14285714285714
2020-02-24,85,188.71428571428572
2020-02-25,190,233.85714285714286
2020-02-26,278,281.42857142857144
2020-02-27,286,359.14285714285717
2020-02-28,348,446.85714285714283
2020-02-29,373,560.8571428571429
2020-03-01,410,705.8571428571429
2020-03-02,629,874.2857142857143
2020-03-03,804,1031.7142857142858
2020-03-04,1076,1180.4285714285713
2020-03-05,1301,1410.2857142857142
2020-03-06,1527,1645.142857142857
2020-03-07,1475,1888.4285714285713
2020-03-08,1451,2151.4285714285716
2020-03-09,2238,2519.714285714286
2020-03-10,2448,2814.0
2020-03-11,2779,3013.714285714286
2020-03-12,3142,3381.8571428571427
2020-03-13,4105,3795.285714285714
2020-03-14,3535,4211.142857142857
2020-03-15,2849,4573.285714285715
2020-03-16,4815,4879.857142857143
2020-03-17,5342,5077.142857142857
2020-03-18,5690,5230.857142857143
2020-03-19,5677,5414.0
2020-03-20,6251,5496.0
2020-03-21,4916,5512.142857142857
2020-03-22,3925,5515.714285714285
2020-03-23,6097,5450.142857142857
2020-03-24,5916,5394.571428571428
2020-03-25,5803,5264.285714285715
2020-03-26,5702,5119.428571428572
2020-03-27,5792,5039.571428571428
2020-03-28,4527,4928.571428571428
2020-03-29,3013,4796.142857142857
2020-03-30,5083,4604.285714285715
2020-03-31,5357,4480.285714285715
2020-04-01,5026,4421.571428571428
2020-04-02,4775,4278.857142857143
2020-04-03,4449,4104.714285714285
2020-04-04,3659,4071.4285714285716
2020-04-05,2602,4058.4285714285716
2020-04-06,4084,4155.857142857143
2020-04-07,4138,4123.142857142857
2020-04-08,4793,4025.8571428571427
2020-04-09,4684,3766.285714285714
2020-04-10,5131,3643.285714285714
2020-04-11,3430,3522.8571428571427
2020-04-12,1921,3383.0
2020-04-13,2267,3150.285714285714
2020-04-14,3277,3037.1428571428573
2020-04-15,3950,2960.8571428571427
2020-04-16,3705,3066.4285714285716
2020-04-17,3502,3037.714285714286
2020-04-18,2638,2845.714285714286
2020-04-19,1387,2718.285714285714
2020-04-20,3006,2609.0
2020-04-21,3076,2470.285714285714
2020-04-22,2606,2417.5714285714284
2020-04-23,2813,2270.5714285714284
2020-04-24,2737,2151.285714285714
2020-04-25,1667,2111.5714285714284
2020-04-26,1018,2033.4285714285713
2020-04-27,1977,1797.5714285714287
2020-04-28,2241,1705.142857142857
2020-04-29,2328,1632.0
2020-04-30,2266,1557.5714285714287
2020-05-01,1086,1457.0
2020-05-02,1020,1330.4285714285713
2020-05-03,506,1205.142857142857
2020-05-04,1456,1247.0
2020-05-05,1537,1205.7142857142858
2020-05-06,1442,1181.5714285714287
2020-05-07,1389,1098.142857142857
2020-05-08,1379,1009.1428571428571
2020-05-09,731,930.1428571428571
2020-05-10,337,860.5714285714286
2020-05-11,872,776.5714285714286
2020-05-12,914,758.7142857142857
2020-05-13,889,753.1428571428571
2020-05-14,902,722.1428571428571
2020-05-15,791,694.4285714285714
2020-05-16,606,663.7142857142857
2020-05-17,298,623.7142857142857
2020-05-18,655,608.5714285714286
2020-05-19,720,572.8571428571429
2020-05-20,674,551.2857142857143
2020-05-21,622,531.0
2020-05-22,685,505.42857142857144
2020-05-23,356,484.0
2020-05-24,147,468.85714285714283
2020-05-25,513,426.2857142857143
2020-05-26,541,416.0
2020-05-27,524,407.7142857142857
2020-05-28,516,388.2857142857143
2020-05-29,387,323.42857142857144
2020-05-30,284,299.7142857142857
2020-05-31,89,277.57142857142856
2020-06-01,377,277.2857142857143
2020-06-02,87,265.7142857142857
2020-06-03,358,265.0
2020-06-04,361,254.0
2020-06-05,385,294.14285714285717
2020-06-06,203,299.2857142857143
2020-06-07,84,311.85714285714283
2020-06-08,300,309.42857142857144
2020-06-09,368,311.14285714285717
2020-06-10,394,308.85714285714283
2020-06-11,449,305.42857142857144
2020-06-12,368,292.85714285714283
2020-06-13,215,279.7142857142857
2020-06-14,68,248.85714285714286
2020-06-15,276,237.85714285714286
2020-06-16,280,230.71428571428572
2020-06-17,302,229.85714285714286
2020-06-18,233,238.71428571428572
2020-06-19,291,239.85714285714286
2020-06-20,165,226.14285714285714
2020-06-21,62,221.71428571428572
2020-06-22,338,206.42857142857142
2020-06-23,288,200.57142857142858
2020-06-24,206,201.14285714285714
2020-06-25,202,185.71428571428572
2020-06-26,184,173.0
2020-06-27,124,177.14285714285714
2020-06-28,66,183.42857142857142
2020-06-29,230,191.57142857142858
2020-06-30,199,205.42857142857142
2020-07-01,235,206.85714285714286
2020-07-02,246,207.57142857142858
2020-07-03,241,211.0
2020-07-04,221,218.14285714285714
2020-07-05,76,214.42857142857142
2020-07-06,235,215.28571428571428
2020-07-07,223,206.85714285714286
2020-07-08,285,204.71428571428572
2020-07-09,220,197.57142857142858
2020-07-10,247,199.57142857142858
2020-07-11,162,192.85714285714286
2020-07-12,61,198.0
2020-07-13,185,203.28571428571428
2020-07-14,237,203.85714285714286
2020-07-15,238,210.85714285714286
2020-07-16,256,229.71428571428572
2020-07-17,284,235.57142857142858
2020-07-18,166,241.0
2020-07-19,110,242.85714285714286
2020-07-20,317,245.85714285714286
2020-07-21,278,249.57142857142858
2020-07-22,276,247.0
2020-07-23,269,248.0
2020-07-24,305,253.28571428571428
2020-07-25,192,280.2857142857143
2020-07-26,92,293.42857142857144
2020-07-27,324,294.2857142857143
2020-07-28,315,294.14285714285717
2020-07-29,465,296.0
2020-07-30,361,309.0
2020-07-31,311,319.2857142857143
2020-08-01,191,325.0
2020-08-02,105,329.57142857142856
2020-08-03,415,354.42857142857144
2020-08-04,387,374.14285714285717
2020-08-05,505,385.0
2020-08-06,393,395.2857142857143
2020-08-07,485,414.14285714285717
2020-08-08,329,430.2857142857143
2020-08-09,181,450.42857142857144
2020-08-10,487,466.42857142857144
2020-08-11,519,461.14285714285717
2020-08-12,618,471.7142857142857
2020-08-13,534,501.0
2020-08-14,597,551.0
2020-08-15,292,605.0
2020-08-16,255,684.5714285714286
2020-08-17,692,784.1428571428571
2020-08-18,869,878.5714285714286
2020-08-19,996,933.8571428571429
2020-08-20,1091,1059.5714285714287
2020-08-21,1294,1153.2857142857142
2020-08-22,953,1223.5714285714287
2020-08-23,642,1276.4285714285713
2020-08-24,1572,1289.7142857142858
2020-08-25,1525,1298.7142857142858
2020-08-26,1488,1280.857142857143
2020-08-27,1461,1250.2857142857142
2020-08-28,1387,1225.5714285714287
2020-08-29,1016,1232.4285714285713
2020-08-30,517,1241.7142857142858
2020-08-31,1358,1272.0
2020-09-01,1352,1284.0
2020-09-02,1536,1284.0
2020-09-03,1526,1308.5714285714287
2020-09-04,1599,1336.142857142857
2020-09-05,1100,1341.2857142857142
2020-09-06,517,1351.5714285714287
2020-09-07,1530,1348.142857142857
2020-09-08,1545,1359.142857142857
2020-09-09,1572,1362.857142857143
2020-09-10,1598,1368.7142857142858
2020-09-11,1575,1396.7142857142858
2020-09-12,1177,1388.857142857143
2020-09-13,543,1399.7142857142858
2020-09-14,1571,1433.857142857143
2020-09-15,1741,1447.142857142857
2020-09-16,1517,1454.857142857143
2020-09-17,1674,1503.857142857143
2020-09-18,1814,1523.2857142857142
2020-09-19,1270,1587.0
2020-09-20,597,1619.0
2020-09-21,1914,1648.4285714285713
2020-09-22,1877,1667.5714285714287
2020-09-23,1963,1699.142857142857
2020-09-24,1898,1732.0
2020-09-25,2020,1782.142857142857
2020-09-26,1404,1857.7142857142858
2020-09-27,818,1999.5714285714287
2020-09-28,2144,2161.285714285714
