data,operatori sanitari,altri
2020-02-22,3.0,4
2020-02-23,3.0,8
2020-02-24,2.0,4
2020-02-25,8.0,32
2020-02-26,21.0,68
2020-02-27,3.0,39
2020-02-28,7.0,38
2020-02-29,2.0,48
2020-03-01,4.0,50
2020-03-02,6.0,89
2020-03-03,13.0,157
2020-03-04,21.0,129
2020-03-05,22.0,212
2020-03-06,33.0,182
2020-03-07,28.0,193
2020-03-08,25.0,177
2020-03-09,56.0,251
2020-03-10,56.0,264
2020-03-11,58.0,306
2020-03-12,102.0,420
2020-03-13,92.0,560
2020-03-14,81.0,459
2020-03-15,64.0,317
2020-03-16,99.0,510
2020-03-17,81.0,631
2020-03-18,128.0,663
2020-03-19,117.0,710
2020-03-20,129.0,782
2020-03-21,85.0,592
2020-03-22,71.0,470
2020-03-23,135.0,606
2020-03-24,115.0,643
2020-03-25,101.0,533
2020-03-26,105.0,642
2020-03-27,122.0,498
2020-03-28,82.0,455
2020-03-29,49.0,302
2020-03-30,79.0,473
2020-03-31,125.0,603
2020-04-01,121.0,409
2020-04-02,133.0,478
2020-04-03,124.0,402
2020-04-04,95.0,382
2020-04-05,47.0,302
2020-04-06,71.0,252
2020-04-07,84.0,325
2020-04-08,99.0,468
2020-04-09,93.0,330
2020-04-10,106.0,506
2020-04-11,81.0,320
2020-04-12,30.0,146
2020-04-13,67.0,297
2020-04-14,72.0,298
2020-04-15,70.0,307
2020-04-16,48.0,218
2020-04-17,74.0,334
2020-04-18,56.0,322
2020-04-19,25.0,169
2020-04-20,37.0,250
2020-04-21,59.0,272
2020-04-22,48.0,203
2020-04-23,33.0,150
2020-04-24,41.0,257
2020-04-25,26.0,215
2020-04-26,21.0,136
2020-04-27,34.0,191
2020-04-28,48.0,154
2020-04-29,44.0,189
2020-04-30,44.0,177
2020-05-01,23.0,117
2020-05-02,21.0,86
2020-05-03,15.0,88
2020-05-04,20.0,68
2020-05-05,13.0,91
2020-05-06,19.0,100
2020-05-07,13.0,104
2020-05-08,19.0,86
2020-05-09,1.0,73
2020-05-10,7.0,29
2020-05-11,25.0,47
2020-05-12,16.0,41
2020-05-13,16.0,65
2020-05-14,11.0,53
2020-05-15,13.0,47
2020-05-16,13.0,35
2020-05-17,5.0,25
2020-05-18,16.0,46
2020-05-19,6.0,38
2020-05-20,0.0,52
2020-05-21,7.0,46
2020-05-22,6.0,43
2020-05-23,5.0,25
2020-05-24,1.0,14
2020-05-25,7.0,29
2020-05-26,4.0,48
2020-05-27,4.0,32
2020-05-28,6.0,34
2020-05-29,3.0,29
2020-05-30,0.0,13
2020-05-31,2.0,8
2020-06-01,3.0,17
2020-06-02,0.0,12
2020-06-03,0.0,16
2020-06-04,3.0,14
2020-06-05,1.0,26
2020-06-06,1.0,17
2020-06-07,2.0,9
2020-06-08,9.0,22
2020-06-09,2.0,21
2020-06-10,8.0,27
2020-06-11,2.0,15
2020-06-12,2.0,19
2020-06-13,1.0,14
2020-06-14,0.0,5
2020-06-15,8.0,16
2020-06-16,4.0,22
2020-06-17,1.0,23
2020-06-18,3.0,23
2020-06-19,2.0,23
2020-06-20,1.0,24
2020-06-21,0.0,11
2020-06-22,1.0,90
2020-06-23,2.0,31
2020-06-24,1.0,28
2020-06-25,3.0,38
2020-06-26,2.0,22
2020-06-27,2.0,23
2020-06-28,0.0,5
2020-06-29,0.0,29
2020-06-30,2.0,32
2020-07-01,2.0,26
2020-07-02,1.0,43
2020-07-03,1.0,29
2020-07-04,0.0,36
2020-07-05,0.0,15
2020-07-06,4.0,52
2020-07-07,0.0,32
2020-07-08,0.0,75
2020-07-09,0.0,35
2020-07-10,1.0,71
2020-07-11,0.0,13
2020-07-12,0.0,5
2020-07-13,3.0,25
2020-07-14,1.0,41
2020-07-15,2.0,52
2020-07-16,1.0,42
2020-07-17,0.0,50
2020-07-18,0.0,38
2020-07-19,0.0,15
2020-07-20,4.0,80
2020-07-21,0.0,46
2020-07-22,2.0,57
2020-07-23,3.0,46
2020-07-24,5.0,53
2020-07-25,1.0,27
2020-07-26,1.0,15
2020-07-27,2.0,35
2020-07-28,0.0,35
2020-07-29,2.0,38
2020-07-30,4.0,59
2020-07-31,1.0,55
2020-08-01,1.0,28
2020-08-02,0.0,26
2020-08-03,3.0,71
2020-08-04,1.0,58
2020-08-05,0.0,44
2020-08-06,0.0,45
2020-08-07,2.0,61
2020-08-08,0.0,32
2020-08-09,0.0,8
2020-08-10,2.0,52
2020-08-11,0.0,36
2020-08-12,4.0,57
2020-08-13,1.0,73
2020-08-14,0.0,57
2020-08-15,0.0,21
2020-08-16,0.0,21
2020-08-17,2.0,85
2020-08-18,0.0,90
2020-08-19,1.0,83
2020-08-20,2.0,87
2020-08-21,2.0,121
2020-08-22,0.0,112
2020-08-23,1.0,42
2020-08-24,5.0,179
2020-08-25,1.0,202
2020-08-26,4.0,138
2020-08-27,5.0,134
2020-08-28,4.0,125
2020-08-29,3.0,127
2020-08-30,0.0,41
2020-08-31,1.0,126
2020-09-01,2.0,130
2020-09-02,2.0,131
2020-09-03,7.0,123
2020-09-04,3.0,124
2020-09-05,3.0,116
2020-09-06,0.0,31
2020-09-07,4.0,151
2020-09-08,6.0,112
2020-09-09,5.0,150
2020-09-10,5.0,137
2020-09-11,2.0,133
2020-09-12,0.0,129
2020-09-13,1.0,46
2020-09-14,2.0,139
2020-09-15,2.0,117
2020-09-16,5.0,113
2020-09-17,7.0,137
2020-09-18,5.0,105
2020-09-19,5.0,90
2020-09-20,1.0,24
2020-09-21,5.0,155
2020-09-22,5.0,83
2020-09-23,3.0,108
2020-09-24,3.0,96
2020-09-25,3.0,124
2020-09-26,0.0,77
2020-09-27,2.0,39
2020-09-28,2.0,171
2020-09-29,2.0,104
2020-09-30,7.0,143
2020-10-01,9.0,184
2020-10-02,17.0,265
2020-10-03,7.0,140
2020-10-04,3.0,80
2020-10-05,12.0,261
2020-10-06,12.0,280
2020-10-07,14.0,296
2020-10-08,26.0,396
2020-10-09,22.0,377
2020-10-10,14.0,367
2020-10-11,12.0,180
2020-10-12,37.0,459
2020-10-13,41.0,641
2020-10-14,24.0,662
2020-10-15,33.0,607
2020-10-16,44.0,723
2020-10-17,29.0,721
2020-10-18,12.0,192
2020-10-19,60.0,956
