data,tutti,maschi,femmine
0.0,0,0.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,0,0.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,0,0.0,0
19.0,0,0.0,0
20.0,0,0.0,0
21.0,0,0.0,0
22.0,0,0.0,0
23.0,0,0.0,0
24.0,0,0.0,0
25.0,0,0.0,0
26.0,0,0.0,0
27.0,0,0.0,0
28.0,1,1.0,0
29.0,0,0.0,0
30.0,0,0.0,0
31.0,0,0.0,0
32.0,1,1.0,0
33.0,0,0.0,0
34.0,0,0.0,0
35.0,0,0.0,0
36.0,0,0.0,0
37.0,1,1.0,0
38.0,0,0.0,0
39.0,1,1.0,0
40.0,0,0.0,0
41.0,0,0.0,0
42.0,0,0.0,0
43.0,1,1.0,0
44.0,0,0.0,0
45.0,0,0.0,0
46.0,3,3.0,0
47.0,0,0.0,0
48.0,1,0.0,1
49.0,2,1.0,1
50.0,4,2.0,2
51.0,1,1.0,0
52.0,3,3.0,0
53.0,1,0.0,1
54.0,1,1.0,0
55.0,2,2.0,0
56.0,3,2.0,1
57.0,5,3.0,2
58.0,5,3.0,2
59.0,5,5.0,0
60.0,3,1.0,2
61.0,6,4.0,2
62.0,4,3.0,1
63.0,10,9.0,1
64.0,7,5.0,2
65.0,8,5.0,3
66.0,13,8.0,5
67.0,12,9.0,3
68.0,11,10.0,1
69.0,18,13.0,5
70.0,17,12.0,5
71.0,24,18.0,6
72.0,25,21.0,4
73.0,31,21.0,10
74.0,43,25.0,18
75.0,28,20.0,8
76.0,30,18.0,12
77.0,29,22.0,7
78.0,43,24.0,19
79.0,49,36.0,13
80.0,57,37.0,20
81.0,66,39.0,27
82.0,70,39.0,31
83.0,58,37.0,21
84.0,63,37.0,26
85.0,65,33.0,32
86.0,71,36.0,35
87.0,59,35.0,24
88.0,92,47.0,45
89.0,69,40.0,29
90.0,71,33.0,38
91.0,58,19.0,39
92.0,72,32.0,40
93.0,47,19.0,28
94.0,33,8.0,25
95.0,42,11.0,31
96.0,26,5.0,21
97.0,28,11.0,17
98.0,16,4.0,12
99.0,13,3.0,10
100.0,6,,6
101.0,1,,1
102.0,0,,0
103.0,0,,0
104.0,0,,0
105.0,1,,1
