date,confirmed,deceased,deceduti/positivi 7gg
2020-01-29,2,,
2020-01-30,0,,
2020-01-31,0,,
2020-02-01,0,,
2020-02-02,0,,
2020-02-03,0,,
2020-02-04,0,,
2020-02-05,0,,
2020-02-06,1,,
2020-02-07,0,,
2020-02-08,0,,
2020-02-09,0,,
2020-02-10,0,,
2020-02-11,0,,
2020-02-12,0,,
2020-02-13,0,,
2020-02-14,0,,
2020-02-15,0,,
2020-02-16,0,,
2020-02-17,0,,
2020-02-18,0,,
2020-02-19,0,,
2020-02-20,4,1.0,
2020-02-21,36,10.0,
2020-02-22,57,14.0,
2020-02-23,77,8.0,0.16643741403026135
2020-02-24,85,14.0,0.17542120911793854
2020-02-25,190,20.0,0.19606358819076458
2020-02-26,278,54.0,0.21367521367521367
2020-02-27,286,57.0,0.22959959452610237
2020-02-28,348,92.0,0.24195470798569726
2020-02-29,374,105.0,0.25998083679335676
2020-03-01,412,111.0,0.26698905573937387
2020-03-02,629,170.0,0.27103559870550165
2020-03-03,804,225.0,0.2644128695084109
2020-03-04,1076,289.0,0.26033457763030554
2020-03-05,1301,348.0,0.25604448742746616
2020-03-06,1527,371.0,0.2513915595587491
2020-03-07,1484,369.0,0.24659436008676788
2020-03-08,1451,346.0,0.24327184759600848
2020-03-09,2238,536.0,0.24002919901785122
2020-03-10,2448,583.0,0.23856746189153963
2020-03-11,2779,665.0,0.23389348631771337
2020-03-12,3142,747.0,0.23512680730030813
2020-03-13,4105,964.0,0.22908921933085502
2020-03-14,3534,766.0,0.22291650982458783
2020-03-15,2849,699.0,0.21592373973810977
2020-03-16,4815,999.0,0.211876054226276
2020-03-17,5342,1082.0,0.20512295081967213
2020-03-18,5691,1108.0,0.2038996117269709
2020-03-19,5678,1165.0,0.20142548949998634
2020-03-20,6251,1188.0,0.19748819292366956
2020-03-21,4916,1006.0,0.19332536258252325
2020-03-22,3926,828.0,0.19017260146167003
2020-03-23,6097,1108.0,0.18355348355348355
2020-03-24,5915,1035.0,0.17800319781919216
2020-03-25,5803,1008.0,0.17303108945500767
2020-03-26,5702,914.0,0.16999104453309452
2020-03-27,5792,892.0,0.1664573740756244
2020-03-28,4527,749.0,0.16093094455153645
2020-03-29,3013,558.0,0.15693208498797068
2020-03-30,5083,809.0,0.1532229238651257
2020-03-31,5356,747.0,0.1507027832076701
2020-04-01,5026,745.0,0.14830049104011223
2020-04-02,4775,644.0,0.14510031986042454
2020-04-03,4449,605.0,0.14332932692307693
2020-04-04,3660,543.0,0.14143031146685228
2020-04-05,2602,398.0,0.13893761841274296
2020-04-06,4084,611.0,0.13938263348702967
2020-04-07,4139,518.0,0.14133984119891382
2020-04-08,4793,641.0,0.14101098291930847
2020-04-09,4684,644.0,0.1423603718685686
2020-04-10,5131,757.0,0.14447183766356914
2020-04-11,3430,501.0,0.14578105395232122
2020-04-12,1921,340.0,0.14439803738696727
2020-04-13,2267,408.0,0.13997973144160122
2020-04-14,3278,427.0,0.13508978777435154
2020-04-15,3950,484.0,0.1304327375352775
2020-04-16,3705,398.0,0.12578403937083857
2020-04-17,3501,421.0,0.11795946890286513
2020-04-18,2638,295.0,0.1141889667497531
2020-04-19,1387,174.0,0.10944324514282845
2020-04-20,3006,333.0,0.10679560624375888
2020-04-21,3076,323.0,0.10020259541148771
2020-04-22,2606,236.0,0.09819569743233865
2020-04-23,2813,250.0,0.09755953436151983
2020-04-24,2737,219.0,0.09192147980369951
2020-04-25,1667,163.0,0.08626070788232951
2020-04-26,1018,127.0,0.08416209999323455
2020-04-27,1977,143.0,0.08114374034003091
2020-04-28,2241,161.0,0.08114122228403402
2020-04-29,2328,181.0,0.07699396782841823
2020-04-30,2266,161.0,0.07256652661064426
2020-05-01,1086,85.0,0.07300742914794094
2020-05-02,1020,61.0,0.0722619864692617
2020-05-03,506,37.0,0.06603672286051755
2020-05-04,1456,110.0,0.06104788999525842
2020-05-05,1537,102.0,0.056134723336006415
2020-05-06,1442,59.0,0.05533175355450237
2020-05-07,1389,61.0,0.054769677185346394
2020-05-08,1379,60.0,0.05060491739300117
2020-05-09,731,38.0,0.046857304643261606
2020-05-10,337,23.0,0.048525798525798525
2020-05-11,872,46.0,0.04730290456431535
2020-05-12,914,44.0,0.04561338973698731
2020-05-13,890,44.0,0.04292168674698795
2020-05-14,902,30.0,0.041342689171249766
2020-05-15,791,23.0,0.039359177215189875
2020-05-16,606,18.0,0.036404771698889345
2020-05-17,298,13.0,0.03379250968575118
2020-05-18,655,27.0,0.03344021988089785
2020-05-19,720,22.0,0.03145539906103286
2020-05-20,674,24.0,0.03117206982543641
2020-05-21,622,19.0,0.030059600932884168
2020-05-22,685,11.0,0.03066989507667474
2020-05-23,356,9.0,0.029395138496325607
2020-05-24,147,4.0,0.025974025974025976
2020-05-25,513,25.0,0.025289457647775748
2020-05-26,541,12.0,0.028159570901776735
2020-05-27,524,8.0,0.026785714285714284
2020-05-28,516,14.0,0.02697967764540995
2020-05-29,386,12.0,0.023178807947019868
2020-05-30,285,3.0,0.022968197879858657
2020-05-31,89,3.0,0.025738798856053385
2020-06-01,377,11.0,0.024189397838394237
2020-06-02,87,1.0,0.02368692070030896
2020-06-03,358,10.0,0.024731182795698924
2020-06-04,361,7.0,0.025336927223719677
2020-06-05,385,11.0,0.021934758155230598
2020-06-06,203,3.0,0.021855269548324428
2020-06-07,84,4.0,0.023389021479713605
2020-06-08,300,3.0,0.024278515803939534
2020-06-09,368,7.0,0.024007386888273315
2020-06-10,394,14.0,0.025711662075298437
2020-06-11,449,11.0,0.02682701202590194
2020-06-12,368,10.0,0.028999064546304958
2020-06-13,215,7.0,0.03024390243902439
2020-06-14,68,6.0,0.0296220633299285
2020-06-15,276,7.0,0.030998851894374284
2020-06-16,280,7.0,0.02702702702702703
2020-06-17,302,10.0,0.026625386996904025
2020-06-18,233,7.0,0.023617153511497825
2020-06-19,291,1.0,0.020347097546379412
2020-06-20,165,5.0,0.019058963668850508
2020-06-21,62,1.0,0.014529374605180037
2020-06-22,338,3.0,0.011597938144329897
2020-06-23,288,5.0,0.01453287197231834
2020-06-24,206,1.0,0.012108262108262107
2020-06-25,202,2.0,0.011363636363636364
2020-06-26,184,4.0,0.013846153846153847
2020-06-27,124,1.0,0.01568951279933939
2020-06-28,66,0.0,0.01935483870967742
2020-06-29,230,5.0,0.019470404984423675
2020-06-30,199,6.0,0.015659955257270694
2020-07-01,235,6.0,0.015994436717663423
2020-07-02,246,3.0,0.019337016574585635
2020-07-03,241,0.0,0.017894012388162423
2020-07-04,221,3.0,0.015572105619498984
2020-07-05,76,5.0,0.01309757694826457
2020-07-06,235,3.0,0.011992005329780146
2020-07-07,223,3.0,0.012607830126078301
2020-07-08,285,3.0,0.011740331491712707
2020-07-09,220,1.0,0.009071877180739707
2020-07-10,247,1.0,0.009399855386840203
2020-07-11,162,1.0,0.010021474588403722
2020-07-12,61,1.0,0.011111111111111112
2020-07-13,185,3.0,0.010822510822510822
2020-07-14,237,4.0,0.014054813773717497
2020-07-15,238,4.0,0.014716187806587245
2020-07-16,256,1.0,0.018292682926829267
2020-07-17,284,6.0,0.018656716417910446
2020-07-18,166,2.0,0.01637355973317162
2020-07-19,110,7.0,0.016597510373443983
2020-07-20,317,6.0,0.018235294117647058
2020-07-21,278,1.0,0.017431725740848343
2020-07-22,276,5.0,0.016590389016018305
2020-07-23,269,4.0,0.013294797687861272
2020-07-24,305,5.0,0.010938399539435808
2020-07-25,193,1.0,0.012401352874859075
2020-07-26,92,1.0,0.010697911360163017
2020-07-27,324,2.0,0.009200968523002421
2020-07-28,315,4.0,0.00772573635924674
2020-07-29,465,4.0,0.00918318028032866
2020-07-30,371,2.0,0.008645533141210375
2020-07-31,311,2.0,0.010124252185918085
2020-08-01,191,4.0,0.010244988864142539
2020-08-02,105,0.0,0.00962800875273523
2020-08-03,415,6.0,0.012136974425661032
2020-08-04,387,5.0,0.01128577186618299
2020-08-05,505,3.0,0.011072928598701794
2020-08-06,393,8.0,0.01261595547309833
2020-08-07,485,2.0,0.012287676183592338
2020-08-08,329,5.0,0.010693342531907554
2020-08-09,181,5.0,0.012284196547144754
2020-08-10,487,6.0,0.01015228426395939
2020-08-11,519,2.0,0.010419859025436715
