date,Rt_confirmed,Rt_confirmed_err68perc,Rt_symptomatic,Rt_symptomatic_err68perc
2020-01-29,,,,
2020-01-30,,,,
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,2.746261722594318,1.048505308377002,2.746261722594318,1.048505308377002
2020-02-29,2.6765902813484113,0.9937969292512295,2.6765902813484113,0.9937969292512295
2020-03-01,2.660945901831549,0.9800349477969752,2.660945901831549,0.9800349477969752
2020-03-02,2.5920243739497666,0.9160282197737475,2.5920243739497666,0.9160282197737475
2020-03-03,2.65854825721457,0.9712969990758348,2.65854825721457,0.9712969990758348
2020-03-04,2.6667721873558023,0.9784587643594527,2.6667721873558023,0.9784587643594527
2020-03-05,2.7062211772650504,1.0105591809494432,2.7062211772650504,1.0105591809494432
2020-03-06,2.707494187760897,1.011656804108116,2.707494187760897,1.011656804108116
2020-03-07,2.7823060109150632,1.0770173243509786,2.7823060109150632,1.0770173243509786
2020-03-08,2.917474763054412,1.1992705277278823,2.917474763054412,1.1992705277278823
2020-03-09,3.0605249567547883,1.3317787933146608,3.0605249567547883,1.3317787933146608
2020-03-10,3.188528076441078,1.4532973913529492,3.188528076441078,1.4532973913529492
2020-03-11,3.2490374528942207,1.5110848587873864,3.2490374528942207,1.5110848587873864
2020-03-12,3.2292324685801703,1.4921476235910085,3.2292324685801703,1.4921476235910085
2020-03-13,3.2062503280311305,1.4706863272008266,3.2062503280311305,1.4706863272008266
2020-03-14,3.042268377244468,1.3125789171107138,3.042268377244468,1.3125789171107138
2020-03-15,2.9548665841632293,1.2351410556976392,2.9548665841632293,1.2351410556976392
2020-03-16,2.8723335701247135,1.1643096379403666,2.8723335701247135,1.1643096379403666
2020-03-17,2.7455043300937936,1.0572150122215196,2.7455043300937936,1.0572150122215196
2020-03-18,2.588848030908179,0.9304599094853859,2.588848030908179,0.9304599094853859
2020-03-19,2.367942515705544,0.7541667978314912,2.367942515705544,0.7541667978314912
2020-03-20,2.160457439059627,0.595911557121181,2.160457439059627,0.595911557121181
2020-03-21,1.9729710878302178,0.4652240203278884,1.9729710878302178,0.4652240203278884
2020-03-22,1.821925124044674,0.3723014935907334,1.821925124044674,0.3723014935907334
2020-03-23,1.694826877082002,0.3014430122604159,1.694826877082002,0.3014430122604159
2020-03-24,1.589629372076472,0.24921980997515264,1.589629372076472,0.24921980997515264
2020-03-25,1.4822024547596468,0.19909419210374216,1.4822024547596468,0.19909419210374216
2020-03-26,1.3737752139594972,0.15074583836158031,1.3737752139594972,0.15074583836158031
2020-03-27,1.2708861143967751,0.10972940440648342,1.2708861143967751,0.10972940440648342
2020-03-28,1.1814980575834206,0.077108048769673,1.1814980575834206,0.077108048769673
2020-03-29,1.0961702356100862,0.049561225832107314,1.0961702356100862,0.049561225832107314
2020-03-30,1.02229997284643,0.034767407454016554,1.02229997284643,0.034767407454016554
2020-03-31,0.9590459566667878,0.03209717691442161,0.9590459566667878,0.03209717691442161
2020-04-01,0.907580972809148,0.0335093947197911,0.907580972809148,0.0335093947197911
2020-04-02,0.8666866797315783,0.037290257228840065,0.8666866797315783,0.037290257228840065
2020-04-03,0.8357222105999271,0.043272529888084894,0.8357222105999271,0.043272529888084894
2020-04-04,0.8109837033421471,0.04743545238116241,0.8109837033421471,0.04743545238116241
2020-04-05,0.7934751066076279,0.04978567962714618,0.7934751066076279,0.04978567962714618
2020-04-06,0.7792545311775684,0.0518796834745843,0.7792545311775684,0.0518796834745843
2020-04-07,0.7628560844767205,0.05454886040828039,0.7628560844767205,0.05454886040828039
2020-04-08,0.7558988061056882,0.0556013152927573,0.7558988061056882,0.0556013152927573
