date,Rt_confirmed,Rt_confirmed_err68perc,Rt_symptomatic,Rt_symptomatic_err68perc
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,2.211521746391945,0.6190458172181805,,
2020-03-13,2.2260432641675063,0.6286483925250609,,
2020-03-14,2.214277384264821,0.6207199484300069,,
2020-03-15,2.1818525867846734,0.5982155814901188,,
2020-03-16,2.1392059876821223,0.5691752009218313,,
2020-03-17,2.093330024313897,0.538823714655646,,
2020-03-18,2.0413383373930962,0.5050817561825557,,
2020-03-19,1.9592261763465548,0.45130711037585264,,
2020-03-20,1.8856219250062063,0.40510832509749883,,
2020-03-21,1.7915138258022092,0.347596154421396,,
2020-03-22,1.709436608475831,0.30214663122118685,,
2020-03-23,1.644407856664971,0.26854630586655875,,
2020-03-24,1.5810928866138187,0.23815621418266256,,
2020-03-25,1.5089733811950232,0.20510156296964513,1.145141085041898,0.05721822502113251
2020-03-26,1.4289050331221222,0.1690925846357471,1.1231733630975296,0.05472559816621768
2020-03-27,1.348300981904035,0.13323588568669262,1.0746384557038406,0.0408776225467911
2020-03-28,1.2747209846782073,0.10144328096465606,1.0329816016457323,0.0335144052774297
2020-03-29,1.2063494153009533,0.07662333512606585,0.9915881470369907,0.03421770723359852
2020-03-30,1.1451525231609674,0.05537995544943393,0.9353067884518997,0.03941072577472726
2020-03-31,1.0928172265188933,0.03738587980624865,0.8842568585153027,0.04247682219855284
2020-04-01,1.0551750449572777,0.024104532704489704,0.8464478972727814,0.045036254393591914
2020-04-02,1.0233102495649302,0.015785802675651738,0.8221389086374201,0.04558113295504635
2020-04-03,0.998620603566365,0.014195803200228164,0.8390766306153663,0.04404522911829185
2020-04-04,0.9781360246016494,0.014892191774126404,0.8771223865677331,0.03993877747989486
2020-04-05,0.9538108515505523,0.016854203680524087,0.9151358610799076,0.03816877545043139
2020-04-06,0.9381183257320588,0.019412681793040138,0.941735916781694,0.03642892398636231
2020-04-07,0.9262603264750505,0.021306704317750093,0.9789841618250325,0.03795225884753699
2020-04-08,0.9157265536328131,0.023085809555731848,1.053092389727226,0.04825682369921301
2020-04-09,0.9098322879122472,0.024182920711286592,1.1215501251796673,0.06479748466732142
2020-04-10,0.9062059471687217,0.02505807739288927,1.1998996943229971,0.08175906204838007
2020-04-11,0.8969821572709651,0.027985220397884977,1.2499518721336862,0.09152642942772643
2020-04-12,0.8803757697354415,0.031861945655754204,1.2930011810654294,0.10414803085946686
2020-04-13,0.8624234866786977,0.035881493506274585,1.3361640475104013,0.12203419991156635
2020-04-14,0.8367097313530669,0.042103503987696626,1.368847717672202,0.1357172205157358
2020-04-15,0.8084220064848333,0.049010516422854915,1.4079096142348575,0.15378468969678433
2020-04-16,0.7806040212540202,0.05423091999347935,1.4489645490253338,0.1726364125307655
2020-04-17,0.7538714110199951,0.058255618533098984,1.4889737857702892,0.19094796244242876
2020-04-18,0.7304022383546168,0.06141872296235329,1.513231106825774,0.2016375539066388
2020-04-19,0.7106743691626964,0.06365244915932428,1.52569036251957,0.20705948466642754
2020-04-20,0.6807201620022526,0.06752348079295155,1.5081183689654267,0.19882497110952072
2020-04-21,0.6588510149542962,0.06997488612725852,1.482001141582925,0.18707276431499154
2020-04-22,0.6401093849138565,0.07195880472009952,1.4590422458910135,0.1780247082243885
2020-04-23,0.6257340360041055,0.07347659454243284,1.4278576810116115,0.16641238278983317
2020-04-24,0.610386951932367,0.07509381937523342,1.3822546192997962,0.14976336981657856
2020-04-25,0.6000356736864468,0.07591513950754719,1.3074808977709127,0.11812011099105182
2020-04-26,0.601875828313988,0.07577546039506451,1.2302951112420968,0.08636310024114935
2020-04-27,0.6081244771147978,0.07524844865156297,1.1676498173640315,0.0648858296928435
2020-04-28,0.6243779175903205,0.0741627839851564,1.1112625095593958,0.042285735156288105
2020-04-29,0.6362194616583804,0.07335225456221452,1.0678388205864053,0.027990793918576576
2020-04-30,0.6413836761844189,0.07285033084304765,1.0194305891833915,0.02096091767293283
2020-05-01,0.6360185825350497,0.07352592317345644,0.9609083210020422,0.030837074620705222
2020-05-02,0.6343785111888743,0.07373017759062377,0.8999589809998408,0.0408480202797893
2020-05-03,0.6387886359077362,0.07313464181354823,0.8418116022628044,0.05014241196025264
2020-05-04,0.6343596833549642,0.07362611479937742,0.7954412388032448,0.05703384566988817
2020-05-05,0.6137431351273247,0.07625345290561895,0.737635103535699,0.06621299399670456
2020-05-06,0.5854622794762044,0.07921256930580232,0.6739972928620905,0.07378376211187053
2020-05-07,0.5676944427208189,0.08026971205884374,0.6293437300196856,0.07663568156365218
2020-05-08,0.5546994148498611,0.08058477378223453,0.6020877235652758,0.0775826972205935
2020-05-09,0.5469568911898144,0.0807653564607244,0.586744993904909,0.07820920599531932
2020-05-10,0.5390072082642486,0.08101805623966282,0.570765011938386,0.07896708628611428
2020-05-11,0.5257047614145598,0.08146237416023883,0.5515615845862138,0.07991168847361362
2020-05-12,0.505796858522009,0.08271480769885742,0.5244605050998363,0.08196844158564184
2020-05-13,0.4522937720624278,0.08633317196540641,0.4640681999278263,0.08657440666562702
2020-05-14,0.4067712710420477,0.0862390306234358,0.4152615762325562,0.08675042697781374
2020-05-15,0.3622189667593911,0.08371358418741326,0.369106696348392,0.08434959361520107
2020-05-16,0.3401559656889438,0.08164051064520009,0.3451852451465106,0.08217209567706005
2020-05-17,0.3251158046774651,0.08003909141213145,0.3278473908069561,0.0803473065195388
2020-05-18,0.3036899795881701,0.07777026980591133,0.3036899795881701,0.07777026980591133
2020-05-19,0.2899083100627655,0.07588576823160004,0.2899083100627655,0.07588576823160004
2020-05-20,0.2878175075787551,0.07556684949393769,0.2878175075787551,0.07556684949393769
2020-05-21,0.2743838409749006,0.0737640064768675,0.2743838409749006,0.0737640064768675
2020-05-22,0.20007753017283492,0.0640920849185472,0.20007753017283492,0.0640920849185472
2020-05-23,0.19895320214148227,0.06385856640451706,0.19895320214148227,0.06385856640451706
2020-05-24,0.2183278678872944,0.06781161168865381,0.2183278678872944,0.06781161168865381
2020-05-25,0.25756370607576423,0.0749537770979515,0.25756370607576423,0.0749537770979515
2020-05-26,0.30313295001241236,0.08220933023619507,0.30313295001241236,0.08220933023619507
2020-05-27,0.36343041259707387,0.09288750533079579,0.36343041259707387,0.09288750533079579
2020-05-28,0.4376550590466254,0.10425449435958863,0.4376550590466254,0.10425449435958863
2020-05-29,0.48475808133669457,0.10905933469273162,0.48475808133669457,0.10905933469273162
2020-05-30,0.5607955321319317,0.11388256708419224,0.5607955321319317,0.11388256708419224
2020-05-31,0.6518785724612354,0.11595978809733823,0.6518785724612354,0.11595978809733823
2020-06-01,0.7773596656597749,0.12403006059539046,0.7773596656597749,0.12403006059539046
2020-06-02,0.9288614308441898,0.12623781346478735,0.9288614308441898,0.12623781346478735
2020-06-03,1.110013587469531,0.1145446159590324,1.110013587469531,0.1145446159590324
2020-06-04,1.241561672368832,0.11410163129570304,1.241561672368832,0.11410163129570304
2020-06-05,1.1618962568198279,0.07854249019854043,1.1618962568198279,0.07854249019854043
2020-06-06,1.0993102436090068,0.07457234176618847,1.0993102436090068,0.07457234176618847
2020-06-07,1.0383395179483652,0.07056727190155981,1.0383395179483652,0.07056727190155981
2020-06-08,0.9037787635240045,0.08525331580641222,0.9037787635240045,0.08525331580641222
2020-06-09,0.788570713105328,0.08898817764643223,0.788570713105328,0.08898817764643223
2020-06-10,0.6338042121834117,0.1134463886014525,0.6338042121834117,0.1134463886014525
2020-06-11,0.5246203714761056,0.11363694698638843,0.5246203714761056,0.11363694698638843
2020-06-12,0.4100167848409476,0.10079305682593385,0.4100167848409476,0.10079305682593385
2020-06-13,0.3275841613957278,0.08740733664110818,0.3275841613957278,0.08740733664110818
2020-06-14,0.2711281835738415,0.07633424368588367,0.2711281835738415,0.07633424368588367
2020-06-15,,,,
2020-06-16,,,,
2020-06-17,,,,
2020-06-18,,,,
2020-06-19,,,,
2020-06-20,,,,
2020-06-21,,,,
2020-06-22,,,,
2020-06-23,,,,
2020-06-24,,,,
2020-06-25,,,,
2020-06-26,,,,
2020-06-27,,,,
2020-06-28,,,,
2020-06-29,,,,
2020-06-30,1.3491675165996773,0.17703054204492227,1.3617744758319292,0.18182903539854856
2020-07-01,1.084057325262879,0.10731431238855506,1.114821679552794,0.14974888297139363
2020-07-02,0.846119031826744,0.11157431036766073,0.8910057543027675,0.11968471628704525
2020-07-03,0.6455022388473801,0.10077149691625341,0.6906909733600387,0.09222354778519185
2020-07-04,,,,
2020-07-05,,,,
2020-07-06,,,,
2020-07-07,,,,
2020-07-08,,,,
2020-07-09,,,,
2020-07-10,,,,
2020-07-11,,,,
2020-07-12,,,,
2020-07-13,,,,
2020-07-14,,,,
2020-07-15,,,,
2020-07-16,,,,
2020-07-17,,,,
2020-07-18,,,,
2020-07-19,,,,
2020-07-20,1.4451494776809513,0.21213812410711122,1.4451494776809513,0.21213812410711122
2020-07-21,1.3500520801144915,0.19876525945171009,1.3500520801144915,0.19876525945171009
2020-07-22,1.2579732327759692,0.18563283814230816,1.2579732327759692,0.18563283814230816
2020-07-23,1.3151679914561027,0.20566529168390948,1.3151679914561027,0.20566529168390948
2020-07-24,1.3500520801144915,0.21792652561278872,1.3500520801144915,0.21792652561278872
2020-07-25,1.3617744758319292,0.22205629038253263,1.3617744758319292,0.22205629038253263
2020-07-26,1.5061118511566987,0.299425169919815,1.5061118511566987,0.299425169919815
2020-07-27,1.6060842445793975,0.35228375149070984,1.6060842445793975,0.35228375149070984
