date,all,male,female
0.0,1,0,1.0
1.0,6,4,2.0
2.0,0,0,0.0
3.0,2,1,1.0
4.0,2,1,1.0
5.0,2,0,2.0
6.0,3,2,1.0
7.0,1,0,1.0
8.0,4,3,1.0
9.0,1,1,0.0
10.0,2,1,1.0
11.0,4,0,4.0
12.0,6,2,4.0
13.0,1,1,0.0
14.0,3,3,0.0
15.0,4,3,1.0
16.0,4,1,3.0
17.0,2,1,1.0
18.0,7,4,3.0
19.0,3,1,2.0
20.0,4,3,1.0
21.0,9,5,4.0
22.0,5,2,3.0
23.0,5,4,1.0
24.0,6,3,3.0
25.0,12,7,5.0
26.0,9,5,4.0
27.0,8,3,5.0
28.0,7,3,4.0
29.0,7,3,4.0
30.0,5,2,3.0
31.0,9,4,5.0
32.0,11,10,1.0
33.0,16,9,7.0
34.0,15,9,6.0
35.0,21,13,8.0
36.0,14,9,5.0
37.0,21,13,8.0
38.0,20,14,6.0
39.0,21,12,9.0
40.0,27,19,8.0
41.0,30,22,8.0
42.0,29,18,11.0
43.0,38,29,9.0
44.0,42,33,9.0
45.0,43,33,10.0
46.0,46,36,10.0
47.0,69,55,14.0
48.0,56,41,15.0
49.0,76,60,16.0
50.0,81,57,24.0
51.0,69,51,18.0
52.0,82,60,22.0
53.0,96,73,23.0
54.0,110,80,30.0
55.0,121,88,33.0
56.0,112,78,34.0
57.0,103,69,34.0
58.0,134,103,31.0
59.0,142,102,40.0
60.0,147,103,44.0
61.0,180,139,41.0
62.0,165,114,51.0
63.0,205,153,52.0
64.0,170,133,37.0
65.0,156,108,48.0
66.0,202,149,53.0
67.0,184,133,51.0
68.0,178,124,54.0
69.0,204,143,61.0
70.0,210,157,53.0
71.0,222,154,68.0
72.0,235,171,64.0
73.0,206,132,74.0
74.0,238,155,83.0
75.0,170,111,59.0
76.0,183,117,66.0
77.0,173,112,61.0
78.0,136,102,34.0
79.0,137,91,46.0
80.0,94,60,34.0
81.0,73,56,17.0
82.0,68,47,21.0
83.0,67,41,26.0
84.0,34,20,14.0
85.0,36,22,14.0
86.0,27,16,11.0
87.0,21,15,6.0
88.0,14,6,8.0
89.0,9,1,8.0
90.0,8,5,3.0
91.0,6,5,1.0
92.0,4,2,2.0
93.0,3,1,2.0
94.0,3,1,2.0
95.0,0,0,0.0
96.0,1,0,1.0
97.0,2,1,1.0
98.0,3,1,2.0
99.0,0,0,
100.0,0,0,
101.0,0,0,
102.0,1,1,
