date,all,male,female
0.0,3,3.0,0
1.0,0,0.0,0
2.0,3,3.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,1,0.0,1
6.0,0,0.0,0
7.0,1,1.0,0
8.0,1,0.0,1
9.0,1,0.0,1
10.0,2,1.0,1
11.0,0,0.0,0
12.0,1,0.0,1
13.0,4,3.0,1
14.0,3,2.0,1
15.0,3,3.0,0
16.0,1,0.0,1
17.0,3,3.0,0
18.0,1,0.0,1
19.0,2,1.0,1
20.0,3,1.0,2
21.0,3,1.0,2
22.0,0,0.0,0
23.0,3,1.0,2
24.0,10,8.0,2
25.0,7,4.0,3
26.0,9,4.0,5
27.0,4,2.0,2
28.0,6,3.0,3
29.0,10,6.0,4
30.0,4,2.0,2
31.0,8,3.0,5
32.0,9,7.0,2
33.0,9,4.0,5
34.0,7,3.0,4
35.0,10,7.0,3
36.0,9,5.0,4
37.0,9,4.0,5
38.0,17,11.0,6
39.0,9,7.0,2
40.0,24,16.0,8
41.0,18,11.0,7
42.0,20,16.0,4
43.0,19,12.0,7
44.0,28,21.0,7
45.0,21,14.0,7
46.0,29,22.0,7
47.0,34,25.0,9
48.0,44,34.0,10
49.0,52,37.0,15
50.0,51,38.0,13
51.0,48,35.0,13
52.0,59,42.0,17
53.0,52,36.0,16
54.0,58,43.0,15
55.0,83,56.0,27
56.0,98,72.0,26
57.0,91,63.0,28
58.0,86,64.0,22
59.0,89,66.0,23
60.0,113,71.0,42
61.0,98,74.0,24
62.0,113,72.0,41
63.0,112,69.0,43
64.0,153,100.0,53
65.0,143,84.0,59
66.0,138,92.0,46
67.0,132,90.0,42
68.0,159,112.0,47
69.0,178,112.0,66
70.0,163,97.0,66
71.0,193,116.0,77
72.0,188,121.0,67
73.0,202,137.0,65
74.0,207,129.0,78
75.0,150,96.0,54
76.0,172,133.0,39
77.0,140,93.0,47
78.0,146,85.0,61
79.0,141,94.0,47
80.0,118,66.0,52
81.0,129,79.0,50
82.0,121,76.0,45
83.0,100,53.0,47
84.0,76,40.0,36
85.0,77,43.0,34
86.0,74,47.0,27
87.0,70,28.0,42
88.0,52,23.0,29
89.0,37,20.0,17
90.0,19,9.0,10
91.0,23,8.0,15
92.0,14,7.0,7
93.0,13,5.0,8
94.0,9,2.0,7
95.0,8,2.0,6
96.0,2,0.0,2
97.0,4,1.0,3
98.0,1,,1
