date,all,male,female
0.0,1,0.0,1
1.0,0,0.0,0
2.0,1,1.0,0
3.0,1,0.0,1
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,1,0.0,1
8.0,0,0.0,0
9.0,0,0.0,0
10.0,1,1.0,0
11.0,0,0.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,1,0.0,1
15.0,0,0.0,0
16.0,1,1.0,0
17.0,1,1.0,0
18.0,0,0.0,0
19.0,0,0.0,0
20.0,0,0.0,0
21.0,1,1.0,0
22.0,1,1.0,0
23.0,2,0.0,2
24.0,0,0.0,0
25.0,3,2.0,1
26.0,0,0.0,0
27.0,0,0.0,0
28.0,0,0.0,0
29.0,3,1.0,2
30.0,0,0.0,0
31.0,0,0.0,0
32.0,3,3.0,0
33.0,2,1.0,1
34.0,2,2.0,0
35.0,2,2.0,0
36.0,6,4.0,2
37.0,3,3.0,0
38.0,3,1.0,2
39.0,6,3.0,3
40.0,7,5.0,2
41.0,9,7.0,2
42.0,5,4.0,1
43.0,12,8.0,4
44.0,7,5.0,2
45.0,13,10.0,3
46.0,8,4.0,4
47.0,15,11.0,4
48.0,12,11.0,1
49.0,13,11.0,2
50.0,17,12.0,5
51.0,28,18.0,10
52.0,26,20.0,6
53.0,23,15.0,8
54.0,32,25.0,7
55.0,33,26.0,7
56.0,41,30.0,11
57.0,42,32.0,10
58.0,34,28.0,6
59.0,45,33.0,12
60.0,36,25.0,11
61.0,46,28.0,18
62.0,56,36.0,20
63.0,41,27.0,14
64.0,59,46.0,13
65.0,57,43.0,14
66.0,74,52.0,22
67.0,81,65.0,16
68.0,50,42.0,8
69.0,68,46.0,22
70.0,59,40.0,19
71.0,79,55.0,24
72.0,87,66.0,21
73.0,96,64.0,32
74.0,90,66.0,24
75.0,87,55.0,32
76.0,67,51.0,16
77.0,77,50.0,27
78.0,67,48.0,19
79.0,89,56.0,33
80.0,57,36.0,21
81.0,56,35.0,21
82.0,59,33.0,26
83.0,57,39.0,18
84.0,45,33.0,12
85.0,33,21.0,12
86.0,38,22.0,16
87.0,22,16.0,6
88.0,22,12.0,10
89.0,15,10.0,5
90.0,16,10.0,6
91.0,15,7.0,8
92.0,6,0.0,6
93.0,9,5.0,4
94.0,3,1.0,2
95.0,3,3.0,0
96.0,5,1.0,4
97.0,4,2.0,2
98.0,1,,1
99.0,3,,3
