date,all,male,female
0.0,2,0.0,2
1.0,2,0.0,2
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,0,0.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,1,0.0,1
19.0,1,1.0,0
20.0,0,0.0,0
21.0,1,1.0,0
22.0,1,0.0,1
23.0,1,0.0,1
24.0,0,0.0,0
25.0,2,2.0,0
26.0,2,2.0,0
27.0,0,0.0,0
28.0,1,1.0,0
29.0,1,1.0,0
30.0,3,0.0,3
31.0,4,3.0,1
32.0,4,1.0,3
33.0,2,0.0,2
34.0,1,1.0,0
35.0,2,2.0,0
36.0,2,0.0,2
37.0,1,1.0,0
38.0,1,1.0,0
39.0,2,0.0,2
40.0,1,1.0,0
41.0,1,1.0,0
42.0,3,1.0,2
43.0,1,1.0,0
44.0,0,0.0,0
45.0,6,5.0,1
46.0,0,0.0,0
47.0,4,3.0,1
48.0,11,6.0,5
49.0,5,3.0,2
50.0,3,3.0,0
51.0,2,1.0,1
52.0,12,6.0,6
53.0,8,8.0,0
54.0,5,4.0,1
55.0,8,6.0,2
56.0,14,11.0,3
57.0,11,5.0,6
58.0,16,12.0,4
59.0,8,7.0,1
60.0,14,10.0,4
61.0,17,9.0,8
62.0,11,8.0,3
63.0,10,6.0,4
64.0,15,9.0,6
65.0,15,9.0,6
66.0,16,11.0,5
67.0,13,11.0,2
68.0,12,10.0,2
69.0,8,7.0,1
70.0,21,14.0,7
71.0,14,12.0,2
72.0,17,11.0,6
73.0,14,12.0,2
74.0,17,7.0,10
75.0,12,7.0,5
76.0,16,7.0,9
77.0,22,17.0,5
78.0,16,11.0,5
79.0,20,8.0,12
80.0,13,8.0,5
81.0,32,16.0,16
82.0,21,12.0,9
83.0,25,13.0,12
84.0,19,9.0,10
85.0,27,15.0,12
86.0,20,13.0,7
87.0,20,14.0,6
88.0,14,7.0,7
89.0,19,12.0,7
90.0,17,10.0,7
91.0,17,7.0,10
92.0,13,3.0,10
93.0,7,5.0,2
94.0,5,2.0,3
95.0,7,3.0,4
96.0,1,1.0,0
97.0,3,1.0,2
98.0,3,1.0,2
99.0,2,1.0,1
100.0,1,1.0,0
101.0,2,,2
