date,all,male,female
0.0,23,11.0,12
1.0,5,3.0,2
2.0,4,4.0,0
3.0,2,2.0,0
4.0,5,3.0,2
5.0,1,0.0,1
6.0,2,1.0,1
7.0,0,0.0,0
8.0,2,1.0,1
9.0,0,0.0,0
10.0,1,0.0,1
11.0,0,0.0,0
12.0,2,2.0,0
13.0,2,1.0,1
14.0,0,0.0,0
15.0,3,1.0,2
16.0,1,1.0,0
17.0,3,2.0,1
18.0,5,2.0,3
19.0,2,2.0,0
20.0,4,3.0,1
21.0,15,10.0,5
22.0,8,5.0,3
23.0,9,5.0,4
24.0,6,4.0,2
25.0,14,10.0,4
26.0,23,14.0,9
27.0,12,8.0,4
28.0,23,13.0,10
29.0,14,8.0,6
30.0,30,9.0,21
31.0,26,13.0,13
32.0,34,18.0,16
33.0,29,12.0,17
34.0,23,11.0,12
35.0,29,19.0,10
36.0,44,23.0,21
37.0,40,25.0,15
38.0,47,28.0,19
39.0,40,28.0,12
40.0,53,34.0,19
41.0,50,32.0,18
42.0,52,34.0,18
43.0,65,36.0,29
44.0,85,59.0,26
45.0,89,61.0,28
46.0,101,69.0,32
47.0,111,66.0,45
48.0,105,80.0,25
49.0,131,93.0,38
50.0,156,99.0,57
51.0,169,108.0,61
52.0,174,117.0,57
53.0,185,129.0,56
54.0,192,132.0,60
55.0,217,153.0,64
56.0,248,169.0,79
57.0,230,160.0,70
58.0,258,174.0,84
59.0,247,167.0,80
60.0,275,184.0,91
61.0,288,191.0,97
62.0,297,214.0,83
63.0,303,209.0,94
64.0,303,210.0,93
65.0,317,209.0,108
66.0,334,231.0,103
67.0,353,228.0,125
68.0,353,247.0,106
69.0,350,231.0,119
70.0,382,254.0,128
71.0,420,280.0,140
72.0,466,300.0,166
73.0,470,301.0,169
74.0,523,301.0,222
75.0,389,237.0,152
76.0,445,274.0,171
77.0,514,309.0,205
78.0,430,256.0,174
79.0,493,280.0,213
80.0,562,317.0,245
81.0,514,283.0,231
82.0,580,312.0,268
83.0,555,310.0,245
84.0,517,273.0,244
85.0,514,247.0,267
86.0,490,210.0,280
87.0,454,214.0,240
88.0,372,165.0,207
89.0,360,159.0,201
90.0,294,116.0,178
91.0,244,97.0,147
92.0,203,76.0,127
93.0,170,62.0,108
94.0,96,21.0,75
95.0,74,23.0,51
96.0,61,13.0,48
97.0,44,16.0,28
98.0,35,9.0,26
99.0,13,6.0,7
100.0,5,1.0,4
101.0,3,1.0,2
102.0,3,0.0,3
103.0,0,0.0,0
104.0,2,1.0,1
105.0,1,,1
