date,all,male,female
0.0,22,11.0,11
1.0,5,3.0,2
2.0,4,4.0,0
3.0,2,2.0,0
4.0,5,3.0,2
5.0,1,0.0,1
6.0,2,1.0,1
7.0,0,0.0,0
8.0,2,1.0,1
9.0,0,0.0,0
10.0,1,0.0,1
11.0,0,0.0,0
12.0,2,2.0,0
13.0,2,1.0,1
14.0,0,0.0,0
15.0,3,1.0,2
16.0,1,1.0,0
17.0,4,3.0,1
18.0,5,2.0,3
19.0,3,3.0,0
20.0,4,3.0,1
21.0,15,10.0,5
22.0,9,6.0,3
23.0,9,5.0,4
24.0,7,4.0,3
25.0,14,10.0,4
26.0,23,14.0,9
27.0,12,8.0,4
28.0,23,13.0,10
29.0,14,8.0,6
30.0,29,8.0,21
31.0,26,13.0,13
32.0,34,18.0,16
33.0,31,12.0,19
34.0,23,11.0,12
35.0,29,19.0,10
36.0,44,23.0,21
37.0,41,26.0,15
38.0,47,28.0,19
39.0,40,28.0,12
40.0,53,34.0,19
41.0,51,33.0,18
42.0,55,36.0,19
43.0,65,36.0,29
44.0,87,61.0,26
45.0,89,61.0,28
46.0,105,71.0,34
47.0,114,69.0,45
48.0,107,81.0,26
49.0,133,93.0,40
50.0,158,101.0,57
51.0,169,108.0,61
52.0,174,117.0,57
53.0,186,129.0,57
54.0,200,135.0,65
55.0,221,155.0,66
56.0,251,170.0,81
57.0,233,163.0,70
58.0,263,178.0,85
59.0,247,167.0,80
60.0,281,187.0,94
61.0,289,193.0,96
62.0,296,213.0,83
63.0,310,215.0,95
64.0,306,212.0,94
65.0,319,211.0,108
66.0,337,233.0,104
67.0,358,231.0,127
68.0,362,255.0,107
69.0,353,232.0,121
70.0,385,257.0,128
71.0,428,285.0,143
72.0,473,304.0,169
73.0,476,304.0,172
74.0,529,305.0,224
75.0,398,242.0,156
76.0,448,276.0,172
77.0,519,312.0,207
78.0,431,256.0,175
79.0,492,279.0,213
80.0,564,318.0,246
81.0,515,284.0,231
82.0,581,313.0,268
83.0,554,309.0,245
84.0,518,273.0,245
85.0,516,248.0,268
86.0,488,208.0,280
87.0,455,215.0,240
88.0,372,165.0,207
89.0,361,160.0,201
90.0,294,116.0,178
91.0,244,97.0,147
92.0,203,76.0,127
93.0,170,62.0,108
94.0,96,21.0,75
95.0,74,23.0,51
96.0,61,13.0,48
97.0,44,16.0,28
98.0,35,9.0,26
99.0,13,6.0,7
100.0,5,1.0,4
101.0,3,1.0,2
102.0,3,0.0,3
103.0,0,0.0,0
104.0,2,1.0,1
105.0,1,,1
