date,all,male,female
0.0,0,0.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,0,0.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,1,1.0,0
19.0,0,0.0,0
20.0,0,0.0,0
21.0,0,0.0,0
22.0,0,0.0,0
23.0,0,0.0,0
24.0,0,0.0,0
25.0,0,0.0,0
26.0,0,0.0,0
27.0,0,0.0,0
28.0,0,0.0,0
29.0,0,0.0,0
30.0,0,0.0,0
31.0,0,0.0,0
32.0,0,0.0,0
33.0,0,0.0,0
34.0,1,1.0,0
35.0,0,0.0,0
36.0,0,0.0,0
37.0,0,0.0,0
38.0,1,1.0,0
39.0,0,0.0,0
40.0,0,0.0,0
41.0,1,0.0,1
42.0,0,0.0,0
43.0,3,2.0,1
44.0,2,1.0,1
45.0,3,3.0,0
46.0,3,3.0,0
47.0,3,3.0,0
48.0,2,0.0,2
49.0,3,2.0,1
50.0,3,3.0,0
51.0,7,6.0,1
52.0,3,0.0,3
53.0,3,1.0,2
54.0,7,2.0,5
55.0,12,6.0,6
56.0,11,9.0,2
57.0,6,4.0,2
58.0,8,5.0,3
59.0,18,12.0,6
60.0,16,12.0,4
61.0,17,11.0,6
62.0,17,14.0,3
63.0,26,22.0,4
64.0,34,26.0,8
65.0,34,28.0,6
66.0,28,21.0,7
67.0,43,26.0,17
68.0,44,35.0,9
69.0,50,33.0,17
70.0,63,47.0,16
71.0,62,42.0,20
72.0,79,54.0,25
73.0,91,58.0,33
74.0,92,62.0,30
75.0,92,67.0,25
76.0,102,68.0,34
77.0,122,88.0,34
78.0,130,84.0,46
79.0,148,93.0,55
80.0,165,114.0,51
81.0,176,104.0,72
82.0,169,99.0,70
83.0,178,96.0,82
84.0,165,83.0,82
85.0,181,86.0,95
86.0,181,86.0,95
87.0,142,61.0,81
88.0,184,92.0,92
89.0,192,86.0,106
90.0,187,81.0,106
91.0,145,67.0,78
92.0,135,39.0,96
93.0,137,44.0,93
94.0,119,28.0,91
95.0,96,17.0,79
96.0,83,27.0,56
97.0,64,17.0,47
98.0,39,8.0,31
99.0,35,9.0,26
100.0,26,5.0,21
101.0,15,3.0,12
102.0,5,0.0,5
103.0,5,0.0,5
104.0,0,0.0,0
105.0,1,1.0,0
106.0,1,,1
107.0,0,,0
108.0,1,,1
