date,all,male,female
0.0,0,0.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,0,0.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,1,1.0,0
19.0,0,0.0,0
20.0,0,0.0,0
21.0,0,0.0,0
22.0,0,0.0,0
23.0,0,0.0,0
24.0,0,0.0,0
25.0,0,0.0,0
26.0,0,0.0,0
27.0,0,0.0,0
28.0,0,0.0,0
29.0,0,0.0,0
30.0,0,0.0,0
31.0,0,0.0,0
32.0,0,0.0,0
33.0,0,0.0,0
34.0,1,1.0,0
35.0,0,0.0,0
36.0,0,0.0,0
37.0,0,0.0,0
38.0,1,1.0,0
39.0,0,0.0,0
40.0,0,0.0,0
41.0,1,0.0,1
42.0,0,0.0,0
43.0,3,2.0,1
44.0,2,1.0,1
45.0,3,3.0,0
46.0,3,3.0,0
47.0,3,3.0,0
48.0,2,0.0,2
49.0,3,2.0,1
50.0,3,3.0,0
51.0,7,6.0,1
52.0,3,0.0,3
53.0,3,1.0,2
54.0,7,2.0,5
55.0,12,6.0,6
56.0,11,9.0,2
57.0,6,4.0,2
58.0,8,5.0,3
59.0,17,12.0,5
60.0,16,12.0,4
61.0,17,11.0,6
62.0,17,14.0,3
63.0,26,22.0,4
64.0,33,25.0,8
65.0,34,28.0,6
66.0,27,20.0,7
67.0,42,25.0,17
68.0,43,34.0,9
69.0,49,32.0,17
70.0,63,47.0,16
71.0,60,41.0,19
72.0,79,54.0,25
73.0,86,55.0,31
74.0,90,60.0,30
75.0,89,66.0,23
76.0,101,68.0,33
77.0,121,87.0,34
78.0,127,82.0,45
79.0,145,91.0,54
80.0,162,111.0,51
81.0,175,104.0,71
82.0,166,96.0,70
83.0,175,93.0,82
84.0,163,82.0,81
85.0,180,85.0,95
86.0,179,86.0,93
87.0,141,61.0,80
88.0,179,89.0,90
89.0,190,85.0,105
90.0,185,80.0,105
91.0,141,65.0,76
92.0,134,39.0,95
93.0,135,44.0,91
94.0,116,28.0,88
95.0,94,17.0,77
96.0,81,27.0,54
97.0,63,17.0,46
98.0,39,8.0,31
99.0,33,8.0,25
100.0,25,5.0,20
101.0,15,3.0,12
102.0,5,0.0,5
103.0,5,0.0,5
104.0,0,0.0,0
105.0,1,1.0,0
106.0,1,,1
107.0,0,,0
108.0,1,,1
