date,all,male,female
0.0,0,0.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,1,1.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,1,1.0,0
19.0,0,0.0,0
20.0,1,1.0,0
21.0,1,0.0,1
22.0,1,1.0,0
23.0,3,3.0,0
24.0,1,1.0,0
25.0,0,0.0,0
26.0,1,1.0,0
27.0,2,1.0,1
28.0,0,0.0,0
29.0,0,0.0,0
30.0,0,0.0,0
31.0,1,1.0,0
32.0,2,2.0,0
33.0,3,3.0,0
34.0,0,0.0,0
35.0,3,3.0,0
36.0,3,2.0,1
37.0,4,1.0,3
38.0,3,1.0,2
39.0,8,2.0,6
40.0,3,2.0,1
41.0,5,4.0,1
42.0,9,8.0,1
43.0,6,5.0,1
44.0,7,5.0,2
45.0,11,7.0,4
46.0,7,5.0,2
47.0,12,7.0,5
48.0,5,5.0,0
49.0,14,9.0,5
50.0,15,11.0,4
51.0,15,10.0,5
52.0,16,13.0,3
53.0,16,10.0,6
54.0,21,16.0,5
55.0,16,10.0,6
56.0,19,14.0,5
57.0,19,15.0,4
58.0,23,19.0,4
59.0,31,27.0,4
60.0,34,26.0,8
61.0,30,24.0,6
62.0,29,25.0,4
63.0,41,31.0,10
64.0,23,21.0,2
65.0,33,23.0,10
66.0,36,29.0,7
67.0,45,34.0,11
68.0,25,17.0,8
69.0,39,32.0,7
70.0,55,39.0,16
71.0,39,32.0,7
72.0,44,36.0,8
73.0,44,37.0,7
74.0,50,36.0,14
75.0,30,20.0,10
76.0,38,27.0,11
77.0,33,17.0,16
78.0,26,15.0,11
79.0,49,38.0,11
80.0,22,14.0,8
81.0,25,14.0,11
82.0,17,12.0,5
83.0,16,12.0,4
84.0,4,4.0,0
85.0,4,3.0,1
86.0,7,4.0,3
87.0,4,0.0,4
88.0,3,2.0,1
89.0,2,1.0,1
90.0,2,0.0,2
91.0,3,2.0,1
92.0,1,0.0,1
93.0,2,2.0,0
94.0,0,,0
95.0,1,,1
