date,all,male,female
0.0,0,0.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,1,0.0,1
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,0,0.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,0,0.0,0
19.0,0,0.0,0
20.0,0,0.0,0
21.0,0,0.0,0
22.0,0,0.0,0
23.0,0,0.0,0
24.0,0,0.0,0
25.0,0,0.0,0
26.0,0,0.0,0
27.0,0,0.0,0
28.0,1,1.0,0
29.0,0,0.0,0
30.0,0,0.0,0
31.0,0,0.0,0
32.0,0,0.0,0
33.0,0,0.0,0
34.0,0,0.0,0
35.0,0,0.0,0
36.0,0,0.0,0
37.0,2,1.0,1
38.0,0,0.0,0
39.0,1,1.0,0
40.0,1,1.0,0
41.0,0,0.0,0
42.0,1,1.0,0
43.0,1,1.0,0
44.0,1,1.0,0
45.0,2,0.0,2
46.0,4,4.0,0
47.0,0,0.0,0
48.0,3,1.0,2
49.0,3,1.0,2
50.0,4,2.0,2
51.0,2,2.0,0
52.0,4,4.0,0
53.0,1,1.0,0
54.0,6,5.0,1
55.0,2,2.0,0
56.0,5,4.0,1
57.0,8,6.0,2
58.0,7,4.0,3
59.0,8,7.0,1
60.0,6,4.0,2
61.0,11,7.0,4
62.0,8,7.0,1
63.0,19,16.0,3
64.0,15,10.0,5
65.0,13,8.0,5
66.0,22,14.0,8
67.0,18,14.0,4
68.0,15,11.0,4
69.0,27,21.0,6
70.0,34,24.0,10
71.0,36,26.0,10
72.0,48,40.0,8
73.0,46,30.0,16
74.0,67,41.0,26
75.0,47,35.0,12
76.0,52,35.0,17
77.0,59,38.0,21
78.0,87,52.0,35
79.0,91,66.0,25
80.0,96,59.0,37
81.0,110,63.0,47
82.0,126,68.0,58
83.0,114,75.0,39
84.0,101,56.0,45
85.0,118,67.0,51
86.0,121,62.0,59
87.0,122,61.0,61
88.0,131,75.0,56
89.0,128,68.0,60
90.0,121,57.0,64
91.0,120,51.0,69
92.0,117,48.0,69
93.0,84,34.0,50
94.0,61,16.0,45
95.0,73,24.0,49
96.0,58,11.0,47
97.0,50,16.0,34
98.0,29,6.0,23
99.0,21,4.0,17
100.0,11,1.0,10
101.0,4,1.0,3
102.0,1,,1
103.0,0,,0
104.0,1,,1
105.0,1,,1
