date,healthcare_workers,others
2020-02-21,5.0,31
2020-02-22,4.0,53
2020-02-23,8.0,67
2020-02-24,11.0,72
2020-02-25,45.0,143
2020-02-26,50.0,223
2020-02-27,48.0,236
2020-02-28,40.0,298
2020-02-29,34.0,331
2020-03-01,50.0,339
2020-03-02,77.0,518
2020-03-03,84.0,663
2020-03-04,122.0,837
2020-03-05,133.0,1065
2020-03-06,198.0,1158
2020-03-07,157.0,1130
2020-03-08,139.0,1078
2020-03-09,370.0,1609
2020-03-10,341.0,1797
2020-03-11,436.0,1893
2020-03-12,487.0,2082
2020-03-13,585.0,2802
2020-03-14,419.0,2306
2020-03-15,335.0,1989
2020-03-16,716.0,3247
2020-03-17,671.0,3611
2020-03-18,786.0,3694
2020-03-19,707.0,3872
2020-03-20,842.0,4244
2020-03-21,482.0,3102
2020-03-22,350.0,2519
2020-03-23,905.0,3973
2020-03-24,857.0,3955
2020-03-25,813.0,3650
2020-03-26,814.0,3661
2020-03-27,855.0,3526
2020-03-28,547.0,2749
2020-03-29,304.0,1931
2020-03-30,713.0,3285
2020-03-31,830.0,3337
2020-04-01,775.0,3264
2020-04-02,690.0,3081
2020-04-03,681.0,2843
2020-04-04,428.0,2301
2020-04-05,246.0,1541
2020-04-06,574.0,2658
2020-04-07,604.0,2666
2020-04-08,649.0,3522
2020-04-09,619.0,3591
2020-04-10,572.0,3280
2020-04-11,386.0,2037
2020-04-12,157.0,1101
2020-04-13,203.0,1395
2020-04-14,431.0,2190
2020-04-15,404.0,2512
2020-04-16,460.0,2271
2020-04-17,488.0,2589
2020-04-18,316.0,2141
2020-04-19,130.0,1147
2020-04-20,399.0,2354
2020-04-21,461.0,2393
2020-04-22,385.0,1969
2020-04-23,367.0,2244
2020-04-24,352.0,2149
2020-04-25,195.0,1339
2020-04-26,141.0,761
2020-04-27,222.0,1587
2020-04-28,293.0,1795
2020-04-29,312.0,1862
2020-04-30,331.0,1774
2020-05-01,141.0,839
2020-05-02,138.0,787
2020-05-03,57.0,389
2020-05-04,185.0,1149
2020-05-05,178.0,1208
2020-05-06,159.0,1197
2020-05-07,164.0,1113
2020-05-08,162.0,1082
2020-05-09,91.0,586
2020-05-10,44.0,251
2020-05-11,115.0,706
2020-05-12,118.0,738
2020-05-13,116.0,712
2020-05-14,132.0,700
2020-05-15,111.0,581
2020-05-16,60.0,498
2020-05-17,38.0,222
2020-05-18,94.0,533
2020-05-19,84.0,595
2020-05-20,87.0,552
2020-05-21,71.0,514
2020-05-22,62.0,600
2020-05-23,36.0,287
2020-05-24,11.0,128
2020-05-25,55.0,431
2020-05-26,37.0,478
2020-05-27,45.0,468
2020-05-28,32.0,458
2020-05-29,32.0,344
2020-05-30,11.0,256
2020-05-31,8.0,73
2020-06-01,26.0,341
2020-06-02,4.0,73
2020-06-03,19.0,325
2020-06-04,21.0,322
2020-06-05,20.0,336
2020-06-06,13.0,172
2020-06-07,5.0,68
2020-06-08,32.0,240
2020-06-09,14.0,324
2020-06-10,25.0,338
2020-06-11,20.0,398
2020-06-12,12.0,338
2020-06-13,6.0,185
2020-06-14,2.0,57
2020-06-15,14.0,252
2020-06-16,17.0,256
2020-06-17,23.0,273
2020-06-18,15.0,203
2020-06-19,15.0,266
2020-06-20,6.0,148
2020-06-21,0.0,39
2020-06-22,8.0,285
2020-06-23,17.0,235
2020-06-24,10.0,182
2020-06-25,11.0,179
2020-06-26,9.0,166
2020-06-27,4.0,117
2020-06-28,0.0,54
2020-06-29,6.0,211
2020-06-30,11.0,173
2020-07-01,7.0,220
2020-07-02,8.0,225
2020-07-03,12.0,207
2020-07-04,1.0,197
2020-07-05,3.0,68
2020-07-06,7.0,221
2020-07-07,8.0,209
2020-07-08,0.0,272
2020-07-09,9.0,200
2020-07-10,4.0,226
2020-07-11,4.0,140
2020-07-12,1.0,55
2020-07-13,9.0,171
2020-07-14,8.0,221
2020-07-15,6.0,214
2020-07-16,8.0,237
2020-07-17,8.0,259
2020-07-18,3.0,154
2020-07-19,0.0,100
2020-07-20,9.0,263
2020-07-21,12.0,234
2020-07-22,10.0,239
2020-07-23,11.0,244
2020-07-24,9.0,268
2020-07-25,5.0,161
2020-07-26,4.0,82
2020-07-27,16.0,278
2020-07-28,7.0,275
2020-07-29,13.0,414
2020-07-30,9.0,344
2020-07-31,14.0,279
2020-08-01,8.0,170
2020-08-02,3.0,97
2020-08-03,15.0,381
2020-08-04,10.0,365
2020-08-05,11.0,467
2020-08-06,9.0,350
2020-08-07,12.0,438
2020-08-08,8.0,285
2020-08-09,4.0,140
2020-08-10,15.0,413
2020-08-11,19.0,472
2020-08-12,17.0,535
2020-08-13,17.0,473
2020-08-14,9.0,509
2020-08-15,7.0,246
2020-08-16,6.0,216
2020-08-17,17.0,594
2020-08-18,19.0,746
2020-08-19,18.0,869
2020-08-20,37.0,911
2020-08-21,29.0,1117
2020-08-22,12.0,801
2020-08-23,16.0,464
2020-08-24,41.0,1306
2020-08-25,27.0,1277
2020-08-26,32.0,1141
2020-08-27,29.0,1218
2020-08-28,26.0,1169
2020-08-29,25.0,818
2020-08-30,13.0,431
2020-08-31,30.0,1103
2020-09-01,44.0,1098
2020-09-02,30.0,1190
2020-09-03,51.0,1193
2020-09-04,53.0,1204
2020-09-05,25.0,865
2020-09-06,13.0,408
2020-09-07,45.0,1174
2020-09-08,51.0,1213
2020-09-09,42.0,1265
2020-09-10,34.0,1298
2020-09-11,56.0,1267
2020-09-12,32.0,957
2020-09-13,12.0,424
2020-09-14,50.0,1196
2020-09-15,57.0,1347
2020-09-16,53.0,1144
2020-09-17,60.0,1320
2020-09-18,45.0,1415
2020-09-19,51.0,964
2020-09-20,9.0,460
2020-09-21,57.0,1367
2020-09-22,54.0,1395
2020-09-23,61.0,1437
2020-09-24,70.0,1437
2020-09-25,60.0,1467
2020-09-26,49.0,1035
2020-09-27,34.0,588
2020-09-28,75.0,1579
2020-09-29,75.0,1633
2020-09-30,93.0,1816
2020-10-01,115.0,2145
2020-10-02,124.0,2284
2020-10-03,87.0,1806
2020-10-04,67.0,1050
2020-10-05,188.0,2948
2020-10-06,243.0,3436
2020-10-07,176.0,3838
2020-10-08,206.0,4529
2020-10-09,252.0,4888
2020-10-10,180.0,4102
2020-10-11,123.0,2093
2020-10-12,449.0,6441
2020-10-13,414.0,7015
2020-10-14,470.0,7529
2020-10-15,518.0,8188
2020-10-16,573.0,9330
2020-10-17,364.0,7942
2020-10-18,245.0,3756
2020-10-19,812.0,11803
2020-10-20,861.0,13060
2020-10-21,844.0,15102
2020-10-22,1008.0,16254
2020-10-23,1064.0,17449
2020-10-24,728.0,13195
2020-10-25,401.0,6801
2020-10-26,1378.0,18894
2020-10-27,1289.0,21612
2020-10-28,1311.0,22066
2020-10-29,1261.0,21048
2020-10-30,1340.0,22692
2020-10-31,777.0,16356
2020-11-01,425.0,7784
2020-11-02,1487.0,22953
2020-11-03,1492.0,25543
2020-11-04,1419.0,26667
2020-11-05,1524.0,26446
2020-11-06,1513.0,27430
2020-11-07,885.0,19572
2020-11-08,469.0,8787
2020-11-09,1639.0,25332
2020-11-10,1380.0,27175
2020-11-11,1435.0,26456
2020-11-12,1273.0,26088
2020-11-13,1466.0,26664
2020-11-14,854.0,18328
2020-11-15,472.0,8133
2020-11-16,1459.0,24342
2020-11-17,1365.0,25854
2020-11-18,1280.0,23903
2020-11-19,1200.0,23340
2020-11-20,1109.0,22313
2020-11-21,733.0,14858
2020-11-22,310.0,6138
2020-11-23,1154.0,18746
2020-11-24,1156.0,19153
2020-11-25,1085.0,18264
2020-11-26,1083.0,17775
2020-11-27,1008.0,16293
2020-11-28,610.0,12227
2020-11-29,310.0,4832
2020-11-30,1067.0,15022
2020-12-01,1108.0,15536
2020-12-02,1029.0,14285
2020-12-03,1045.0,13391
2020-12-04,1011.0,13816
2020-12-05,630.0,10331
2020-12-06,259.0,3840
2020-12-07,1173.0,13035
2020-12-08,309.0,4885
2020-12-09,1185.0,13903
2020-12-10,1020.0,14229
2020-12-11,974.0,13434
2020-12-12,538.0,9882
2020-12-13,240.0,3691
2020-12-14,991.0,12158
2020-12-15,928.0,12903
2020-12-16,828.0,11545
2020-12-17,758.0,11096
2020-12-18,807.0,11736
2020-12-19,522.0,9058
2020-12-20,266.0,4002
2020-12-21,1051.0,11659
2020-12-22,961.0,13135
2020-12-23,855.0,13197
2020-12-24,699.0,11091
2020-12-25,164.0,2983
2020-12-26,317.0,5211
2020-12-27,335.0,4825
2020-12-28,1007.0,12456
2020-12-29,993.0,16273
2020-12-30,817.0,15840
2020-12-31,725.0,12878
2021-01-01,168.0,3671
2021-01-02,582.0,10311
2021-01-03,317.0,4826
2021-01-04,1059.0,14831
2021-01-05,877.0,16658
2021-01-06,257.0,5363
2021-01-07,782.0,13647
2021-01-08,727.0,13522
2021-01-09,470.0,9878
2021-01-10,235.0,3648
2021-01-11,774.0,10219
2021-01-12,613.0,10243
2021-01-13,585.0,9280
2021-01-14,509.0,8594
2021-01-15,503.0,8476
2021-01-16,339.0,6600
2021-01-17,144.0,2549
2021-01-18,626.0,8487
2021-01-19,543.0,8589
2021-01-20,487.0,8050
2021-01-21,467.0,7366
2021-01-22,438.0,7909
2021-01-23,262.0,6118
2021-01-24,133.0,2635
2021-01-25,515.0,8511
2021-01-26,425.0,8586
2021-01-27,329.0,7928
2021-01-28,290.0,7193
2021-01-29,317.0,7473
2021-01-30,166.0,5936
2021-01-31,72.0,2397
2021-02-01,362.0,7669
2021-02-02,237.0,8063
2021-02-03,256.0,7364
2021-02-04,282.0,7633
2021-02-05,231.0,7799
2021-02-06,147.0,6094
2021-02-07,72.0,2481
2021-02-08,253.0,7706
2021-02-09,195.0,8711
2021-02-10,185.0,8285
2021-02-11,187.0,7936
2021-02-12,172.0,8080
2021-02-13,82.0,6207
2021-02-14,50.0,2375
2021-02-15,142.0,8184
2021-02-16,154.0,9314
2021-02-17,114.0,9018
2021-02-18,145.0,9522
2021-02-19,169.0,10041
2021-02-20,83.0,8307
2021-02-21,52.0,3195
2021-02-22,192.0,11701
2021-02-23,224.0,13173
2021-02-24,153.0,13213
2021-02-25,189.0,13230
2021-02-26,183.0,14012
2021-02-27,128.0,10588
2021-02-28,37.0,4007
2021-03-01,226.0,14840
2021-03-02,188.0,16246
2021-03-03,190.0,16476
2021-03-04,174.0,16009
2021-03-05,157.0,17140
2021-03-06,106.0,12311
2021-03-07,51.0,4647
2021-03-08,212.0,16624
2021-03-09,213.0,18086
2021-03-10,208.0,18151
2021-03-11,221.0,18210
2021-03-12,188.0,17734
2021-03-13,133.0,12786
2021-03-14,61.0,5124
2021-03-15,237.0,16787
2021-03-16,211.0,17923
2021-03-17,208.0,16721
2021-03-18,201.0,16130
2021-03-19,187.0,15910
2021-03-20,117.0,11465
2021-03-21,43.0,4738
2021-03-22,206.0,15589
2021-03-23,190.0,16360
2021-03-24,208.0,15931
2021-03-25,191.0,15165
2021-03-26,236.0,15313
2021-03-27,146.0,10947
2021-03-28,76.0,4495
2021-03-29,215.0,14162
2021-03-30,199.0,14690
2021-03-31,190.0,13498
2021-04-01,217.0,13478
2021-04-02,153.0,12292
2021-04-03,128.0,9016
2021-04-04,33.0,2793
2021-04-05,51.0,3979
2021-04-06,172.0,10666
2021-04-07,176.0,11060
2021-04-08,154.0,10222
2021-04-09,147.0,9736
2021-04-10,92.0,7549
2021-04-11,34.0,2965
2021-04-12,156.0,9060
2021-04-13,116.0,9703
2021-04-14,152.0,8905
2021-04-15,123.0,8226
2021-04-16,122.0,8482
2021-04-17,81.0,6022
2021-04-18,36.0,2596
2021-04-19,133.0,8250
2021-04-20,128.0,8855
2021-04-21,96.0,8223
2021-04-22,141.0,8097
2021-04-23,103.0,7908
2021-04-24,86.0,6583
2021-04-25,42.0,2269
2021-04-26,123.0,7904
2021-04-27,109.0,8252
2021-04-28,122.0,7712
2021-04-29,94.0,6905
2021-04-30,80.0,7094
2021-05-01,30.0,3004
2021-05-02,25.0,2082
2021-05-03,97.0,6366
2021-05-04,82.0,6695
2021-05-05,91.0,6182
2021-05-06,84.0,5350
2021-05-07,74.0,5178
2021-05-08,52.0,4031
2021-05-09,34.0,1569
2021-05-10,60.0,4613
2021-05-11,67.0,4805
2021-05-12,57.0,4295
2021-05-13,57.0,3797
2021-05-14,37.0,3581
2021-05-15,27.0,2817
2021-05-16,10.0,1003
2021-05-17,35.0,3178
2021-05-18,41.0,3472
2021-05-19,32.0,3004
2021-05-20,33.0,2558
2021-05-21,32.0,2507
2021-05-22,20.0,2000
2021-05-23,12.0,638
2021-05-24,47.0,2195
2021-05-25,20.0,2279
2021-05-26,32.0,2101
2021-05-27,16.0,1796
2021-05-28,20.0,1813
2021-05-29,12.0,1513
2021-05-30,10.0,495
2021-05-31,29.0,1681
2021-06-01,25.0,1757
2021-06-02,2.0,616
2021-06-03,25.0,1612
2021-06-04,20.0,1562
2021-06-05,9.0,1084
