date,healthcare_workers,others
2020-02-21,1.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,1.0
2020-02-24,0.0,1.0
2020-02-25,0.0,1.0
2020-02-26,0.0,1.0
2020-02-27,0.0,3.0
2020-02-28,1.0,6.0
2020-02-29,2.0,3.0
2020-03-01,2.0,12.0
2020-03-02,4.0,15.0
2020-03-03,3.0,21.0
2020-03-04,3.0,14.0
2020-03-05,5.0,15.0
2020-03-06,11.0,23.0
2020-03-07,4.0,28.0
2020-03-08,11.0,34.0
2020-03-09,9.0,30.0
2020-03-10,16.0,58.0
2020-03-11,20.0,30.0
2020-03-12,10.0,32.0
2020-03-13,22.0,62.0
2020-03-14,12.0,29.0
2020-03-15,16.0,51.0
2020-03-16,17.0,61.0
2020-03-17,11.0,51.0
2020-03-18,12.0,55.0
2020-03-19,20.0,42.0
2020-03-20,12.0,62.0
2020-03-21,13.0,38.0
2020-03-22,14.0,21.0
2020-03-23,16.0,34.0
2020-03-24,9.0,19.0
2020-03-25,13.0,31.0
2020-03-26,12.0,31.0
2020-03-27,18.0,36.0
2020-03-28,11.0,13.0
2020-03-29,9.0,14.0
2020-03-30,12.0,26.0
2020-03-31,8.0,14.0
2020-04-01,15.0,37.0
2020-04-02,10.0,69.0
2020-04-03,11.0,15.0
2020-04-04,5.0,17.0
2020-04-05,9.0,12.0
2020-04-06,10.0,22.0
2020-04-07,3.0,22.0
2020-04-08,3.0,19.0
2020-04-09,5.0,15.0
2020-04-10,6.0,29.0
2020-04-11,4.0,14.0
2020-04-12,8.0,19.0
2020-04-13,7.0,24.0
2020-04-14,11.0,20.0
2020-04-15,11.0,21.0
2020-04-16,6.0,4.0
2020-04-17,3.0,10.0
2020-04-18,4.0,16.0
2020-04-19,0.0,7.0
2020-04-20,2.0,8.0
2020-04-21,1.0,3.0
2020-04-22,1.0,12.0
2020-04-23,5.0,5.0
2020-04-24,4.0,12.0
2020-04-25,4.0,5.0
2020-04-26,0.0,2.0
2020-04-27,3.0,2.0
2020-04-28,4.0,5.0
2020-04-29,2.0,10.0
2020-04-30,7.0,2.0
2020-05-01,2.0,4.0
2020-05-02,3.0,4.0
2020-05-03,1.0,2.0
2020-05-04,3.0,1.0
2020-05-05,1.0,4.0
2020-05-06,1.0,4.0
2020-05-07,3.0,8.0
2020-05-08,1.0,9.0
2020-05-09,1.0,1.0
2020-05-10,0.0,1.0
2020-05-11,2.0,6.0
2020-05-12,2.0,1.0
2020-05-13,1.0,0.0
2020-05-14,0.0,1.0
2020-05-15,4.0,1.0
2020-05-16,0.0,2.0
2020-05-17,0.0,2.0
2020-05-18,0.0,2.0
2020-05-19,0.0,0.0
2020-05-20,2.0,3.0
2020-05-21,1.0,3.0
2020-05-22,0.0,2.0
2020-05-23,0.0,0.0
2020-05-24,0.0,0.0
2020-05-25,0.0,1.0
2020-05-26,0.0,2.0
2020-05-27,1.0,2.0
2020-05-28,0.0,0.0
2020-05-29,0.0,0.0
2020-05-30,0.0,0.0
2020-05-31,0.0,1.0
2020-06-01,0.0,0.0
2020-06-02,0.0,0.0
2020-06-03,0.0,0.0
2020-06-04,0.0,0.0
2020-06-05,1.0,0.0
2020-06-06,0.0,1.0
2020-06-07,0.0,2.0
2020-06-08,0.0,0.0
2020-06-09,0.0,0.0
2020-06-10,0.0,2.0
2020-06-11,0.0,1.0
2020-06-12,0.0,0.0
2020-06-13,0.0,0.0
2020-06-14,0.0,0.0
2020-06-15,0.0,0.0
2020-06-16,0.0,0.0
2020-06-17,0.0,0.0
2020-06-18,0.0,3.0
2020-06-19,0.0,0.0
2020-06-20,0.0,0.0
2020-06-21,0.0,1.0
2020-06-22,0.0,1.0
2020-06-23,0.0,0.0
2020-06-24,0.0,1.0
2020-06-25,0.0,1.0
2020-06-26,0.0,0.0
2020-06-27,0.0,0.0
2020-06-28,0.0,0.0
2020-06-29,0.0,2.0
2020-06-30,0.0,2.0
2020-07-01,0.0,0.0
2020-07-02,0.0,1.0
2020-07-03,0.0,1.0
2020-07-04,0.0,1.0
2020-07-05,0.0,2.0
2020-07-06,0.0,2.0
2020-07-07,0.0,1.0
2020-07-08,0.0,0.0
2020-07-09,0.0,1.0
2020-07-10,0.0,0.0
2020-07-11,0.0,2.0
2020-07-12,0.0,0.0
2020-07-13,0.0,1.0
2020-07-14,0.0,4.0
2020-07-15,0.0,0.0
2020-07-16,0.0,1.0
2020-07-17,0.0,2.0
2020-07-18,0.0,0.0
2020-07-19,0.0,0.0
2020-07-20,0.0,3.0
2020-07-21,0.0,1.0
2020-07-22,0.0,1.0
2020-07-23,1.0,3.0
2020-07-24,0.0,1.0
2020-07-25,0.0,5.0
2020-07-26,0.0,4.0
2020-07-27,0.0,0.0
2020-07-28,0.0,1.0
2020-07-29,0.0,3.0
2020-07-30,0.0,1.0
2020-07-31,1.0,3.0
2020-08-01,0.0,2.0
2020-08-02,0.0,2.0
2020-08-03,0.0,1.0
2020-08-04,1.0,4.0
2020-08-05,0.0,2.0
2020-08-06,0.0,4.0
2020-08-07,0.0,1.0
2020-08-08,0.0,4.0
2020-08-09,0.0,1.0
2020-08-10,0.0,4.0
2020-08-11,0.0,6.0
2020-08-12,1.0,3.0
2020-08-13,1.0,6.0
2020-08-14,0.0,5.0
2020-08-15,0.0,4.0
2020-08-16,0.0,5.0
2020-08-17,0.0,6.0
2020-08-18,0.0,6.0
2020-08-19,2.0,9.0
2020-08-20,1.0,9.0
2020-08-21,1.0,11.0
2020-08-22,0.0,3.0
2020-08-23,1.0,4.0
2020-08-24,0.0,7.0
2020-08-25,0.0,3.0
2020-08-26,0.0,13.0
2020-08-27,0.0,6.0
2020-08-28,0.0,6.0
2020-08-29,1.0,6.0
2020-08-30,0.0,8.0
2020-08-31,0.0,5.0
2020-09-01,0.0,18.0
2020-09-02,2.0,24.0
2020-09-03,0.0,16.0
2020-09-04,1.0,18.0
2020-09-05,1.0,7.0
2020-09-06,0.0,11.0
2020-09-07,0.0,15.0
2020-09-08,0.0,11.0
2020-09-09,0.0,9.0
2020-09-10,0.0,16.0
2020-09-11,1.0,13.0
2020-09-12,1.0,14.0
2020-09-13,1.0,14.0
2020-09-14,1.0,13.0
2020-09-15,1.0,14.0
2020-09-16,2.0,11.0
2020-09-17,1.0,13.0
2020-09-18,0.0,12.0
2020-09-19,1.0,11.0
2020-09-20,1.0,18.0
2020-09-21,0.0,26.0
2020-09-22,1.0,17.0
2020-09-23,0.0,11.0
2020-09-24,2.0,11.0
2020-09-25,1.0,15.0
