date,healthcare_workers,others
2020-03-02,1.0,3
2020-03-03,0.0,0
2020-03-04,3.0,1
2020-03-05,0.0,2
2020-03-06,1.0,1
2020-03-07,1.0,4
2020-03-08,2.0,1
2020-03-09,3.0,5
2020-03-10,3.0,3
2020-03-11,12.0,8
2020-03-12,2.0,11
2020-03-13,3.0,10
2020-03-14,2.0,3
2020-03-15,1.0,5
2020-03-16,1.0,4
2020-03-17,1.0,6
2020-03-18,0.0,2
2020-03-19,0.0,2
2020-03-20,0.0,3
2020-03-21,0.0,1
2020-03-22,0.0,3
2020-03-23,0.0,2
2020-03-24,2.0,0
2020-03-25,1.0,6
2020-03-26,3.0,8
2020-03-27,2.0,6
2020-03-28,2.0,4
2020-03-29,0.0,2
2020-03-30,2.0,4
2020-03-31,1.0,1
2020-04-01,0.0,4
2020-04-02,2.0,3
2020-04-03,3.0,2
2020-04-04,3.0,2
2020-04-05,0.0,0
2020-04-06,2.0,2
2020-04-07,1.0,3
2020-04-08,1.0,3
2020-04-09,1.0,6
2020-04-10,0.0,6
2020-04-11,0.0,3
2020-04-12,0.0,1
2020-04-13,0.0,6
2020-04-14,0.0,3
2020-04-15,0.0,0
2020-04-16,1.0,1
2020-04-17,0.0,1
2020-04-18,0.0,0
2020-04-19,1.0,0
2020-04-20,0.0,0
2020-04-21,2.0,1
2020-04-22,1.0,2
2020-04-23,1.0,2
2020-04-24,1.0,1
2020-04-25,0.0,0
2020-04-26,0.0,2
2020-04-27,0.0,0
2020-04-28,1.0,0
2020-04-29,1.0,0
2020-04-30,0.0,1
2020-05-01,0.0,1
2020-05-02,0.0,0
2020-05-03,0.0,2
2020-05-04,0.0,0
2020-05-05,0.0,2
2020-05-06,0.0,1
2020-05-07,0.0,0
2020-05-08,0.0,0
2020-05-09,0.0,1
2020-05-10,1.0,0
2020-05-11,0.0,1
2020-05-12,0.0,3
2020-05-13,0.0,2
2020-05-14,0.0,0
2020-05-15,0.0,0
2020-05-16,0.0,2
2020-05-17,1.0,1
2020-05-18,0.0,0
2020-05-19,0.0,0
2020-05-20,0.0,2
2020-05-21,0.0,1
2020-05-22,0.0,0
2020-05-23,0.0,0
2020-05-24,0.0,0
2020-05-25,0.0,0
2020-05-26,0.0,1
2020-05-27,1.0,1
2020-05-28,0.0,0
2020-05-29,0.0,0
2020-05-30,0.0,1
2020-05-31,0.0,0
2020-06-01,0.0,0
2020-06-02,0.0,0
2020-06-03,0.0,1
2020-06-04,0.0,0
2020-06-05,1.0,0
2020-06-06,1.0,1
2020-06-07,0.0,0
2020-06-08,0.0,1
2020-06-09,0.0,1
2020-06-10,0.0,3
2020-06-11,0.0,2
2020-06-12,1.0,0
2020-06-13,0.0,1
2020-06-14,0.0,0
2020-06-15,0.0,2
2020-06-16,0.0,0
2020-06-17,0.0,2
2020-06-18,1.0,0
2020-06-19,0.0,1
2020-06-20,1.0,0
2020-06-21,0.0,0
2020-06-22,1.0,0
2020-06-23,0.0,0
2020-06-24,1.0,1
2020-06-25,0.0,6
2020-06-26,2.0,9
2020-06-27,0.0,13
2020-06-28,0.0,3
2020-06-29,2.0,6
2020-06-30,0.0,7
2020-07-01,0.0,11
2020-07-02,1.0,14
2020-07-03,4.0,14
2020-07-04,0.0,8
2020-07-05,0.0,16
2020-07-06,1.0,8
2020-07-07,1.0,10
2020-07-08,0.0,27
2020-07-09,0.0,15
2020-07-10,0.0,15
2020-07-11,2.0,20
2020-07-12,0.0,11
2020-07-13,2.0,19
2020-07-14,1.0,5
2020-07-15,0.0,9
2020-07-16,1.0,14
2020-07-17,0.0,19
2020-07-18,0.0,8
2020-07-19,0.0,9
2020-07-20,2.0,14
2020-07-21,2.0,19
2020-07-22,0.0,16
2020-07-23,0.0,15
2020-07-24,0.0,13
2020-07-25,0.0,11
2020-07-26,0.0,2
2020-07-27,1.0,9
2020-07-28,0.0,6
2020-07-29,0.0,8
2020-07-30,0.0,20
2020-07-31,3.0,11
2020-08-01,2.0,9
2020-08-02,0.0,8
2020-08-03,1.0,15
2020-08-04,2.0,10
2020-08-05,2.0,11
2020-08-06,0.0,13
2020-08-07,0.0,21
2020-08-08,1.0,26
2020-08-09,0.0,15
2020-08-10,1.0,16
2020-08-11,1.0,28
2020-08-12,2.0,25
2020-08-13,3.0,29
2020-08-14,0.0,27
2020-08-15,3.0,26
2020-08-16,1.0,23
2020-08-17,4.0,60
2020-08-18,7.0,74
2020-08-19,4.0,103
2020-08-20,8.0,103
2020-08-21,6.0,153
2020-08-22,6.0,119
2020-08-23,3.0,80
2020-08-24,10.0,145
2020-08-25,2.0,89
2020-08-26,4.0,100
2020-08-27,4.0,78
2020-08-28,3.0,80
2020-08-29,2.0,76
2020-08-30,0.0,37
2020-08-31,4.0,64
2020-09-01,4.0,52
2020-09-02,2.0,63
2020-09-03,8.0,87
2020-09-04,6.0,70
2020-09-05,6.0,71
2020-09-06,2.0,45
2020-09-07,3.0,55
2020-09-08,5.0,91
2020-09-09,7.0,77
2020-09-10,5.0,116
2020-09-11,5.0,107
2020-09-12,10.0,87
2020-09-13,2.0,42
2020-09-14,9.0,128
2020-09-15,8.0,136
2020-09-16,10.0,80
2020-09-17,4.0,124
2020-09-18,6.0,120
2020-09-19,5.0,96
2020-09-20,3.0,54
2020-09-21,9.0,182
2020-09-22,4.0,132
2020-09-23,8.0,159
2020-09-24,10.0,109
2020-09-25,6.0,134
2020-09-26,3.0,106
2020-09-27,2.0,44
2020-09-28,9.0,135
2020-09-29,8.0,106
2020-09-30,16.0,139
2020-10-01,5.0,145
2020-10-02,13.0,156
2020-10-03,15.0,165
2020-10-04,12.0,79
2020-10-05,24.0,235
2020-10-06,22.0,255
2020-10-07,13.0,279
2020-10-08,32.0,336
2020-10-09,27.0,301
2020-10-10,18.0,291
2020-10-11,19.0,172
2020-10-12,40.0,375
2020-10-13,44.0,454
2020-10-14,36.0,424
2020-10-15,47.0,523
2020-10-16,25.0,552
2020-10-17,36.0,563
2020-10-18,29.0,355
2020-10-19,56.0,651
2020-10-20,57.0,733
2020-10-21,59.0,682
2020-10-22,95.0,826
2020-10-23,81.0,825
2020-10-24,98.0,785
2020-10-25,57.0,514
2020-10-26,96.0,772
2020-10-27,98.0,798
2020-10-28,77.0,706
2020-10-29,88.0,686
2020-10-30,111.0,800
2020-10-31,53.0,575
2020-11-01,42.0,533
2020-11-02,92.0,625
2020-11-03,60.0,877
2020-11-04,83.0,847
2020-11-05,119.0,922
2020-11-06,70.0,729
2020-11-07,52.0,746
2020-11-08,24.0,435
2020-11-09,60.0,619
2020-11-10,55.0,624
2020-11-11,48.0,589
2020-11-12,40.0,558
2020-11-13,57.0,662
2020-11-14,37.0,554
2020-11-15,32.0,378
2020-11-16,63.0,763
2020-11-17,65.0,728
2020-11-18,96.0,897
2020-11-19,60.0,723
2020-11-20,55.0,813
2020-11-21,49.0,755
2020-11-22,24.0,430
2020-11-23,62.0,688
2020-11-24,45.0,678
2020-11-25,53.0,690
2020-11-26,49.0,744
2020-11-27,56.0,639
2020-11-28,42.0,679
2020-11-29,27.0,541
2020-11-30,55.0,648
2020-12-01,78.0,698
2020-12-02,66.0,524
2020-12-03,66.0,684
2020-12-04,70.0,738
2020-12-05,70.0,658
2020-12-06,21.0,206
2020-12-07,64.0,554
2020-12-08,32.0,296
2020-12-09,57.0,528
2020-12-10,49.0,653
2020-12-11,60.0,592
2020-12-12,55.0,667
2020-12-13,10.0,232
2020-12-14,60.0,655
2020-12-15,65.0,825
2020-12-16,54.0,522
2020-12-17,56.0,698
2020-12-18,53.0,593
2020-12-19,62.0,700
2020-12-20,35.0,501
2020-12-21,71.0,625
2020-12-22,67.0,767
2020-12-23,87.0,877
2020-12-24,82.0,858
2020-12-25,22.0,210
2020-12-26,30.0,529
2020-12-27,43.0,418
2020-12-28,55.0,643
2020-12-29,104.0,976
2020-12-30,61.0,961
2020-12-31,72.0,979
2021-01-01,23.0,340
2021-01-02,48.0,1019
2021-01-03,48.0,648
2021-01-04,73.0,900
2021-01-05,82.0,1370
2021-01-06,31.0,630
2021-01-07,60.0,777
2021-01-08,58.0,894
2021-01-09,60.0,909
2021-01-10,35.0,480
2021-01-11,36.0,636
2021-01-12,60.0,814
2021-01-13,41.0,729
2021-01-14,49.0,610
2021-01-15,42.0,480
2021-01-16,64.0,768
2021-01-17,25.0,262
2021-01-18,52.0,684
2021-01-19,53.0,814
2021-01-20,44.0,655
2021-01-21,48.0,570
2021-01-22,39.0,640
2021-01-23,31.0,474
2021-01-24,33.0,581
2021-01-25,37.0,617
2021-01-26,36.0,862
2021-01-27,32.0,708
2021-01-28,32.0,427
2021-01-29,21.0,527
2021-01-30,24.0,650
2021-01-31,14.0,378
2021-02-01,28.0,574
2021-02-02,19.0,681
2021-02-03,24.0,591
2021-02-04,21.0,790
2021-02-05,23.0,650
2021-02-06,17.0,574
2021-02-07,14.0,380
2021-02-08,21.0,498
2021-02-09,9.0,573
2021-02-10,15.0,523
2021-02-11,12.0,549
2021-02-12,17.0,615
2021-02-13,7.0,570
2021-02-14,6.0,282
2021-02-15,12.0,432
2021-02-16,11.0,603
2021-02-17,10.0,527
2021-02-18,14.0,527
2021-02-19,15.0,630
2021-02-20,8.0,484
2021-02-21,8.0,528
2021-02-22,14.0,617
2021-02-23,23.0,871
2021-02-24,28.0,797
2021-02-25,19.0,762
2021-02-26,18.0,879
2021-02-27,24.0,876
2021-02-28,3.0,421
2021-03-01,21.0,728
2021-03-02,21.0,1048
2021-03-03,18.0,989
2021-03-04,16.0,693
2021-03-05,18.0,745
2021-03-06,18.0,817
2021-03-07,8.0,427
2021-03-08,17.0,765
2021-03-09,22.0,836
2021-03-10,23.0,779
2021-03-11,23.0,1048
2021-03-12,16.0,981
2021-03-13,22.0,746
2021-03-14,6.0,382
2021-03-15,18.0,697
2021-03-16,22.0,1129
2021-03-17,20.0,645
2021-03-18,18.0,1104
2021-03-19,12.0,808
2021-03-20,14.0,581
2021-03-21,7.0,376
2021-03-22,17.0,854
2021-03-23,23.0,1137
2021-03-24,29.0,951
2021-03-25,21.0,919
2021-03-26,23.0,918
2021-03-27,19.0,881
2021-03-28,11.0,459
2021-03-29,21.0,684
2021-03-30,27.0,1083
2021-03-31,22.0,844
2021-04-01,32.0,813
2021-04-02,19.0,769
2021-04-03,17.0,853
2021-04-04,6.0,427
2021-04-05,6.0,349
2021-04-06,14.0,479
2021-04-07,25.0,781
2021-04-08,19.0,660
2021-04-09,11.0,737
2021-04-10,11.0,659
2021-04-11,8.0,392
2021-04-12,21.0,539
2021-04-13,18.0,726
2021-04-14,21.0,721
2021-04-15,15.0,595
2021-04-16,14.0,625
2021-04-17,15.0,524
2021-04-18,8.0,318
2021-04-19,14.0,580
2021-04-20,14.0,792
2021-04-21,4.0,720
2021-04-22,15.0,635
2021-04-23,14.0,657
2021-04-24,15.0,683
2021-04-25,11.0,336
2021-04-26,16.0,576
2021-04-27,14.0,788
2021-04-28,20.0,696
2021-04-29,8.0,540
2021-04-30,13.0,571
2021-05-01,5.0,351
2021-05-02,6.0,326
2021-05-03,10.0,466
2021-05-04,10.0,586
2021-05-05,13.0,558
2021-05-06,12.0,454
2021-05-07,11.0,464
2021-05-08,7.0,467
2021-05-09,10.0,316
2021-05-10,7.0,301
2021-05-11,10.0,539
