age,all,male,female
0.0,0.00013494821362302215,0.0001457068190791329,0.00012362895489026693
1.0,5.036803003766155e-5,5.34242733185823e-5,4.7132461068587154e-5
2.0,1.5306769528157896e-5,2.1262752335713344e-5,9.002480183290497e-6
3.0,2.1200094976425494e-5,2.0652025757206526e-5,2.177804685764562e-5
4.0,2.0671022740192117e-5,1.6092370204976566e-5,2.5509770242002685e-5
5.0,2.0034298719407627e-5,1.557656661318712e-5,2.4757786323798836e-5
6.0,2.168380673025936e-5,1.9169353571058877e-5,2.434491880969577e-5
7.0,1.1332022596053056e-5,3.6723526927526118e-6,1.944254339575686e-5
8.0,2.044982171473614e-5,2.5291849882031584e-5,1.531786484281956e-5
9.0,7.218314307059872e-6,3.502173098407562e-6,1.1168650343063709e-5
10.0,2.4877213183501433e-5,3.1077777317366264e-5,1.8303754466116088e-5
11.0,1.756428969134274e-5,1.70907450197569e-5,1.8064823813773345e-5
12.0,2.4646802517494828e-5,2.3920093220020436e-5,2.5419051215756908e-5
13.0,2.6359120167714297e-5,3.747308750987927e-5,1.4518055016169484e-5
14.0,3.8878118864546863e-5,4.450347811798215e-5,3.287563148608813e-5
15.0,2.446654200380979e-5,3.3955165599342625e-5,1.440382565609426e-5
16.0,3.3450350876575245e-5,4.4403304972145466e-5,2.179955310916126e-5
17.0,4.24486503982214e-5,7.196537437415827e-5,1.0965633703971753e-5
18.0,4.698046134813044e-5,5.704697986577181e-5,3.613930981146122e-5
19.0,3.554839321262679e-5,4.2155645127293836e-5,2.8332323994291037e-5
20.0,5.2769729921117766e-5,6.81400049969337e-5,3.580776956984126e-5
21.0,7.251056883698107e-5,8.94048827838126e-5,5.3603016063037146e-5
22.0,5.4145607691383573e-5,5.161789850630706e-5,5.6933626067060694e-5
23.0,6.241754979064817e-5,7.103923949265067e-5,5.298593400072061e-5
24.0,6.929983503258782e-5,7.467750681026394e-5,6.346050112642389e-5
25.0,0.00011192409207844709,0.00013898855122212956,8.297550148318709e-5
26.0,9.9946585922933e-5,0.0001242996194519343,7.418197512880688e-5
27.0,8.3236224404861e-5,8.572259555773264e-5,8.06173353068457e-5
28.0,0.00010865919280392685,0.00010782833728703904,0.00010952796667772685
29.0,0.00012195253730744234,0.00013591757957974283,0.00010735373054213633
30.0,0.00012524120528425116,8.840547016467806e-5,0.00016315363424720285
31.0,0.00015264845061822624,0.00016691853481294692,0.00013796994094886529
32.0,0.00018025096480484367,0.00023174476363558744,0.0001276669946566692
33.0,0.00022072280587735784,0.000261311601931275,0.0001794038225386878
34.0,0.00018883607096072954,0.00022178456734266603,0.0001555140186915888
35.0,0.00021167450592250668,0.00028152090945765144,0.00014098696751719013
36.0,0.00022956248260346812,0.00025972395054399324,0.00019907329936585057
37.0,0.000251118239231051,0.0003209065055494694,0.0001809073197884776
38.0,0.0002824886005514729,0.0003636363636363636,0.00020127215027585313
39.0,0.0002863942559799927,0.0003640490823821659,0.00020802152617559178
40.0,0.0003312160715426714,0.0004775948012631469,0.00018503991389128515
41.0,0.00030836218810836516,0.00044567583025693214,0.00017095668849461486
42.0,0.000313247864273661,0.00044521883107194254,0.0001819574794100747
43.0,0.0003496406981772678,0.0004753509751617578,0.00022471910112359551
44.0,0.0003921219729996013,0.0005736260002603379,0.0002121730457112609
45.0,0.00043074733607054963,0.000621608204379686,0.00024168143024968844
46.0,0.0005088253040204635,0.0007340871102436185,0.0002868369268797837
47.0,0.0005629108065196645,0.0007937431870376446,0.0003347476421212958
48.0,0.00058351081787377,0.0009158087538685025,0.0002578819024670014
49.0,0.0006939588776792333,0.0010536154303679157,0.0003414497038340221
50.0,0.000744629093795611,0.001090609766970282,0.00040686117734694123
51.0,0.0008152894638800967,0.001177698613746232,0.00046238771311592284
52.0,0.0008472763766184624,0.0012272914493120267,0.00047952508806468127
53.0,0.0009675626902117117,0.0014346668430714274,0.0005129969280536896
54.0,0.00104084126148325,0.0015297787944014664,0.0005662057765079007
55.0,0.001148286508087997,0.0017482122424160253,0.0005681502141489269
56.0,0.0013687926063643467,0.0020621285136133566,0.0007061402584262557
57.0,0.0013646480224329374,0.0020705500371460805,0.0006944550269618354
58.0,0.0015427115437499073,0.0023727411973650824,0.0007588010942710517
59.0,0.0016209577807743082,0.002464564285470992,0.0008268040245430247
60.0,0.001727356309029616,0.002546451477342085,0.0009582706034051489
61.0,0.002046153396728949,0.0031102969279228226,0.0010565123815406941
62.0,0.0021415038887909956,0.003329129616963064,0.001039137540641686
63.0,0.0023113444100609296,0.0035159105907222677,0.001196348096741979
64.0,0.0023289355782245198,0.0035279655118216316,0.0012249264785689552
65.0,0.002495942893484506,0.0037057449092652234,0.0013903243915363347
66.0,0.0026417183858985305,0.0040014704198530785,0.001393766765299632
67.0,0.0029359736983849936,0.004375332401578212,0.0016287651152210908
68.0,0.0028918801820890386,0.004461705258750785,0.0014721714387438223
69.0,0.002925913339976155,0.0042550216854140895,0.0017293226910668992
70.0,0.0030094793557495607,0.0045022526504459575,0.0016717566009801083
71.0,0.0031259607773305937,0.004577241693757068,0.0018396004839120246
72.0,0.0033865602797680657,0.005044163226304377,0.0019240071231499672
73.0,0.003450983123850821,0.005062248175000234,0.0020506254950253345
74.0,0.004675270330673616,0.0066704320114774306,0.0029662902303112487
75.0,0.0035906743612364508,0.0052358592908869845,0.002202993031912322
76.0,0.003563728742009408,0.005343013977892705,0.0021013164129292765
77.0,0.003594124387957079,0.005294498381877023,0.0022191516978604026
78.0,0.0032719492446940837,0.004875823708637426,0.002003446488364599
79.0,0.0030390438015146116,0.004432963919673361,0.001959176822970461
80.0,0.0027619163479596412,0.0039425625337886835,0.0018622285785100162
81.0,0.0026525145230232184,0.003776463856570666,0.0018229744044539699
82.0,0.003049627622019268,0.004248951415588955,0.0021916973348022786
83.0,0.003005593814737335,0.004360647509097754,0.0020808892161983954
84.0,0.0026555876673244163,0.0037996637231408788,0.0018992521147778445
85.0,0.0025184673078543066,0.0033848584000902627,0.0019733853259635043
86.0,0.0027169953075969,0.003561357972526667,0.0022091998133070582
87.0,0.0026261311017314907,0.003571066247336918,0.0020933903772678395
88.0,0.0024073025584208747,0.003218621357185339,0.001971806299764635
89.0,0.002278989232666106,0.0031779661016949155,0.0018322950328147384
90.0,0.0023143467026176833,0.0030067209055535905,0.001992097464603227
91.0,0.0021857481127684117,0.003109158499493072,0.001791079269701872
92.0,0.002216308404669902,0.002861023610669595,0.0019592024893396336
93.0,0.0022879212451329197,0.0033473791989918483,0.0019029904135069394
94.0,0.001960490667247553,0.0019770443187434785,0.0019550342130987292
95.0,0.0017610379341946845,0.0024295801381823703,0.0015537454682423844
96.0,0.0018336670929138417,0.0018257974438835786,0.0018359472242967388
97.0,0.0020476417991945944,0.0039196472317491425,0.001553129988351525
98.0,0.0019941634241245135,0.0027451959071624656,0.0018123602972270887
99.0,0.0016392221145965279,0.0031633056544088573,0.0012853470437017994
